logical_unit_id,reference_id,master_id,order_id,absolute_stage,group_count,gt_tag_match_count,birth_count,ambiguous_group_count,untagged_group_count,diagnostic_only
CAL:00006,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,2,74,31,43,0,26,True
CAL:00006,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,3,58,16,42,0,42,True
CAL:00006,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,4,70,22,48,0,37,True
CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,0,49,0,49,0,27,True
CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,1,62,10,52,0,45,True
CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,2,70,15,55,0,38,True
CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,3,65,21,44,0,36,True
CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,4,71,28,43,0,38,True
CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,0,69,0,69,0,42,True
CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,1,65,20,45,0,34,True
CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,2,61,18,43,0,36,True
CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,3,71,23,48,0,37,True
CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,4,67,31,36,0,28,True
CAL:00009,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,0,73,0,73,0,39,True
CAL:00009,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,1,69,18,51,0,43,True
CAL:00009,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,2,69,21,48,0,38,True
CAL:00009,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,3,67,27,40,0,34,True
CAL:00009,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,4,63,17,46,0,42,True
CAL:00010,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_02|scene0068_03|scene0068_04|scene0068_05,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,0,57,0,57,0,27,True
CAL:00010,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_02|scene0068_03|scene0068_04|scene0068_05,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,1,66,20,46,0,33,True
CAL:00010,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_02|scene0068_03|scene0068_04|scene0068_05,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,2,62,18,44,0,41,True
CAL:00010,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_02|scene0068_03|scene0068_04|scene0068_05,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,3,68,13,55,0,47,True
CAL:00010,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_02|scene0068_03|scene0068_04|scene0068_05,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,4,69,24,45,0,32,True
CAL:00011,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_03|scene0068_05,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,0,73,0,73,0,30,True
CAL:00011,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_03|scene0068_05,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,1,67,27,40,0,32,True
CAL:00011,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_03|scene0068_05,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,2,70,27,43,0,31,True
CAL:00011,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_03|scene0068_05,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,3,64,23,41,0,41,True
CAL:00011,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_03|scene0068_05,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,4,72,10,62,0,52,True
CAL:00012,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_04|scene0068_05,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,0,74,0,74,0,53,True
CAL:00012,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_04|scene0068_05,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,1,67,8,59,0,36,True
CAL:00012,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_04|scene0068_05,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,2,72,23,49,0,42,True
CAL:00012,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_04|scene0068_05,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,3,69,19,50,0,42,True
CAL:00012,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_04|scene0068_05,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,4,65,22,43,0,35,True
CAL:00013,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_03|scene0068_04,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,0,64,0,64,0,37,True
CAL:00013,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_03|scene0068_04,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,1,66,16,50,0,40,True
CAL:00013,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_03|scene0068_04,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,2,69,21,48,0,30,True
CAL:00013,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_03|scene0068_04,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,3,73,28,45,0,38,True
CAL:00013,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_02|scene0068_03|scene0068_04,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,4,66,25,41,0,34,True
CAL:00014,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_03|scene0068_04|scene0068_05,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,0,69,0,69,0,24,True
CAL:00014,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_03|scene0068_04|scene0068_05,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,1,78,25,53,0,45,True
CAL:00014,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_03|scene0068_04|scene0068_05,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,2,70,18,52,0,45,True
CAL:00014,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_03|scene0068_04|scene0068_05,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,3,66,25,41,0,29,True
CAL:00014,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_00|scene0068_01|scene0068_03|scene0068_04|scene0068_05,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,4,68,21,47,0,44,True
CAL:00015,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_01|scene0068_02|scene0068_03|scene0068_04|scene0068_05,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,0,63,0,63,0,25,True
CAL:00015,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_01|scene0068_02|scene0068_03|scene0068_04|scene0068_05,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,1,65,19,46,0,38,True
CAL:00015,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_01|scene0068_02|scene0068_03|scene0068_04|scene0068_05,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,2,67,19,48,0,38,True
CAL:00015,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_01|scene0068_02|scene0068_03|scene0068_04|scene0068_05,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,3,70,21,49,0,29,True
CAL:00015,10b17936-3938-2467-88ba-ba5fe2debf14,10b17936-3938-2467-88ba-ba5fe2debf14:scene0068_01|scene0068_02|scene0068_03|scene0068_04|scene0068_05,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,4,71,25,46,0,32,True
