method,T,outcome,bin_low,bin_high,count,fraction
B4,5,correct,0.0,0.05,15,0.034482758620689655
B4,5,correct,0.05,0.1,28,0.06436781609195402
B4,5,correct,0.1,0.2,76,0.17471264367816092
B4,5,correct,0.2,0.4,137,0.31494252873563217
B4,5,correct,0.4,0.8,142,0.3264367816091954
B4,5,correct,0.8,1.2,37,0.08505747126436781
B4,5,correct,1.2,2.25,0,0.0
B4,5,wrong,0.0,0.05,34,0.20118343195266272
B4,5,wrong,0.05,0.1,25,0.14792899408284024
B4,5,wrong,0.1,0.2,38,0.22485207100591717
B4,5,wrong,0.2,0.4,52,0.3076923076923077
B4,5,wrong,0.4,0.8,19,0.11242603550295859
B4,5,wrong,0.8,1.2,1,0.005917159763313609
B4,5,wrong,1.2,2.25,0,0.0
