method,reference_scene_id,master_sequence_id,scene_id,sequence_id,order_id,prefix,T,prediction_digest,id_switches,transition_opportunities,id_switch_rate,active_correct_matches,active_wrong_matches,births,false_births,rejected_births,fragmentation_count,merge_count,gap_opportunities,reactivation_attempts,predicted_reactivation_events,correct_reactivations,wrong_reactivations,no_attempts,reactivation_accuracy,reactivation_precision,reactivation_recall,reactivation_coverage
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06:reverse,reverse,2,2,20e7ce9e07aac138de05fe88af59009c536118a4fac1500df5b874d89833970b,4,4,1.0,0,0,16,7,0,4,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06:reverse,reverse,3,3,20e7ce9e07aac138de05fe88af59009c536118a4fac1500df5b874d89833970b,7,7,1.0,0,0,23,11,0,7,0,2,0,0,0,0,2,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06:reverse,reverse,4,4,20e7ce9e07aac138de05fe88af59009c536118a4fac1500df5b874d89833970b,12,12,1.0,0,0,33,18,0,12,0,6,0,0,0,0,6,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06:reverse,reverse,5,5,20e7ce9e07aac138de05fe88af59009c536118a4fac1500df5b874d89833970b,18,18,1.0,0,0,40,24,0,18,0,10,0,0,0,0,10,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06:sha256_seed45,sha256_seed45,2,2,edd882fd68bd7b1a4f9df3cb2618d6cf3df46d0fbb7633504bc71e975d196495,5,5,1.0,0,0,19,9,0,5,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06:sha256_seed45,sha256_seed45,3,3,edd882fd68bd7b1a4f9df3cb2618d6cf3df46d0fbb7633504bc71e975d196495,8,8,1.0,0,0,25,13,0,8,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06:sha256_seed45,sha256_seed45,4,4,edd882fd68bd7b1a4f9df3cb2618d6cf3df46d0fbb7633504bc71e975d196495,13,13,1.0,0,0,31,18,0,13,0,4,0,0,0,0,4,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06:sha256_seed45,sha256_seed45,5,5,edd882fd68bd7b1a4f9df3cb2618d6cf3df46d0fbb7633504bc71e975d196495,18,18,1.0,0,0,37,23,0,18,0,7,0,0,0,0,7,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05:canonical,canonical,2,2,1a6e57fd952fbace9b34484778907a342f72c5595db3cab801de9ff8698e0451,2,2,1.0,0,0,17,7,0,2,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05:canonical,canonical,3,3,1a6e57fd952fbace9b34484778907a342f72c5595db3cab801de9ff8698e0451,7,7,1.0,0,0,23,12,0,7,0,1,0,0,0,0,1,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05:canonical,canonical,4,4,1a6e57fd952fbace9b34484778907a342f72c5595db3cab801de9ff8698e0451,11,11,1.0,0,0,29,16,0,11,0,2,0,0,0,0,2,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05:canonical,canonical,5,5,1a6e57fd952fbace9b34484778907a342f72c5595db3cab801de9ff8698e0451,14,14,1.0,0,0,35,19,0,14,0,5,0,0,0,0,5,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05:reverse,reverse,2,2,4dcdf22b1137c65a0b8cf52c79097175328cab36a337eaa0d32e452ebb31be3f,2,2,1.0,0,0,12,3,0,2,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05:reverse,reverse,3,3,4dcdf22b1137c65a0b8cf52c79097175328cab36a337eaa0d32e452ebb31be3f,6,6,1.0,0,0,18,8,0,6,0,1,0,0,0,0,1,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05:reverse,reverse,4,4,4dcdf22b1137c65a0b8cf52c79097175328cab36a337eaa0d32e452ebb31be3f,10,10,1.0,0,0,27,14,0,10,0,2,0,0,0,0,2,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05:reverse,reverse,5,5,4dcdf22b1137c65a0b8cf52c79097175328cab36a337eaa0d32e452ebb31be3f,13,13,1.0,0,0,34,18,0,13,0,4,0,0,0,0,4,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05:sha256_seed45,sha256_seed45,2,2,ff835f16e7c3126e3debe845b800ac25dac6022398e8ba0757c2782b17c572c5,2,2,1.0,0,0,17,6,0,2,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05:sha256_seed45,sha256_seed45,3,3,ff835f16e7c3126e3debe845b800ac25dac6022398e8ba0757c2782b17c572c5,6,6,1.0,0,0,24,11,0,6,0,2,0,0,0,0,2,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05:sha256_seed45,sha256_seed45,4,4,ff835f16e7c3126e3debe845b800ac25dac6022398e8ba0757c2782b17c572c5,9,9,1.0,0,0,30,14,0,9,0,5,0,0,0,0,5,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05:sha256_seed45,sha256_seed45,5,5,ff835f16e7c3126e3debe845b800ac25dac6022398e8ba0757c2782b17c572c5,14,14,1.0,0,0,37,20,0,14,0,8,0,0,0,0,8,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09:canonical,canonical,2,2,4c5c3310c9712d090f32df20f133e299b64ca0623246d256cd1bd9081037446c,3,3,1.0,0,0,14,5,0,3,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09:canonical,canonical,3,3,4c5c3310c9712d090f32df20f133e299b64ca0623246d256cd1bd9081037446c,8,8,1.0,0,0,25,13,0,8,0,2,0,0,0,0,2,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09:canonical,canonical,4,4,4c5c3310c9712d090f32df20f133e299b64ca0623246d256cd1bd9081037446c,13,13,1.0,0,0,31,18,0,13,0,3,0,0,0,0,3,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09:canonical,canonical,5,5,4c5c3310c9712d090f32df20f133e299b64ca0623246d256cd1bd9081037446c,17,17,1.0,0,0,37,22,0,17,0,5,0,0,0,0,5,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09:reverse,reverse,2,2,9adba6a14d30e75850184a39670744a092f363fec99817d24ab65c2048eb5011,3,3,1.0,0,0,12,4,0,3,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09:reverse,reverse,3,3,9adba6a14d30e75850184a39670744a092f363fec99817d24ab65c2048eb5011,6,6,1.0,0,0,21,9,0,6,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09:reverse,reverse,4,4,9adba6a14d30e75850184a39670744a092f363fec99817d24ab65c2048eb5011,9,9,1.0,0,0,28,13,0,9,0,1,0,0,0,0,1,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09:reverse,reverse,5,5,9adba6a14d30e75850184a39670744a092f363fec99817d24ab65c2048eb5011,14,14,1.0,0,0,38,20,0,14,0,4,0,0,0,0,4,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09:sha256_seed45,sha256_seed45,2,2,d6a35b1a02e2989002f91502a3df62f13e8114e911b72e7b452c5b090a544bb4,5,5,1.0,0,0,19,9,0,5,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09:sha256_seed45,sha256_seed45,3,3,d6a35b1a02e2989002f91502a3df62f13e8114e911b72e7b452c5b090a544bb4,8,8,1.0,0,0,25,13,0,8,0,0,0,0,0,0,0,,,,
