method,T,outcome,bin_low,bin_high,count,fraction
B2,4,correct,0.25,0.5,0,0.0
B2,4,correct,0.5,0.75,5,0.07246376811594203
B2,4,correct,0.75,1.0,5,0.07246376811594203
B2,4,correct,1.0,1.25,59,0.855072463768116
B2,4,wrong,-1.0,-0.5,0,0.0
B2,4,wrong,-0.5,0.0,0,0.0
B2,4,wrong,0.0,0.25,0,0.0
B2,4,wrong,0.25,0.5,0,0.0
B2,4,wrong,0.5,0.75,8,0.0975609756097561
B2,4,wrong,0.75,1.0,40,0.4878048780487805
B2,4,wrong,1.0,1.25,34,0.4146341463414634
B2,5,correct,-1.0,-0.5,0,0.0
B2,5,correct,-0.5,0.0,0,0.0
B2,5,correct,0.0,0.25,0,0.0
B2,5,correct,0.25,0.5,0,0.0
B2,5,correct,0.5,0.75,6,0.05405405405405406
B2,5,correct,0.75,1.0,9,0.08108108108108109
B2,5,correct,1.0,1.25,96,0.8648648648648649
B2,5,wrong,-1.0,-0.5,0,0.0
B2,5,wrong,-0.5,0.0,0,0.0
B2,5,wrong,0.0,0.25,0,0.0
B2,5,wrong,0.25,0.5,0,0.0
B2,5,wrong,0.5,0.75,23,0.1554054054054054
B2,5,wrong,0.75,1.0,59,0.39864864864864863
B2,5,wrong,1.0,1.25,66,0.44594594594594594
B3,3,correct,-1.0,-0.5,0,0.0
B3,3,correct,-0.5,0.0,0,0.0
B3,3,correct,0.0,0.25,0,0.0
B3,3,correct,0.25,0.5,0,0.0
B3,3,correct,0.5,0.75,0,0.0
B3,3,correct,0.75,1.0,3,0.07142857142857142
B3,3,correct,1.0,1.25,39,0.9285714285714286
B3,3,wrong,-1.0,-0.5,0,0.0
B3,3,wrong,-0.5,0.0,0,0.0
B3,3,wrong,0.0,0.25,0,0.0
B3,3,wrong,0.25,0.5,0,0.0
B3,3,wrong,0.5,0.75,1,0.03125
B3,3,wrong,0.75,1.0,10,0.3125
B3,3,wrong,1.0,1.25,21,0.65625
B3,4,correct,-1.0,-0.5,0,0.0
B3,4,correct,-0.5,0.0,0,0.0
B3,4,correct,0.0,0.25,0,0.0
B3,4,correct,0.25,0.5,0,0.0
B3,4,correct,0.5,0.75,1,0.011494252873563218
B3,4,correct,0.75,1.0,6,0.06896551724137931
B3,4,correct,1.0,1.25,80,0.9195402298850575
B3,4,wrong,-1.0,-0.5,0,0.0
B3,4,wrong,-0.5,0.0,0,0.0
B3,4,wrong,0.0,0.25,0,0.0
B3,4,wrong,0.25,0.5,0,0.0
B3,4,wrong,0.5,0.75,3,0.03409090909090909
B3,4,wrong,0.75,1.0,16,0.18181818181818182
B3,4,wrong,1.0,1.25,69,0.7840909090909091
B3,5,correct,-1.0,-0.5,0,0.0
B3,5,correct,-0.5,0.0,0,0.0
B3,5,correct,0.0,0.25,0,0.0
B3,5,correct,0.25,0.5,0,0.0
B3,5,correct,0.5,0.75,1,0.0078125
B3,5,correct,0.75,1.0,7,0.0546875
B3,5,correct,1.0,1.25,120,0.9375
B3,5,wrong,-1.0,-0.5,0,0.0
B3,5,wrong,-0.5,0.0,0,0.0
B3,5,wrong,0.0,0.25,0,0.0
B3,5,wrong,0.25,0.5,0,0.0
B3,5,wrong,0.5,0.75,7,0.0440251572327044
B3,5,wrong,0.75,1.0,31,0.1949685534591195
B3,5,wrong,1.0,1.25,121,0.7610062893081762
B4,3,correct,-1.0,-0.5,0,0.0
B4,3,correct,-0.5,0.0,0,0.0
B4,3,correct,0.0,0.25,0,0.0
B4,3,correct,0.25,0.5,0,0.0
B4,3,correct,0.5,0.75,1,0.01020408163265306
B4,3,correct,0.75,1.0,5,0.05102040816326531
B4,3,correct,1.0,1.25,92,0.9387755102040817
B4,3,wrong,-1.0,-0.5,0,0.0
B4,3,wrong,-0.5,0.0,0,0.0
B4,3,wrong,0.0,0.25,0,0.0
B4,3,wrong,0.25,0.5,0,0.0
B4,3,wrong,0.5,0.75,1,0.030303030303030304
B4,3,wrong,0.75,1.0,14,0.42424242424242425
B4,3,wrong,1.0,1.25,18,0.5454545454545454
B4,4,correct,-1.0,-0.5,0,0.0
B4,4,correct,-0.5,0.0,0,0.0
B4,4,correct,0.0,0.25,0,0.0
B4,4,correct,0.25,0.5,0,0.0
B4,4,correct,0.5,0.75,4,0.016194331983805668
B4,4,correct,0.75,1.0,18,0.0728744939271255
B4,4,correct,1.0,1.25,225,0.9109311740890689
B4,4,wrong,-1.0,-0.5,0,0.0
B4,4,wrong,-0.5,0.0,0,0.0
B4,4,wrong,0.0,0.25,0,0.0
B4,4,wrong,0.25,0.5,0,0.0
B4,4,wrong,0.5,0.75,1,0.010101010101010102
B4,4,wrong,0.75,1.0,30,0.30303030303030304
B4,4,wrong,1.0,1.25,68,0.6868686868686869
B4,5,correct,-1.0,-0.5,0,0.0
B4,5,correct,-0.5,0.0,0,0.0
B4,5,correct,0.0,0.25,0,0.0
B4,5,correct,0.25,0.5,0,0.0
B4,5,correct,0.5,0.75,4,0.009195402298850575
B4,5,correct,0.75,1.0,43,0.09885057471264368
B4,5,correct,1.0,1.25,388,0.8919540229885058
B4,5,wrong,-1.0,-0.5,0,0.0
B4,5,wrong,-0.5,0.0,0,0.0
B4,5,wrong,0.0,0.25,0,0.0
B4,5,wrong,0.25,0.5,0,0.0
B4,5,wrong,0.5,0.75,3,0.01775147928994083
B4,5,wrong,0.75,1.0,45,0.26627218934911245
B4,5,wrong,1.0,1.25,121,0.7159763313609467
