model,reference_scene_id,master_sequence_id,order_id,T,measured_repeats,median_latency_ms,minimum_latency_ms,maximum_latency_ms,peak_allocated_bytes,maximum_incremental_peak_allocated_bytes,window_voxel_points,window_segments
FH-adapt,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,2,10,512.2095469999999,511.411005,513.543853,1823667712,1210740224,85754,2692
FH-adapt,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,3,10,695.7415364999999,694.720831,697.65272,2471559168,1848396800,131573,4312
FH-adapt,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,4,10,742.0329285,741.573682,743.522721,2635633664,2009899520,142835,4699
FH-adapt,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,5,10,846.534877,845.184488,848.574525,2991033856,2360306176,168113,5626
FH-adapt,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,2,10,684.7810334999999,684.063003,686.021582,2400698368,1778870272,128276,5592
FH-adapt,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,10,916.09611,915.098234,917.560574,3190935040,2557413888,185214,8141
FH-adapt,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,10,1094.4106864999999,1092.944009,1096.134268,3820620800,3175825920,229519,9808
FH-adapt,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,10,1453.2702845,1452.648495,1454.185234,5000323072,4336911360,315300,14479
FH-adapt,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,10,486.217033,485.311118,487.937569,1732956160,1122681344,81299,2187
FH-adapt,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,3,10,641.8206395,640.96196,642.837913,2304028160,1685654016,121667,3297
FH-adapt,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,4,10,757.0643299999999,756.014467,757.743229,2721506304,2094730240,150962,4167
FH-adapt,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,5,10,930.9823425,929.872222,931.924783,3321283584,2686602240,194182,5728
FH-adapt,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,2,10,723.567123,722.87491,726.225277,2543766528,1918575104,135435,4689
FH-adapt,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,3,10,867.1980450000001,865.656978,868.298492,3017677824,2387136000,168968,5840
FH-adapt,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,4,10,1089.149626,1088.808347,1089.869193,3768843776,3125568512,220137,7367
FH-adapt,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,5,10,1229.859505,1228.202813,1230.979054,4239107072,3589419520,252627,8432
FH-adapt,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,2,10,709.4887795,708.953586,709.824112,2470235136,1845722112,132307,5273
FH-adapt,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,3,10,1007.175028,1006.322133,1008.657127,3462815232,2824688128,202932,8805
FH-adapt,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,4,10,1112.51641,1111.580501,1113.907193,3805349376,3159384576,227548,9835
FH-adapt,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,5,10,1179.732943,1178.261694,1180.298889,4017251840,3369180672,246660,11963
