completed_epoch,optimizer_step,train_log_step,t_mAP,t_mAP50,t_mAP25,overall_mAP,stage1_mAP,stage2_mAP,SpatialStageMean,metrics_csv_sha256
225,14850,14849,0.2783421277999878,0.48564422130584717,0.6337302327156067,0.3502458333969116,0.4072166681289673,0.4030311405658722,0.40512390434741974,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
240,15840,15839,0.28343313932418823,0.4734584093093872,0.6070718765258789,0.3635059893131256,0.4126652479171753,0.4247805178165436,0.41872288286685944,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
255,16830,16829,0.2977360486984253,0.5079631805419922,0.6503884792327881,0.3763516843318939,0.4321434199810028,0.42805418372154236,0.4300988018512726,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
270,17820,17819,0.27596697211265564,0.46808159351348877,0.6143928170204163,0.3567398190498352,0.42114144563674927,0.4148768186569214,0.4180091321468353,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
285,18810,18809,0.2588753402233124,0.4539867043495178,0.5957432389259338,0.3331645131111145,0.3883509337902069,0.4071257412433624,0.39773833751678467,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
300,19800,19799,0.27118924260139465,0.46059417724609375,0.5992753505706787,0.3585755527019501,0.4042700231075287,0.4239267408847809,0.4140983819961548,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
315,20790,20789,0.29427745938301086,0.49333885312080383,0.6354013085365295,0.3745070695877075,0.42700716853141785,0.43010851740837097,0.4285578429698944,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
330,21780,21779,0.3020624816417694,0.49045780301094055,0.6162947416305542,0.3921772241592407,0.44749483466148376,0.4385747015476227,0.4430347681045532,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
345,22770,22769,0.30531540513038635,0.4841042757034302,0.6030740737915039,0.3813175857067108,0.4387149512767792,0.4334513247013092,0.4360831379890442,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
360,23760,23759,0.29231470823287964,0.49046653509140015,0.609222948551178,0.36643528938293457,0.4226157069206238,0.42885321378707886,0.4257344603538513,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
375,24750,24749,0.29693156480789185,0.45623287558555603,0.607889711856842,0.36421579122543335,0.42422783374786377,0.44656655192375183,0.4353971928358078,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
390,25740,25739,0.30730140209198,0.4972206652164459,0.629806637763977,0.38250547647476196,0.44281867146492004,0.44035738706588745,0.44158802926540375,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
405,26730,26729,0.3088242709636688,0.49380171298980713,0.6132013201713562,0.38437241315841675,0.45307421684265137,0.44213828444480896,0.44760625064373016,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
420,27720,27719,0.3020264506340027,0.4917338788509369,0.6124306321144104,0.382438600063324,0.4392746388912201,0.4454991817474365,0.4423869103193283,303a5e5957918166ae125f67b3fa15a544d23c2693a7c3f126428498cf4ac65d
435,28710,28709,0.31340423226356506,0.48258426785469055,0.6028345823287964,0.38256850838661194,0.45329156517982483,0.4500029683113098,0.4516472667455673,303a5e5957918166ae125f67b3fa15a544d23c2693a7c3f126428498cf4ac65d
450,29700,29699,0.30200180411338806,0.48912402987480164,0.6165669560432434,0.3819272816181183,0.43647709488868713,0.4414728283882141,0.4389749616384506,303a5e5957918166ae125f67b3fa15a544d23c2693a7c3f126428498cf4ac65d
