population_id,data_role,reference_count,logical_unit_count,method,config_id,source_commit,R1_SHA,head_SHA,producer_id,policy,mask_selector,score_mode,K,reference,master,order,T,t_mAP,t_mAP50,t_mAP25,t_REC,prefix_overall_mAP,raw_current_AP,published_current_AP,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,wrong_reactivations,wrong_reactivation_rate,gap_recovery_accuracy,gap_recovery_recall,status,reason
development,PROTOCOL-B,6,129,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,4,0.09011446684598923,0.15753018856048584,0.31024423241615295,0.2242196649312973,0.2176332324743271,0.3669537901878357,0.36649346351623535,955,1961,1085,2484,84,1483,696,354,163,0.48699643039265683,0.4367954911433172,0.056641942009440324,191,0.53954802259887,0.4604519774011299,0.23419540229885058,MEASURED,
development,PROTOCOL-B,6,129,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,5,0.06433148682117462,0.11730562895536423,0.2590074837207794,0.1715535670518875,0.19659288227558136,0.36905595660209656,0.356425404548645,1262,2663,1473,3520,114,2161,1093,568,249,0.47390161472024034,0.4184659090909091,0.052753354928273946,319,0.5616197183098591,0.43838028169014087,0.22781335773101555,MEASURED,
development,PROTOCOL-B,6,129,A0-U-default,A0-U-tau-0.666666666667,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,2,0.24922862648963928,0.42429015040397644,0.5770128965377808,0.41084298491477966,0.3293818533420563,0.3832939863204956,0.3832939863204956,358,637,358,637,30,309,0,0,0,0.5620094191522763,0.5620094191522763,0.0970873786407767,0,,,,MEASURED,
development,PROTOCOL-B,6,129,A0-U-default,A0-U-tau-0.666666666667,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,3,0.15358541905879974,0.2802044153213501,0.45656976103782654,0.30696991086006165,0.27585119009017944,0.37418749928474426,0.3789837062358856,693,1283,755,1495,61,801,272,130,64,0.5401402961808262,0.5050167224080268,0.07615480649188515,66,0.5076923076923077,0.49230769230769234,0.23529411764705882,MEASURED,
development,PROTOCOL-B,6,129,A0-U-default,A0-U-tau-0.666666666667,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,4,0.08874203264713287,0.15845173597335815,0.3126355707645416,0.21501371264457703,0.21876151859760284,0.3669537901878357,0.364397794008255,1050,1961,1182,2484,113,1415,696,354,157,0.5354411014788373,0.4758454106280193,0.07985865724381626,197,0.556497175141243,0.4435028248587571,0.22557471264367815,MEASURED,
development,PROTOCOL-B,6,129,A0-U-default,A0-U-tau-0.666666666667,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,5,0.06158067658543587,0.11573699116706848,0.25911951065063477,0.1630374789237976,0.200169637799263,0.36905595660209656,0.3592641055583954,1386,2663,1579,3520,154,2095,1093,568,237,0.5204656402553511,0.4485795454545455,0.07350835322195703,331,0.5827464788732394,0.41725352112676056,0.21683440073193047,MEASURED,
development,PROTOCOL-B,6,129,A1-default,A1-theta-0.65,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,2,0.24922862648963928,0.42429015040397644,0.5770128965377808,0.41084298491477966,0.3293818533420563,0.3832939863204956,0.3832939863204956,353,637,353,637,31,315,0,0,0,0.554160125588697,0.554160125588697,0.09841269841269841,0,,,,MEASURED,
development,PROTOCOL-B,6,129,A1-default,A1-theta-0.65,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,3,0.15445512533187866,0.280622273683548,0.4567381739616394,0.30560630559921265,0.2766704261302948,0.37418749928474426,0.3792342245578766,682,1283,738,1495,67,824,272,130,64,0.5315666406858924,0.4936454849498328,0.08131067961165049,66,0.5076923076923077,0.49230769230769234,0.23529411764705882,MEASURED,
development,PROTOCOL-B,6,129,A1-default,A1-theta-0.65,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,4,0.08949655294418335,0.1589297503232956,0.31613004207611084,0.21854707598686218,0.21917855739593506,0.3669537901878357,0.3640492856502533,1028,1961,1157,2484,116,1443,696,354,163,0.5242223355430903,0.46578099838969406,0.08038808038808039,191,0.53954802259887,0.4604519774011299,0.23419540229885058,MEASURED,
development,PROTOCOL-B,6,129,A1-default,A1-theta-0.65,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,5,0.06106029823422432,0.11393356323242188,0.25080540776252747,0.1632259488105774,0.19678491353988647,0.36905595660209656,0.3555537760257721,1373,2663,1583,3520,161,2098,1093,568,237,0.5155839279008637,0.4497159090909091,0.0767397521448999,331,0.5827464788732394,0.41725352112676056,0.21683440073193047,MEASURED,
development,PROTOCOL-B,1,30,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,10b17940-3938-2467-8a7a-958300ba83d3,all,all,2,0.29550421237945557,0.391618549823761,0.48664888739585876,0.5002861022949219,0.3784225881099701,,0.4779568910598755,73,129,73,129,0,56,0,0,0,0.5658914728682171,0.5658914728682171,0.0,0,,,,MEASURED,
development,PROTOCOL-B,1,30,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,10b17940-3938-2467-8a7a-958300ba83d3,all,all,3,0.18520189821720123,0.25902029871940613,0.32323262095451355,0.369419127702713,0.3419167697429657,,0.48182159662246704,153,259,162,299,0,137,34,23,4,0.5907335907335908,0.5418060200668896,0.0,19,0.8260869565217391,0.17391304347826086,0.11764705882352941,MEASURED,
development,PROTOCOL-B,1,30,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,10b17940-3938-2467-8a7a-958300ba83d3,all,all,4,0.10526519268751144,0.1502305269241333,0.22377711534500122,0.23697030544281006,0.29328370094299316,,0.47245609760284424,225,392,225,478,2,255,85,57,17,0.5739795918367347,0.4707112970711297,0.00784313725490196,40,0.7017543859649122,0.2982456140350877,0.2,MEASURED,
development,PROTOCOL-B,1,30,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,10b17940-3938-2467-8a7a-958300ba83d3,all,all,5,0.07922070473432541,0.11886421591043472,0.1796741485595703,0.17553113400936127,0.26806044578552246,,0.5184352397918701,279,528,280,661,4,385,137,90,29,0.5284090909090909,0.4236006051437216,0.01038961038961039,61,0.6777777777777778,0.32222222222222224,0.2116788321167883,MEASURED,
development,PROTOCOL-B,1,30,A0-U-default,A0-U-tau-0.666666666667,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,10b17940-3938-2467-8a7a-958300ba83d3,all,all,2,0.29550421237945557,0.391618549823761,0.48664888739585876,0.5002861022949219,0.3784225881099701,,0.4779568910598755,81,129,81,129,1,49,0,0,0,0.627906976744186,0.627906976744186,0.02040816326530612,0,,,,MEASURED,
development,PROTOCOL-B,1,30,A0-U-default,A0-U-tau-0.666666666667,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,10b17940-3938-2467-8a7a-958300ba83d3,all,all,3,0.18149197101593018,0.2598317563533783,0.3369642496109009,0.3701912462711334,0.3439745306968689,,0.4867355525493622,164,259,168,299,2,133,34,23,11,0.6332046332046332,0.5618729096989966,0.015037593984962405,12,0.5217391304347826,0.4782608695652174,0.3235294117647059,MEASURED,
development,PROTOCOL-B,1,30,A0-U-default,A0-U-tau-0.666666666667,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,10b17940-3938-2467-8a7a-958300ba83d3,all,all,4,0.10108669847249985,0.149900883436203,0.23297418653964996,0.22991307079792023,0.2969299256801605,,0.46797916293144226,248,392,239,478,2,241,85,57,27,0.6326530612244898,0.5,0.008298755186721992,30,0.5263157894736842,0.47368421052631576,0.3176470588235294,MEASURED,
development,PROTOCOL-B,1,30,A0-U-default,A0-U-tau-0.666666666667,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,10b17940-3938-2467-8a7a-958300ba83d3,all,all,5,0.07803831249475479,0.12433692812919617,0.18760162591934204,0.16827142238616943,0.28350621461868286,,0.5305842161178589,308,528,296,661,3,368,137,90,38,0.5833333333333334,0.44780635400907715,0.008152173913043478,52,0.5777777777777777,0.4222222222222222,0.2773722627737226,MEASURED,
development,PROTOCOL-B,1,30,A1-default,A1-theta-0.65,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,10b17940-3938-2467-8a7a-958300ba83d3,all,all,2,0.29550421237945557,0.391618549823761,0.48664888739585876,0.5002861022949219,0.3784225881099701,,0.4779568910598755,81,129,81,129,1,49,0,0,0,0.627906976744186,0.627906976744186,0.02040816326530612,0,,,,MEASURED,
development,PROTOCOL-B,1,30,A1-default,A1-theta-0.65,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,10b17940-3938-2467-8a7a-958300ba83d3,all,all,3,0.18026641011238098,0.2584778368473053,0.336937814950943,0.3678271770477295,0.34327763319015503,,0.4867185354232788,165,259,168,299,2,133,34,23,11,0.637065637065637,0.5618729096989966,0.015037593984962405,12,0.5217391304347826,0.4782608695652174,0.3235294117647059,MEASURED,
development,PROTOCOL-B,1,30,A1-default,A1-theta-0.65,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,10b17940-3938-2467-8a7a-958300ba83d3,all,all,4,0.10136687010526657,0.14976778626441956,0.22918139398097992,0.22961807250976562,0.2959718108177185,,0.4679317772388458,249,392,241,478,3,240,85,57,26,0.6352040816326531,0.50418410041841,0.0125,31,0.543859649122807,0.45614035087719296,0.3058823529411765,MEASURED,
development,PROTOCOL-B,1,30,A1-default,A1-theta-0.65,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,10b17940-3938-2467-8a7a-958300ba83d3,all,all,5,0.07768141478300095,0.12187281996011734,0.18311373889446259,0.171249121427536,0.28185901045799255,,0.5325343012809753,307,528,297,661,4,368,137,90,37,0.5814393939393939,0.4493192133131619,0.010869565217391304,53,0.5888888888888889,0.4111111111111111,0.27007299270072993,MEASURED,
development,PROTOCOL-B,1,36,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,137a8158-1db5-2cc0-8003-31c12610471e,all,all,2,0.32089367508888245,0.46128228306770325,0.6100456714630127,0.4310643970966339,0.40238094329833984,,0.4574277698993683,53,142,53,142,5,94,0,0,0,0.3732394366197183,0.3732394366197183,0.05319148936170213,0,,,,MEASURED,
development,PROTOCOL-B,1,36,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,137a8158-1db5-2cc0-8003-31c12610471e,all,all,3,0.20817042887210846,0.32694166898727417,0.4473012685775757,0.328992635011673,0.3458821773529053,,0.46186161041259766,118,277,134,344,12,222,152,58,35,0.4259927797833935,0.38953488372093026,0.05405405405405406,23,0.39655172413793105,0.603448275862069,0.23026315789473684,MEASURED,
development,PROTOCOL-B,1,36,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,137a8158-1db5-2cc0-8003-31c12610471e,all,all,4,0.15574878454208374,0.23978012800216675,0.3764316439628601,0.2569314241409302,0.3087499737739563,,0.43177855014801025,172,418,222,598,19,395,353,146,82,0.41148325358851673,0.3712374581939799,0.04810126582278481,64,0.4383561643835616,0.5616438356164384,0.23229461756373937,MEASURED,
development,PROTOCOL-B,1,36,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,137a8158-1db5-2cc0-8003-31c12610471e,all,all,5,0.1284230500459671,0.22508011758327484,0.32871872186660767,0.2148924022912979,0.30568087100982666,,0.41145846247673035,226,572,303,847,23,567,525,214,119,0.3951048951048951,0.3577331759149941,0.04056437389770723,95,0.4439252336448598,0.5560747663551402,0.22666666666666666,MEASURED,
development,PROTOCOL-B,1,36,A0-U-default,A0-U-tau-0.666666666667,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,137a8158-1db5-2cc0-8003-31c12610471e,all,all,2,0.32089367508888245,0.46128228306770325,0.6100456714630127,0.4310643970966339,0.40238094329833984,,0.4574277698993683,68,142,68,142,12,86,0,0,0,0.4788732394366197,0.4788732394366197,0.13953488372093023,0,,,,MEASURED,
development,PROTOCOL-B,1,36,A0-U-default,A0-U-tau-0.666666666667,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,137a8158-1db5-2cc0-8003-31c12610471e,all,all,3,0.21621936559677124,0.34918904304504395,0.48193976283073425,0.3339473307132721,0.362418532371521,,0.4591445326805115,139,277,160,344,20,204,152,58,30,0.5018050541516246,0.46511627906976744,0.09803921568627451,28,0.4827586206896552,0.5172413793103449,0.19736842105263158,MEASURED,
development,PROTOCOL-B,1,36,A0-U-default,A0-U-tau-0.666666666667,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,137a8158-1db5-2cc0-8003-31c12610471e,all,all,4,0.16809140145778656,0.2680312991142273,0.41561323404312134,0.2687360942363739,0.3224894404411316,,0.43388187885284424,204,418,266,598,34,366,353,146,71,0.4880382775119617,0.44481605351170567,0.09289617486338798,75,0.5136986301369864,0.4863013698630137,0.20113314447592068,MEASURED,
development,PROTOCOL-B,1,36,A0-U-default,A0-U-tau-0.666666666667,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,137a8158-1db5-2cc0-8003-31c12610471e,all,all,5,0.12842364609241486,0.23109842836856842,0.3435615003108978,0.22244426608085632,0.3140871822834015,,0.41090452671051025,268,572,351,847,39,535,525,214,105,0.46853146853146854,0.41440377804014167,0.07289719626168224,109,0.5093457943925234,0.49065420560747663,0.2,MEASURED,
development,PROTOCOL-B,1,36,A1-default,A1-theta-0.65,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,137a8158-1db5-2cc0-8003-31c12610471e,all,all,2,0.32089367508888245,0.46128228306770325,0.6100456714630127,0.4310643970966339,0.40238094329833984,,0.4574277698993683,70,142,70,142,12,84,0,0,0,0.49295774647887325,0.49295774647887325,0.14285714285714285,0,,,,MEASURED,
development,PROTOCOL-B,1,36,A1-default,A1-theta-0.65,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,137a8158-1db5-2cc0-8003-31c12610471e,all,all,3,0.2159823179244995,0.3482351005077362,0.47993770241737366,0.3323889970779419,0.3627096712589264,,0.4612043797969818,140,277,162,344,25,207,152,58,30,0.5054151624548736,0.47093023255813954,0.12077294685990338,28,0.4827586206896552,0.5172413793103449,0.19736842105263158,MEASURED,
development,PROTOCOL-B,1,36,A1-default,A1-theta-0.65,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,137a8158-1db5-2cc0-8003-31c12610471e,all,all,4,0.162975013256073,0.25773826241493225,0.40470612049102783,0.265394926071167,0.31909385323524475,,0.43611907958984375,204,418,267,598,35,366,353,146,73,0.4880382775119617,0.44648829431438125,0.09562841530054644,73,0.5,0.5,0.20679886685552407,MEASURED,
development,PROTOCOL-B,1,36,A1-default,A1-theta-0.65,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,137a8158-1db5-2cc0-8003-31c12610471e,all,all,5,0.1212177649140358,0.21809758245944977,0.3236292600631714,0.21455448865890503,0.3120083212852478,,0.40970075130462646,269,572,361,847,43,529,525,214,101,0.47027972027972026,0.42621015348288077,0.08128544423440454,113,0.5280373831775701,0.4719626168224299,0.19238095238095237,MEASURED,
development,PROTOCOL-B,1,15,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,280d8ebb-6cc6-2788-9153-98959a2da801,all,all,2,0.40429261326789856,0.6314080953598022,0.7159168720245361,0.5007708072662354,0.5540051460266113,,0.6338595747947693,59,133,59,133,3,77,0,0,0,0.44360902255639095,0.44360902255639095,0.03896103896103896,0,,,,MEASURED,
development,PROTOCOL-B,1,15,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,280d8ebb-6cc6-2788-9153-98959a2da801,all,all,3,0.33725106716156006,0.5641079545021057,0.6570342779159546,0.43092793226242065,0.479328989982605,,0.6130775809288025,98,270,102,282,8,188,10,2,1,0.362962962962963,0.3617021276595745,0.0425531914893617,1,0.5,0.5,0.1,MEASURED,
development,PROTOCOL-B,1,15,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,280d8ebb-6cc6-2788-9153-98959a2da801,all,all,4,0.2760554254055023,0.451305091381073,0.5579217076301575,0.35629627108573914,0.42306822538375854,,0.6018002033233643,148,396,153,436,16,299,65,29,17,0.37373737373737376,0.35091743119266056,0.05351170568561873,12,0.41379310344827586,0.5862068965517241,0.26153846153846155,MEASURED,
development,PROTOCOL-B,1,15,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,280d8ebb-6cc6-2788-9153-98959a2da801,all,all,5,0.23034578561782837,0.3989970088005066,0.5138072967529297,0.3207407593727112,0.38202178478240967,,0.49460554122924805,206,519,215,591,18,394,89,41,23,0.3969171483622351,0.3637901861252115,0.04568527918781726,18,0.43902439024390244,0.5609756097560976,0.25842696629213485,MEASURED,
