record_type,method,comparison,reference_scene_id,master_count,pooled_t_mAP,pooled_t_REC,current_stage_AP,independence_unit,order_unit_count_is_independent,paired_master_mean_delta_t_mAP,cluster_effect_min,cluster_effect_max,cluster_bootstrap_95_low,cluster_bootstrap_95_high,bootstrap_replicates,bootstrap_seed,interval_interpretation
cluster_summary,FullHistory,reverse-minus-canonical,all-six,43,,,,reference_scene_id,false,0.0010331689897510737,-0.013220098614692689,0.012423604726791382,-0.006162202854951224,0.00818909750216537,10000,45047,"descriptive robustness, N=6 clusters"
cluster_effect,FullHistory,sha256_seed45-minus-canonical,10b17940-3938-2467-8a7a-958300ba83d3,10,,,,reference_scene_id,false,0.05020949542522431,,,,,,,
cluster_effect,FullHistory,sha256_seed45-minus-canonical,137a8158-1db5-2cc0-8003-31c12610471e,12,,,,reference_scene_id,false,0.04765080660581589,,,,,,,
cluster_effect,FullHistory,sha256_seed45-minus-canonical,280d8ebb-6cc6-2788-9153-98959a2da801,5,,,,reference_scene_id,false,-0.07589504718780518,,,,,,,
cluster_effect,FullHistory,sha256_seed45-minus-canonical,5630cfcf-12bf-2860-8784-83d28a611a83,5,,,,reference_scene_id,false,-0.09760802090168,,,,,,,
cluster_effect,FullHistory,sha256_seed45-minus-canonical,8eabc45f-5af7-2f32-8528-640861d2a135,5,,,,reference_scene_id,false,0.007069388031959533,,,,,,,
cluster_effect,FullHistory,sha256_seed45-minus-canonical,ddc73797-765b-241a-9e2c-097c5989baf6,6,,,,reference_scene_id,false,-0.14369952430327734,,,,,,,
cluster_summary,FullHistory,sha256_seed45-minus-canonical,all-six,43,,,,reference_scene_id,false,-0.03537881705496047,-0.14369952430327734,0.05020949542522431,-0.09344322019153173,0.02114915748437246,10000,45047,"descriptive robustness, N=6 clusters"
cluster_effect,Persist4D-V2,reverse-minus-canonical,10b17940-3938-2467-8a7a-958300ba83d3,10,,,,reference_scene_id,false,-0.047021114826202394,,,,,,,
cluster_effect,Persist4D-V2,reverse-minus-canonical,137a8158-1db5-2cc0-8003-31c12610471e,12,,,,reference_scene_id,false,0.0030524668594201407,,,,,,,
cluster_effect,Persist4D-V2,reverse-minus-canonical,280d8ebb-6cc6-2788-9153-98959a2da801,5,,,,reference_scene_id,false,0.03743465542793274,,,,,,,
cluster_effect,Persist4D-V2,reverse-minus-canonical,5630cfcf-12bf-2860-8784-83d28a611a83,5,,,,reference_scene_id,false,-0.001049378328025341,,,,,,,
cluster_effect,Persist4D-V2,reverse-minus-canonical,8eabc45f-5af7-2f32-8528-640861d2a135,5,,,,reference_scene_id,false,0.02069196105003357,,,,,,,
cluster_effect,Persist4D-V2,reverse-minus-canonical,ddc73797-765b-241a-9e2c-097c5989baf6,6,,,,reference_scene_id,false,0.01471638357422004,,,,,,,
cluster_summary,Persist4D-V2,reverse-minus-canonical,all-six,43,,,,reference_scene_id,false,0.004637495626229793,-0.047021114826202394,0.03743465542793274,-0.018779992609698738,0.02333294347756439,10000,45047,"descriptive robustness, N=6 clusters"
cluster_effect,Persist4D-V2,sha256_seed45-minus-canonical,10b17940-3938-2467-8a7a-958300ba83d3,10,,,,reference_scene_id,false,0.009047842025756836,,,,,,,
cluster_effect,Persist4D-V2,sha256_seed45-minus-canonical,137a8158-1db5-2cc0-8003-31c12610471e,12,,,,reference_scene_id,false,0.05905828500787417,,,,,,,
cluster_effect,Persist4D-V2,sha256_seed45-minus-canonical,280d8ebb-6cc6-2788-9153-98959a2da801,5,,,,reference_scene_id,false,-0.035132688283920285,,,,,,,
cluster_effect,Persist4D-V2,sha256_seed45-minus-canonical,5630cfcf-12bf-2860-8784-83d28a611a83,5,,,,reference_scene_id,false,0.1061728373169899,,,,,,,
cluster_effect,Persist4D-V2,sha256_seed45-minus-canonical,8eabc45f-5af7-2f32-8528-640861d2a135,5,,,,reference_scene_id,false,-0.04459756910800934,,,,,,,
cluster_effect,Persist4D-V2,sha256_seed45-minus-canonical,ddc73797-765b-241a-9e2c-097c5989baf6,6,,,,reference_scene_id,false,-0.13353639018411437,,,,,,,
cluster_summary,Persist4D-V2,sha256_seed45-minus-canonical,all-six,43,,,,reference_scene_id,false,-0.006497947204237184,-0.13353639018411437,0.1061728373169899,-0.06960769579745829,0.057004511646098564,10000,45047,"descriptive robustness, N=6 clusters"
