method,reference_scene_id,master_sequence_id,order_id,T,repeat,input_prepare_ms,network_forward_ms,scorer_ms,refiner_ms,state_update_ms,materialize_ms,end_to_end_ms,prefix_cumulative_ms,peak_allocated_bytes,peak_reserved_bytes,cpu_rss_bytes,resident_state_bytes,soft_buffer_bytes,archive_bytes,window_voxel_points,window_segments
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,5,1,278.285522,841.724611,0.0,0.0,0.0,766.71255,1886.760475,6860.460033,2991079936,10622074880,2400321536,0,0,0,168113,5627
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,2,2,155.121829,516.774316,0.0,0.0,0.0,313.091581,985.023858,1831.979801,1819833856,10622074880,2400321536,0,0,0,85754,2689
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,3,2,215.35854,685.909429,0.0,0.0,0.0,603.826824,1505.132486,3337.112287,2474959872,10622074880,2400321536,0,0,0,131573,4315
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,4,2,235.928514,740.717778,0.0,0.0,0.0,598.038268,1574.720232,4911.832519,2636235776,10622074880,2400321536,0,0,0,142835,4709
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,5,2,276.228872,847.085081,0.0,0.0,0.0,823.349405,1946.702938,6858.535457,2991079936,10622074880,2400321536,0,0,0,168113,5627
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,2,0,244.568645,679.682582,0.0,0.0,0.0,719.065757,1643.352936,2559.000955,2399962112,21414019072,2381447168,0,0,0,128276,5576
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,0,356.36671,907.245785,0.0,0.0,0.0,1033.046324,2296.694402,4855.6953570000005,3187738112,21414019072,2416074752,0,0,0,185214,8140
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,0,437.88282,1089.271494,0.0,0.0,0.0,1202.289638,2729.487143,7585.182500000001,3820691968,21414019072,2416074752,0,0,0,229519,9804
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,0,613.348733,1446.148607,0.0,0.0,0.0,1877.764851,3937.305721,11522.488221000001,5000685056,21414019072,2461577216,0,0,0,315300,14504
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,2,1,244.463648,681.857783,0.0,0.0,0.0,650.680338,1577.041424,2506.183901,2399962112,21414019072,2416074752,0,0,0,128276,5576
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,1,356.974511,912.205638,0.0,0.0,0.0,990.011377,2259.229314,4765.4132150000005,3187738112,21414019072,2416074752,0,0,0,185214,8140
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,1,445.588816,1093.296032,0.0,0.0,0.0,1246.617567,2785.54369,7550.956905000001,3820691968,21414019072,2416074752,0,0,0,229519,9804
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,1,619.471062,1449.658934,0.0,0.0,0.0,1966.807813,4035.982288,11586.939193000002,5000685056,21414019072,2461577216,0,0,0,315300,14504
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,2,2,318.036685,708.45482,0.0,0.0,0.0,718.188356,1744.72713,2676.754335,2399962112,21414019072,2416074752,0,0,0,128276,5576
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,2,359.658265,917.279025,0.0,0.0,0.0,994.903495,2271.886158,4948.640493,3187738112,21414019072,2416074752,0,0,0,185214,8140
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,2,434.01273,1101.347226,0.0,0.0,0.0,1257.864771,2793.265475,7741.905968,3820691968,21414019072,2416074752,0,0,0,229519,9804
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,2,695.439917,1452.270767,0.0,0.0,0.0,1816.703649,3964.46105,11706.367018,5000685056,21414019072,2461577216,0,0,0,315300,14504
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,0,124.542119,511.933609,0.0,0.0,0.0,380.262403,1016.775073,1601.1630770000002,1733398016,21414019072,2381447168,0,0,0,81299,2192
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,3,0,181.739462,642.776584,0.0,0.0,0.0,540.75766,1365.314914,2966.477991,2303541248,21414019072,2381447168,0,0,0,121667,3296
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,4,0,218.298314,756.980614,0.0,0.0,0.0,683.158434,1658.473656,4624.951647,2719516672,21414019072,2413133824,0,0,0,150962,4167
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,5,0,286.855302,930.72156,0.0,0.0,0.0,984.785937,2202.399192,6827.350839,3318796288,21414019072,2413133824,0,0,0,194182,5715
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,1,122.723876,490.266366,0.0,0.0,0.0,358.088476,971.115878,1531.1864489999998,1733398016,21414019072,2381447168,0,0,0,81299,2192
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,3,1,175.687397,637.130948,0.0,0.0,0.0,577.099354,1389.957589,2921.144038,2303541248,21414019072,2381447168,0,0,0,121667,3296
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,4,1,258.41933,757.766793,0.0,0.0,0.0,654.198981,1670.4222,4591.566237999999,2719516672,21414019072,2413133824,0,0,0,150962,4167
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,5,1,383.704034,979.812853,0.0,0.0,0.0,1049.443171,2413.010523,7004.576760999999,3318796288,21414019072,2413133824,0,0,0,194182,5715
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,2,151.537643,550.67692,0.0,0.0,0.0,367.986832,1070.249464,1717.446274,1733398016,21414019072,2381447168,0,0,0,81299,2192
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,3,2,224.279231,700.047995,0.0,0.0,0.0,572.477615,1496.85029,3214.296564,2303541248,21414019072,2381447168,0,0,0,121667,3296
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,4,2,286.936162,805.889072,0.0,0.0,0.0,735.197371,1828.070292,5042.366856000001,2719516672,21414019072,2413133824,0,0,0,150962,4167
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,5,2,286.478362,927.832391,0.0,0.0,0.0,1062.431529,2276.783448,7319.150304000001,3318796288,21414019072,2413133824,0,0,0,194182,5715
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,2,0,256.861317,720.444456,0.0,0.0,0.0,715.055626,1692.407319,2705.9946449999998,2546152960,21414019072,2413133824,0,0,0,135435,4659
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,3,0,313.287146,862.821263,0.0,0.0,0.0,823.029481,1999.175715,4705.17036,3021490688,21414019072,2413133824,0,0,0,168968,5826
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,4,0,420.567909,1087.730012,0.0,0.0,0.0,1301.402081,2809.736856,7514.907216,3765902848,21414019072,2413133824,0,0,0,220137,7351
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,5,0,475.93125,1224.108368,0.0,0.0,0.0,1379.99003,3080.071587,10594.978803,4241058304,21414019072,2413133824,0,0,0,252627,8457
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,2,1,325.351998,776.03315,0.0,0.0,0.0,720.141795,1821.575213,2731.654337,2546152960,21414019072,2413133824,0,0,0,135435,4659
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,3,1,449.795801,938.682837,0.0,0.0,0.0,908.914109,2297.52946,5029.183797,3021490688,21414019072,2413133824,0,0,0,168968,5826
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,4,1,536.507174,1144.749599,0.0,0.0,0.0,1281.587721,2962.959737,7992.143534,3765902848,21414019072,2413133824,0,0,0,220137,7351
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,5,1,477.340466,1228.6987,0.0,0.0,0.0,1496.824338,3202.999276,11195.14281,4241058304,21414019072,2413133824,0,0,0,252627,8457
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,2,2,262.373636,732.300217,0.0,0.0,0.0,679.259215,1674.021085,2693.201723,2546152960,21414019072,2413133824,0,0,0,135435,4659
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,3,2,325.166116,924.651818,0.0,0.0,0.0,1051.656081,2301.627522,4994.829245000001,3021490688,21414019072,2413133824,0,0,0,168968,5826
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,4,2,605.440897,1146.474946,0.0,0.0,0.0,1211.537516,2963.574774,7958.404019000001,3765902848,21414019072,2413133824,0,0,0,220137,7351
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,5,2,476.915784,1262.186088,0.0,0.0,0.0,1372.211442,3111.369221,11069.773240000002,4241058304,21414019072,2413133824,0,0,0,252627,8457
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,2,0,246.198588,710.034454,0.0,0.0,0.0,687.44837,1643.729645,2557.929061,2468527104,21414019072,2413133824,0,0,0,132307,5262
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,3,0,387.490467,1004.302109,0.0,0.0,0.0,1127.890205,2519.736595,5077.665655999999,3463305728,21414019072,2413133824,0,0,0,202932,8823
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,4,0,436.902422,1148.626313,0.0,0.0,0.0,1376.487317,2962.091771,8039.757426999999,3806471680,21414019072,2413133824,0,0,0,227548,9862
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,5,0,558.798521,1169.315629,0.0,0.0,0.0,1392.138341,3120.327686,11160.085113,4017501184,21414019072,2413133824,0,0,0,246660,11944
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,2,1,239.558024,703.6412,0.0,0.0,0.0,664.345294,1607.602035,2475.413394,2468527104,21414019072,2413133824,0,0,0,132307,5262
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,3,1,401.919104,1001.964055,0.0,0.0,0.0,1092.720665,2496.645472,4972.058866,3463305728,21414019072,2413133824,0,0,0,202932,8823
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,4,1,444.486126,1104.431953,0.0,0.0,0.0,1162.042335,2711.012777,7683.071643,3806471680,21414019072,2413133824,0,0,0,227548,9862
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,5,1,470.030933,1170.390883,0.0,0.0,0.0,1305.491169,2945.97941,10629.051053,4017501184,21414019072,2413133824,0,0,0,246660,11944
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,2,2,246.995964,705.44169,0.0,0.0,0.0,681.142568,1633.617538,2522.4443309999997,2468527104,21414019072,2413133824,0,0,0,132307,5262
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,3,2,375.243984,1002.162539,0.0,0.0,0.0,1101.023601,2478.470064,5000.914395,3463305728,21414019072,2413133824,0,0,0,202932,8823
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,4,2,417.522382,1109.288119,0.0,0.0,0.0,1197.198052,2724.047051,7724.961445999999,3806471680,21414019072,2413133824,0,0,0,227548,9862
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,5,2,577.969865,1211.854345,0.0,0.0,0.0,1472.272374,3262.150998,10987.112443999999,4017501184,21414019072,2413133824,0,0,0,246660,11944
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,0,5.526798,462.334542,0.0,0.0,19.837764,472.80981299999996,960.655291,2020.621977,1515464704,2854223872,3937378304,62616,1722639,334091,65164,1943
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0,5.037086,419.869095,0.0,0.0,19.319055000000002,387.520307,831.904015,2852.525992,1313789440,2854223872,3937378304,62616,3318734,507303,50920,1822
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0,5.505677,447.288869,0.0,0.0,23.985282,428.257857,905.200015,3757.7260069999998,1247236608,2854223872,3937378304,62616,2141997,863169,46465,1783
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,0,5.293079,470.922438,0.0,0.0,23.923893,474.829699,975.127653,4732.85366,1401016832,2854223872,3937378304,62616,3360364,1011772,57788,1800
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,1,8.691364,521.794702,0.0,0.0,24.401332,506.96846100000005,1062.032211,2309.611787,1515464704,2854223872,3937378304,62616,1722639,334091,65164,1943
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,1,10.262721,467.783027,0.0,0.0,24.106365,401.476675,903.789146,3213.400933,1313789440,2854223872,3937378304,62616,3318734,507303,50920,1822
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,1,9.799218,440.07885,0.0,0.0,23.844137,412.271025,886.181865,4099.5827979999995,1247236608,2854223872,3937378304,62616,2141997,863169,46465,1783
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,1,7.367632,474.483921,0.0,0.0,24.620771,506.179672,1012.828262,5112.411059999999,1401016832,2854223872,3937378304,62616,3360364,1011772,57788,1800
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,2,9.289662,519.523382,0.0,0.0,24.672060000000002,514.52714,1068.185858,2518.000599,1515464704,2854223872,3937378304,62616,1722639,334091,65164,1943
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,2,9.155144,472.281292,0.0,0.0,24.585813,425.136871,931.346668,3449.347267,1313789440,2854223872,3937378304,62616,3318734,507303,50920,1822
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,2,11.197623,449.502408,0.0,0.0,25.233224,434.20577000000003,920.347164,4369.694431,1247236608,2854223872,3937378304,62616,2141997,863169,46465,1783
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,2,9.931442,476.518846,0.0,0.0,24.574333,495.641118,1006.834989,5376.52942,1401016832,2854223872,3937378304,62616,3360364,1011772,57788,1800
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,2,0,7.372379,586.708273,0.0,0.0,25.311719,641.6227289999999,1261.175623,2937.4235790000002,1821852160,4745854976,3937378304,62616,1273105,748925,85754,2690
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,3,0,6.410686,512.041423,0.0,0.0,24.09754,476.924433,1019.633822,3957.057401,1516931584,4745854976,3937378304,62616,4779129,833107,64388,2088
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,4,0,5.156431,490.315177,0.0,0.0,23.804578,479.746702,999.186098,4956.243499,1408486400,4745854976,3937378304,62616,559990,1380537,56976,2001
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,5,0,4.954324,417.120182,0.0,0.0,24.348739,347.086276,793.692176,5749.935675000001,1116901888,4745854976,3937378304,62616,2535207,1447382,36561,1312
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,2,1,6.891842,588.168866,0.0,0.0,26.17413,627.857654,1249.261469,2925.384827,1821852160,4745854976,3937378304,62616,1273105,748925,85754,2690
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,3,1,6.733012,515.149169,0.0,0.0,23.850575,466.148471,1012.037598,3937.4224249999997,1516931584,4745854976,3937378304,62616,4779129,833107,64388,2088
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,4,1,6.27655,486.289023,0.0,0.0,23.728592,477.417012,993.871466,4931.293890999999,1408486400,4745854976,3937378304,62616,559990,1380537,56976,2001
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,5,1,4.866805,416.024617,0.0,0.0,24.514124,345.207081,790.786353,5722.080243999999,1116901888,4745854976,3937378304,62616,2535207,1447382,36561,1312
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,2,2,7.680571,621.764303,0.0,0.0,25.995717,647.53568,1303.139801,2993.948359,1821852160,4745854976,3937378304,62616,1273105,748925,85754,2690
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,3,2,6.172888,550.183325,0.0,0.0,24.754749,496.976309,1078.254994,4072.203353,1516931584,4745854976,3937378304,62616,4779129,833107,64388,2088
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,4,2,5.450301,497.9101,0.0,0.0,23.583755,499.09119699999997,1026.201222,5098.404575,1408486400,4745854976,3937378304,62616,559990,1380537,56976,2001
