method,reference_scene_id,T,master_sequence_id,measured_repeats,median_input_prepare_ms,minimum_input_prepare_ms,maximum_input_prepare_ms,median_network_forward_ms,minimum_network_forward_ms,maximum_network_forward_ms,median_scorer_ms,minimum_scorer_ms,maximum_scorer_ms,median_refiner_ms,minimum_refiner_ms,maximum_refiner_ms,median_state_update_ms,minimum_state_update_ms,maximum_state_update_ms,median_materialize_ms,minimum_materialize_ms,maximum_materialize_ms,median_end_to_end_ms,minimum_end_to_end_ms,maximum_end_to_end_ms,median_prefix_cumulative_ms,minimum_prefix_cumulative_ms,maximum_prefix_cumulative_ms,maximum_peak_allocated_bytes,maximum_peak_reserved_bytes,maximum_cpu_rss_bytes,maximum_resident_state_bytes,maximum_soft_buffer_bytes,maximum_archive_bytes
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,2,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,3,8.691364,5.526798,9.289662,519.523382,462.334542,521.794702,0.0,0.0,0.0,0.0,0.0,0.0,24.401332,19.837764,24.672060000000002,506.96846100000005,472.80981299999996,514.52714,1062.032211,960.655291,1068.185858,2309.611787,2020.621977,2518.000599,1515464704,2854223872,3937378304,62616,1722639,334091
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,3,9.155144,5.037086,10.262721,467.783027,419.869095,472.281292,0.0,0.0,0.0,0.0,0.0,0.0,24.106365,19.319055000000002,24.585813,401.476675,387.520307,425.136871,903.789146,831.904015,931.346668,3213.400933,2852.525992,3449.347267,1313789440,2854223872,3937378304,62616,3318734,507303
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,4,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,3,9.799218,5.505677,11.197623,447.288869,440.07885,449.502408,0.0,0.0,0.0,0.0,0.0,0.0,23.985282,23.844137,25.233224,428.257857,412.271025,434.20577000000003,905.200015,886.181865,920.347164,4099.5827979999995,3757.7260069999998,4369.694431,1247236608,2854223872,3937378304,62616,2141997,863169
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,5,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,3,7.367632,5.293079,9.931442,474.483921,470.922438,476.518846,0.0,0.0,0.0,0.0,0.0,0.0,24.574333,23.923893,24.620771,495.641118,474.829699,506.179672,1006.834989,975.127653,1012.828262,5112.411059999999,4732.85366,5376.52942,1401016832,2854223872,3937378304,62616,3360364,1011772
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,2,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,3,7.372379,6.891842,7.680571,588.168866,586.708273,621.764303,0.0,0.0,0.0,0.0,0.0,0.0,25.995717,25.311719,26.17413,641.6227289999999,627.857654,647.53568,1261.175623,1249.261469,1303.139801,2937.4235790000002,2925.384827,2993.948359,1821852160,4745854976,3937378304,62616,1273105,748925
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,3,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,3,6.410686,6.172888,6.733012,515.149169,512.041423,550.183325,0.0,0.0,0.0,0.0,0.0,0.0,24.09754,23.850575,24.754749,476.924433,466.148471,496.976309,1019.633822,1012.037598,1078.254994,3957.057401,3937.4224249999997,4072.203353,1516931584,4745854976,3937378304,62616,4779129,833107
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,4,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,3,5.450301,5.156431,6.27655,490.315177,486.289023,497.9101,0.0,0.0,0.0,0.0,0.0,0.0,23.728592,23.583755,23.804578,479.746702,477.417012,499.09119699999997,999.186098,993.871466,1026.201222,4956.243499,4931.293890999999,5098.404575,1408486400,4745854976,3937378304,62616,559990,1380537
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,5,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,3,4.866805,4.509288,4.954324,416.024617,415.029341,417.120182,0.0,0.0,0.0,0.0,0.0,0.0,24.348739,24.070732,24.514124,345.207081,342.285349,347.086276,790.786353,786.058148,793.692176,5749.935675000001,5722.080243999999,5884.462723,1116901888,4745854976,3937378304,62616,2535207,1447382
R1-D0,280d8ebb-6cc6-2788-9153-98959a2da801,2,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,3,12.538783,10.456471,15.089396,695.053273,692.250882,744.22717,0.0,0.0,0.0,0.0,0.0,0.0,20.853920000000002,20.685119,28.475864,966.599089,913.3792960000001,1096.8120789999998,1692.937635,1641.707413,1882.305114,3808.075162,3720.9311319999997,4323.915298,2399169536,7044333568,3938144256,62616,5980189,1142240
R1-D0,280d8ebb-6cc6-2788-9153-98959a2da801,3,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,3,16.737724,11.848603,17.675797,635.075116,634.295684,643.901378,0.0,0.0,0.0,0.0,0.0,0.0,20.346558,19.248206,20.690362999999998,983.894563,913.856781,1025.842819,1660.162121,1585.054676,1698.654227,5506.729389,5305.985807999999,5984.077419,2231416832,7044333568,3938144256,62616,6051158,1850990
