method,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
FullHistory,reverse,3,43,0.11031090468168259,0.1929326206445694,0.35779789090156555,0.2456331104040146,0.3952787518501282,0.572920560836792,0.3576786518096924,0.5482119917869568,0.7732046246528625,0.4838184714317322,326,331,377,384,56,63,104,35,0,0.9848942598187311,0.9817708333333334,0.8888888888888888,0.0,0.0
Persist4D,reverse,3,43,0.10232741385698318,0.20802469551563263,0.3549610376358032,0.1907811462879181,0.30596768856048584,0.43903252482414246,0.2976655960083008,0.4997480511665344,0.6853333115577698,0.4082863926887512,34,333,31,385,51,405,103,34,34,0.1021021021021021,0.08051948051948052,0.1259259259259259,1.0,0.3300970873786408
FullHistory,reverse,4,43,0.07150053977966309,0.1303333193063736,0.2440800666809082,0.17215292155742645,0.29243531823158264,0.44661569595336914,0.36842235922813416,0.5665820240974426,0.7625626921653748,0.504564106464386,495,501,610,627,105,122,230,79,2,0.9880239520958084,0.9728867623604466,0.860655737704918,0.02531645569620253,0.008695652173913044
Persist4D,reverse,4,43,0.06458121538162231,0.1445826143026352,0.24562662839889526,0.13457588851451874,0.23680125176906586,0.3341332972049713,0.30490899085998535,0.5020269751548767,0.6832922101020813,0.4091760218143463,54,501,53,626,76,649,229,79,71,0.10778443113772455,0.08466453674121406,0.11710323574730354,0.8987341772151899,0.31004366812227074
FullHistory,reverse,5,43,0.04792429134249687,0.09073711186647415,0.17801950871944427,0.13858845829963684,0.23992878198623657,0.37533876299858093,0.36924096941947937,0.5443105101585388,0.7675338983535767,0.47831910848617554,664,672,866,889,169,192,369,130,4,0.9880952380952381,0.9741282339707537,0.8802083333333334,0.03076923076923077,0.01084010840108401
Persist4D,reverse,5,43,0.04833635315299034,0.10838255286216736,0.17547737061977386,0.09893760085105896,0.18687404692173004,0.280238538980484,0.30151984095573425,0.4971761703491211,0.6790326237678528,0.40697571635246277,75,669,78,887,101,910,368,132,116,0.11210762331838565,0.08793686583990981,0.11098901098901098,0.8787878787878788,0.31521739130434784
FullHistory,sha256_seed45,2,43,0.1711808741092682,0.24638503789901733,0.4208407700061798,0.3174183666706085,0.4886535704135895,0.6269838809967041,0.407415509223938,0.5788251757621765,0.7066320180892944,0.5237429141998291,135,136,135,136,4,5,0,0,0,0.9926470588235294,0.9926470588235294,0.8,,
Persist4D,sha256_seed45,2,43,0.1560462862253189,0.2455480992794037,0.43592503666877747,0.2693922221660614,0.3518534004688263,0.5256666541099548,0.3375149965286255,0.5078746676445007,0.5995395183563232,0.4557030498981476,22,136,22,136,28,142,0,0,0,0.16176470588235295,0.16176470588235295,0.19718309859154928,,
FullHistory,sha256_seed45,3,43,0.10536342114210129,0.1814330667257309,0.341503769159317,0.25162041187286377,0.4466939866542816,0.5634286403656006,0.4406520426273346,0.6616812944412231,0.7681812047958374,0.5835323929786682,279,286,313,320,34,41,66,19,0,0.9755244755244755,0.978125,0.8292682926829268,0.0,0.0
Persist4D,sha256_seed45,3,43,0.10643070936203003,0.20727114379405975,0.3683985769748688,0.1994243711233139,0.29489076137542725,0.45678117871284485,0.36715012788772583,0.5830516219139099,0.6590729355812073,0.4756714701652527,31,297,34,334,54,354,66,19,14,0.10437710437710437,0.10179640718562874,0.15254237288135594,0.7368421052631579,0.21212121212121213
FullHistory,sha256_seed45,4,43,0.07458800822496414,0.14682969450950623,0.26690179109573364,0.20881201326847076,0.3713606894016266,0.4703744947910309,0.37656667828559875,0.6091493368148804,0.7957767844200134,0.501038670539856,454,465,585,613,83,111,243,109,5,0.9763440860215054,0.9543230016313213,0.7477477477477478,0.045871559633027525,0.0205761316872428
Persist4D,sha256_seed45,4,43,0.057923004031181335,0.13658399879932404,0.1798068732023239,0.12613818049430847,0.22230376303195953,0.2939564883708954,0.30195191502571106,0.5221074223518372,0.6829400658607483,0.3943231999874115,51,483,60,606,91,637,238,85,66,0.10559006211180125,0.09900990099009901,0.14285714285714285,0.7764705882352941,0.2773109243697479
FullHistory,sha256_seed45,5,43,0.044928643852472305,0.08609679341316223,0.16184259951114655,0.13143137097358704,0.2292863428592682,0.3931214213371277,0.4201193153858185,0.6292964816093445,0.7868200540542603,0.5535133481025696,653,671,881,920,147,186,359,152,5,0.9731743666169895,0.9576086956521739,0.7903225806451613,0.03289473684210526,0.013927576601671309
Persist4D,sha256_seed45,5,43,0.04854576662182808,0.12321881949901581,0.16010579466819763,0.10934072732925415,0.20149439573287964,0.26443541049957275,0.3730010986328125,0.5678985714912415,0.6776260137557983,0.46996408700942993,83,685,84,893,113,922,357,129,108,0.12116788321167883,0.0940649496080627,0.12255965292841649,0.8372093023255814,0.3025210084033613
