method,reference_scene_id,master_sequence_id,order_id,horizon,status,error_type,error_message,median_latency_ms,mean_latency_ms,std_latency_ms,peak_allocated_bytes,peak_reserved_bytes,peak_allocated_mib,peak_reserved_mib,update_scan_count,cumulative_scan_count,update_point_count,cumulative_point_count,model_input_bytes,cumulative_model_input_bytes,persistent_state_bytes,explicit_history_input_bytes
FullHistory,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,4,pass,,,763.867039,764.0071073,1.249230517878747,2842587136,4244635648,2710.90234375,4048.0,4,9,202528,473996,27998248,65628200,,27998248
Persist4D,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,4,pass,,,459.644282,459.61838,0.4818594016596528,1676290560,2468347904,1598.63525390625,2354.0,2,6,93812,312133,12935908,43164848,61008,
FullHistory,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,5,pass,,,943.8634305,944.2922797,0.8480549523455277,3441225216,5456789504,3281.80810546875,5204.0,5,14,263273,737269,36058256,101686456,,36058256
Persist4D,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,5,pass,,,469.3353425,469.396694,0.7599189532675137,1718006784,2495610880,1638.4189453125,2380.0,2,8,100521,412654,13541812,56706660,61008,
FullHistory,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,2,pass,,,731.2394415,731.6579442999999,1.0436446368372791,2721079808,4131389440,2595.02392578125,3940.0,2,2,180028,180028,25091804,25091804,,25091804
Persist4D,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,2,pass,,,747.3291865,747.4014652,0.5933087932338049,2676739072,3992977408,2552.7373046875,3808.0,2,2,180028,180028,25091804,25091804,61008,
FullHistory,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,3,pass,,,877.9489025,878.1232162,0.7410877095016102,3182735360,5007998976,3035.29296875,4776.0,3,5,224308,404336,31299704,56391508,,31299704
Persist4D,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,3,pass,,,576.310378,576.2319303,0.677187181622032,2098709504,3120562176,2001.4853515625,2976.0,2,4,130502,310530,17824340,42916144,61008,
FullHistory,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,4,pass,,,1101.774351,1101.5303048,1.0108860633077401,3921205760,5991563264,3739.55322265625,5714.0,4,9,289514,693850,40734724,97126232,,40734724
Persist4D,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,4,pass,,,531.151282,557.5217815,41.841986208119415,1951768576,2833252352,1861.3515625,2702.0,2,6,109486,420016,15599788,58515932,61008,
FullHistory,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,5,pass,,,1247.0022629999999,1247.1680553,1.3526975505686452,4391589888,6759120896,4188.146484375,6446.0,5,14,331656,1025506,46737364,143863596,,46737364
Persist4D,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,5,pass,,,533.1524195,533.4062279,1.0823804571601707,1947266048,2873098240,1857.0576171875,2740.0,2,8,107348,527364,15373044,73888976,61008,
FullHistory,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,2,pass,,,714.888423,715.0203168,0.9044321183162115,2652354048,3965714432,2529.48193359375,3782.0,2,2,184916,184916,24657020,24657020,,24657020
Persist4D,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,2,pass,,,731.1134744999999,731.4299164,1.616324604088254,2615117824,3896508416,2493.970703125,3716.0,2,2,184916,184916,24657020,24657020,61008,
FullHistory,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,3,pass,,,1018.5036809999999,1018.6044395,1.214297343226301,3636223488,5817499648,3467.77294921875,5548.0,3,5,289270,474186,37909192,62566212,,37909192
Persist4D,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,3,pass,,,751.008484,750.9462565,0.8288650218017669,2673332224,4102029312,2549.48828125,3912.0,2,4,199046,383962,25682764,50339784,61008,
FullHistory,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,4,pass,,,1125.0022535,1126.4241066,3.811360109704347,3985921024,6413090816,3801.2705078125,6116.0,4,9,324162,798348,42504496,105070708,,42504496
Persist4D,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,4,pass,,,572.5146345,574.0621896,3.282636173106666,2078041088,3233808384,1981.7744140625,3084.0,2,6,139246,523208,17817956,68157740,61008,
FullHistory,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,5,pass,,,1191.40337,1191.3916297,2.0414212262546974,4183316992,6836715520,3989.52197265625,6520.0,5,14,359322,1157670,46201432,151272140,,46201432
Persist4D,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,5,pass,,,361.22448299999996,361.31209939999997,0.5464767598301349,1298658304,1765801984,1238.4970703125,1684.0,2,8,70052,593260,8307000,76464740,61008,
