population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,reference_id,episode_id,T,absolute_stage_index,generation_mismatch_count,matched_query_count,null_win_count,read_valid_tokens,stored_current_tokens,stored_historical_tokens,stored_occupied_slots,stored_valid_tokens,valid_read_count,attention_scale,content_control,enabled,null_mass_mean,read_output_norm,max_source_age,mean_source_age
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-0339587ba95ddd5c,5,2,0,17,1,152,0,152,19,152,16,11.321606636047363,native,True,0.03087952546775341,1.8274645805358887,2,1.3223683834075928
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-0339587ba95ddd5c,5,3,0,13,2,168,0,168,21,168,11,11.321606636047363,native,True,0.05601756274700165,1.2225817441940308,3,1.875
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-0339587ba95ddd5c,5,4,0,17,2,208,0,208,26,208,15,11.321606636047363,native,True,0.07188942283391953,1.6211925745010376,4,2.1875
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-00241f8ef4c0f37c,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-00241f8ef4c0f37c,5,1,0,17,4,140,0,140,18,140,13,11.321606636047363,native,True,0.09389511495828629,1.4718531370162964,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-00241f8ef4c0f37c,5,2,0,19,2,152,0,152,19,152,17,11.321606636047363,native,True,0.07511287182569504,1.876392126083374,2,1.375
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-00241f8ef4c0f37c,5,3,0,17,3,168,0,168,21,168,14,11.321606636047363,native,True,0.06296097487211227,1.5922186374664307,3,1.7440476417541504
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-00241f8ef4c0f37c,5,4,0,15,2,171,0,171,22,171,13,11.321606636047363,native,True,0.054972365498542786,1.4490572214126587,4,2.216374397277832
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-52bc8f7fb6505651,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-52bc8f7fb6505651,5,1,0,17,4,144,0,144,18,144,13,11.321606636047363,native,True,0.08487024158239365,1.401879072189331,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-52bc8f7fb6505651,5,2,0,15,3,164,0,164,21,164,12,11.321606636047363,native,True,0.06633499264717102,1.3355333805084229,2,1.5731706619262695
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-52bc8f7fb6505651,5,3,0,18,3,176,0,176,22,176,15,11.321606636047363,native,True,0.06815001368522644,1.612569808959961,3,2.096590995788574
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-52bc8f7fb6505651,5,4,0,17,3,176,0,176,22,176,14,11.321606636047363,native,True,0.07587374001741409,1.5371177196502686,4,2.1818182468414307
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-231ac7caea10b742,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-231ac7caea10b742,5,1,0,12,3,91,0,91,12,91,9,11.321606636047363,native,True,0.08257686346769333,0.9244508743286133,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-231ac7caea10b742,5,2,0,14,1,117,0,117,15,117,13,11.321606636047363,native,True,0.04754488170146942,1.4262564182281494,2,1.3247864246368408
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-231ac7caea10b742,5,3,0,18,1,148,0,148,19,148,17,11.321606636047363,native,True,0.05933533236384392,1.832885980606079,3,1.5878379344940186
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-231ac7caea10b742,5,4,0,18,0,148,0,148,19,148,18,11.321606636047363,native,True,0.042593471705913544,1.9977614879608154,4,1.9932433366775513
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-e0880e364224bdc9,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-e0880e364224bdc9,5,1,0,12,3,111,0,111,15,111,9,11.321606636047363,native,True,0.07409122586250305,0.991715669631958,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-e0880e364224bdc9,5,2,0,17,5,154,0,154,20,154,12,11.321606636047363,native,True,0.07825449109077454,1.3364102840423584,2,1.3896104097366333
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-e0880e364224bdc9,5,3,0,19,1,168,0,168,22,168,18,11.321606636047363,native,True,0.05677233263850212,2.003307819366455,3,1.8095238208770752
