tracker,score_reducer,reference_scene_id,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,trajectory_current_slice_AP,trajectory_current_slice_AP50,trajectory_current_slice_AP25,trajectory_current_slice_REC,local_current_AP,local_current_AP50,local_current_AP25,local_current_REC,inference_unit
B2,latest,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,5,5,0.012355971150100231,0.016123464331030846,0.14548885822296143,0.10462962836027145,0.13750000298023224,0.25,0.4887538552284241,0.7042747139930725,0.896995484828949,0.5629264116287231,0.48918405175209045,0.7060542702674866,0.8988305926322937,0.5651194453239441,reference_scene_id
B2,latest,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,5,6,0.00986696220934391,0.022484606131911278,0.03943211957812309,0.05415719747543335,0.09821327775716782,0.1961299479007721,0.3428148031234741,0.5776262879371643,0.7006441354751587,0.4830830991268158,0.3428148031234741,0.5776262879371643,0.7006441354751587,0.4830830991268158,reference_scene_id
B2,latest,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,2,10,0.3898482322692871,0.525521457195282,0.5529996752738953,0.5127279758453369,0.6423838138580322,0.7053467631340027,0.5121320486068726,0.6820292472839355,0.7724541425704956,0.6455222368240356,0.5121320486068726,0.6820292472839355,0.7724541425704956,0.6455222368240356,reference_scene_id
B2,latest,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,2,12,0.33955061435699463,0.5498676300048828,0.578157901763916,0.4357694387435913,0.6543108224868774,0.676506519317627,0.5218499302864075,0.6875860691070557,0.7716923952102661,0.5830585956573486,0.5218499302864075,0.6875860691070557,0.7716923952102661,0.5830585956573486,reference_scene_id
B2,latest,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,2,5,0.33459410071372986,0.4849330484867096,0.5598958134651184,0.4404761791229248,0.6428571343421936,0.7285714149475098,0.5308642387390137,0.8333333134651184,1.0,0.5648148059844971,0.5308642387390137,0.8333333134651184,1.0,0.5648148059844971,reference_scene_id
B2,latest,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,2,5,0.40740740299224854,0.5555555820465088,0.7777777910232544,0.40740740299224854,0.5555555820465088,0.7777777910232544,0.5469135642051697,0.7777777910232544,0.9768518805503845,0.5802469253540039,0.5469135642051697,0.7777777910232544,0.9768518805503845,0.5802469253540039,reference_scene_id
B2,latest,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,2,5,0.28333336114883423,0.4121527671813965,0.53025883436203,0.37222227454185486,0.6291666626930237,0.6541666984558105,0.4027777910232544,0.625,0.75,0.4027777910232544,0.4027777910232544,0.625,0.75,0.4027777910232544,reference_scene_id
B2,latest,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,2,6,0.06565918028354645,0.09608002007007599,0.25007325410842896,0.20330287516117096,0.31199750304222107,0.5454030632972717,0.2940201759338379,0.372346431016922,0.4991859197616577,0.39844363927841187,0.2940201759338379,0.372346431016922,0.4991859197616577,0.39844363927841187,reference_scene_id
B2,latest,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,3,10,0.2121543139219284,0.2750815451145172,0.2923986315727234,0.3715830445289612,0.46439462900161743,0.5072517991065979,0.526994526386261,0.6850413084030151,0.7361992001533508,0.7767489552497864,0.526994526386261,0.6850413084030151,0.7361992001533508,0.7767489552497864,reference_scene_id
B2,latest,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,3,12,0.15732447803020477,0.37324684858322144,0.3874700963497162,0.28388574719429016,0.508380651473999,0.5307765007019043,0.5347914099693298,0.7707216739654541,0.8400074243545532,0.6064261794090271,0.5347914099693298,0.7707216739654541,0.8400074243545532,0.6064261794090271,reference_scene_id
B2,latest,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,3,5,0.342438280582428,0.5079861283302307,0.5856770873069763,0.4404761791229248,0.6428571343421936,0.7285714149475098,0.6177983283996582,1.0,1.0,0.6820988059043884,0.6177983283996582,1.0,1.0,0.6820988059043884,reference_scene_id
B2,latest,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,3,5,0.2530864179134369,0.4722222089767456,0.6944444179534912,0.3086419701576233,0.5555555820465088,0.7777777910232544,0.39178240299224854,0.7239583730697632,0.9739583730697632,0.4722222089767456,0.39178240299224854,0.7239583730697632,0.9739583730697632,0.4722222089767456,reference_scene_id
B2,latest,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,3,5,0.2799968719482422,0.4095486104488373,0.5278724431991577,0.3638889193534851,0.6291666626930237,0.6541666984558105,0.48043981194496155,0.5260416269302368,0.5685763955116272,0.5555555820465088,0.48043981194496155,0.5260416269302368,0.5685763955116272,0.5555555820465088,reference_scene_id
B2,latest,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,3,6,0.040436577051877975,0.0670354962348938,0.1875632405281067,0.09592436254024506,0.15496991574764252,0.30267539620399475,0.39620086550712585,0.5903145670890808,0.655419111251831,0.4834766387939453,0.39620086550712585,0.5903145670890808,0.655419111251831,0.4834766387939453,reference_scene_id
B2,latest,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,4,10,0.13277727365493774,0.18002735078334808,0.1828862428665161,0.22344151139259338,0.2848640978336334,0.33301225304603577,0.5642074942588806,0.6871211528778076,0.7289514541625977,0.7341532707214355,0.5642074942588806,0.6871211528778076,0.7289514541625977,0.7341532707214355,reference_scene_id
B2,latest,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,4,12,0.03812221437692642,0.1045435443520546,0.1540311872959137,0.1736508011817932,0.3032817542552948,0.30773526430130005,0.47949516773223877,0.7584185600280762,0.7979655265808105,0.6132815480232239,0.47949516773223877,0.7584185600280762,0.7979655265808105,0.6132815480232239,reference_scene_id
B2,latest,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,4,5,0.1284722238779068,0.265625,0.2718749940395355,0.1597222238779068,0.3125,0.3857142925262451,0.3735119104385376,0.6190476417541504,0.8824405074119568,0.4404761791229248,0.3735119104385376,0.6190476417541504,0.8824405074119568,0.4404761791229248,reference_scene_id
B2,latest,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,4,5,0.17901234328746796,0.3611111044883728,0.5833333134651184,0.23456789553165436,0.4444444477558136,0.6666666865348816,0.2864583432674408,0.5989583730697632,0.8489583730697632,0.460317462682724,0.2864583432674408,0.5989583730697632,0.8489583730697632,0.460317462682724,reference_scene_id
B2,latest,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,4,5,0.1533574014902115,0.2700892686843872,0.3906249701976776,0.2361111342906952,0.3958333432674408,0.4583333432674408,0.48701566457748413,0.7526785731315613,0.992968738079071,0.5868055820465088,0.48701566457748413,0.7526785731315613,0.992968738079071,0.5868055820465088,reference_scene_id
