tracker,score_reducer,reference_scene_id,master_sequence_id,order_id,horizon,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,trajectory_current_slice_AP,trajectory_current_slice_AP50,trajectory_current_slice_AP25,trajectory_current_slice_REC,local_current_AP,local_current_AP50,local_current_AP25,local_current_REC,local_sidecar_sha256,trajectory_mask_sha256,trajectory_class_sha256,trajectory_key_sha256
B2,max,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0.2716049253940582,0.3888888955116272,0.3888888955116272,0.2716049253940582,0.3888888955116272,0.3888888955116272,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0e7a3762416e6f9acc579bf869ae14293da8a67893ee2b1d88209e69fb13d141,4e06d8b26d48657f4a4a2adb7379741b28e9190ee25af04c6837723db0a4958a,b3bfaa5dbdba42f244bec276d33a7d607a1abeabec858a081c67f0b493a42a4d,2c3c619a3976c0f589fb4ab267d2705530159d3cb0256d2e99cfc4fc09cc57ba
B3,mean,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0.34567901492118835,0.5,0.5,0.34567901492118835,0.5,0.5,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0e7a3762416e6f9acc579bf869ae14293da8a67893ee2b1d88209e69fb13d141,74d5ad7754602811c2f027811b07f0806d6e3118551d508b811f028ddae65d66,6719a69eb85a96b113cbbe2565ab3aef23bb5db15b6555f6f5aa704b0283ad36,e81e68890e891accb42e4a3127f6f195f8fd45c5ca43121ec41a5787b066a1a8
B3,latest,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0.34567901492118835,0.5,0.5,0.34567901492118835,0.5,0.5,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0e7a3762416e6f9acc579bf869ae14293da8a67893ee2b1d88209e69fb13d141,74d5ad7754602811c2f027811b07f0806d6e3118551d508b811f028ddae65d66,6719a69eb85a96b113cbbe2565ab3aef23bb5db15b6555f6f5aa704b0283ad36,e81e68890e891accb42e4a3127f6f195f8fd45c5ca43121ec41a5787b066a1a8
B3,max,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0.34567901492118835,0.5,0.5,0.34567901492118835,0.5,0.5,0.6759259104728699,0.8333333134651184,0.875,0.7037037014961243,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0e7a3762416e6f9acc579bf869ae14293da8a67893ee2b1d88209e69fb13d141,74d5ad7754602811c2f027811b07f0806d6e3118551d508b811f028ddae65d66,6719a69eb85a96b113cbbe2565ab3aef23bb5db15b6555f6f5aa704b0283ad36,e81e68890e891accb42e4a3127f6f195f8fd45c5ca43121ec41a5787b066a1a8
B4,mean,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0.2839506268501282,0.5,0.5138888955116272,0.2839506268501282,0.5,0.5555555820465088,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0e7a3762416e6f9acc579bf869ae14293da8a67893ee2b1d88209e69fb13d141,b1aaab0f00509ffd3e1d9e924b4442ebd77e6c9c61cd678c9962f297dbdb2ff7,1da2a2cd60813a4a25f0774ec5d68e1036c695ba5d8f2511cd2839b216dab93c,03a08682206a26465c9d074aa17b8896e095425118733bba6d36ebe7ac99a0f8
B4,latest,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0.2839506268501282,0.5,0.5138888955116272,0.2839506268501282,0.5,0.5555555820465088,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0e7a3762416e6f9acc579bf869ae14293da8a67893ee2b1d88209e69fb13d141,b1aaab0f00509ffd3e1d9e924b4442ebd77e6c9c61cd678c9962f297dbdb2ff7,1da2a2cd60813a4a25f0774ec5d68e1036c695ba5d8f2511cd2839b216dab93c,03a08682206a26465c9d074aa17b8896e095425118733bba6d36ebe7ac99a0f8
B4,max,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0.2839506268501282,0.5,0.5138888955116272,0.2839506268501282,0.5,0.5555555820465088,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0e7a3762416e6f9acc579bf869ae14293da8a67893ee2b1d88209e69fb13d141,b1aaab0f00509ffd3e1d9e924b4442ebd77e6c9c61cd678c9962f297dbdb2ff7,1da2a2cd60813a4a25f0774ec5d68e1036c695ba5d8f2511cd2839b216dab93c,03a08682206a26465c9d074aa17b8896e095425118733bba6d36ebe7ac99a0f8
B2,mean,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,0.2469135820865631,0.3333333432674408,0.3333333432674408,0.2469135820865631,0.3333333432674408,0.3333333432674408,0.8216931819915771,1.0,1.0,0.8492063283920288,0.8216931819915771,1.0,1.0,0.8492063283920288,d0c13a1f7b02c50e0b27e22ae51d79fb1d5024cac04888ea53c97af78c8611a6,198b6bcdfa3fa04ecfd39b2910c9a817145990752e96963861f9cfefb82245bc,0d9104bf21c867582a154b5735bc9c17b82dc14ef684d5e59a2799365300e3f1,ca4239c71e22442a2d57c9bf38ee25afdd4897cb15cc156a222a05ed27cd8ac3
B2,latest,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,0.2469135820865631,0.3333333432674408,0.3333333432674408,0.2469135820865631,0.3333333432674408,0.3333333432674408,0.8216931819915771,1.0,1.0,0.8492063283920288,0.8216931819915771,1.0,1.0,0.8492063283920288,d0c13a1f7b02c50e0b27e22ae51d79fb1d5024cac04888ea53c97af78c8611a6,198b6bcdfa3fa04ecfd39b2910c9a817145990752e96963861f9cfefb82245bc,0d9104bf21c867582a154b5735bc9c17b82dc14ef684d5e59a2799365300e3f1,ca4239c71e22442a2d57c9bf38ee25afdd4897cb15cc156a222a05ed27cd8ac3
B2,max,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,0.2469135820865631,0.3333333432674408,0.3333333432674408,0.2469135820865631,0.3333333432674408,0.3333333432674408,0.8216931819915771,1.0,1.0,0.8492063283920288,0.8216931819915771,1.0,1.0,0.8492063283920288,d0c13a1f7b02c50e0b27e22ae51d79fb1d5024cac04888ea53c97af78c8611a6,198b6bcdfa3fa04ecfd39b2910c9a817145990752e96963861f9cfefb82245bc,0d9104bf21c867582a154b5735bc9c17b82dc14ef684d5e59a2799365300e3f1,ca4239c71e22442a2d57c9bf38ee25afdd4897cb15cc156a222a05ed27cd8ac3
