tracker,score_reducer,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,trajectory_current_slice_AP,trajectory_current_slice_AP50,trajectory_current_slice_AP25,trajectory_current_slice_REC,local_current_AP,local_current_AP50,local_current_AP25,local_current_REC
B2,latest,reverse,4,43,0.039857812225818634,0.07188450545072556,0.21243853867053986,0.1543671041727066,0.2537875175476074,0.4053255319595337,0.38016340136528015,0.5598302483558655,0.7677204608917236,0.5111438632011414,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B2,latest,reverse,5,43,0.01998947001993656,0.0354863740503788,0.1619638055562973,0.10812593996524811,0.17998971045017242,0.32352036237716675,0.38000693917274475,0.5593705773353577,0.7671562433242798,0.5101860761642456,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B2,latest,sha256_seed45,2,43,0.19148142635822296,0.27304986119270325,0.4650026559829712,0.32949647307395935,0.5248408913612366,0.6341582536697388,0.4066821336746216,0.5765329599380493,0.7118186950683594,0.522435188293457,0.4066821336746216,0.5765329599380493,0.7118186950683594,0.522435188293457
B2,latest,sha256_seed45,3,43,0.11545297503471375,0.189067080616951,0.3483811914920807,0.2523519992828369,0.4431336224079132,0.5322062969207764,0.4550597369670868,0.6505872011184692,0.7620928287506104,0.6180028915405273,0.4550597369670868,0.6505872011184692,0.7620928287506104,0.6180028915405273
B2,latest,sha256_seed45,4,43,0.05538369342684746,0.09273713082075119,0.2367013394832611,0.15702766180038452,0.2834462821483612,0.3924442529678345,0.3610721528530121,0.5973870158195496,0.8014020323753357,0.5044739246368408,0.3610721528530121,0.5973870158195496,0.8014020323753357,0.5044739246368408
B2,latest,sha256_seed45,5,43,0.02056913450360298,0.04564175754785538,0.16965718567371368,0.1030135527253151,0.21655212342739105,0.31159844994544983,0.44437670707702637,0.6596354246139526,0.806799590587616,0.5617372989654541,0.44437670707702637,0.6596354246139526,0.806799590587616,0.5617372989654541
B2,max,all,2,129,0.19599251449108124,0.3108386695384979,0.5117496252059937,0.34743866324424744,0.5327015519142151,0.6786665320396423,0.35076412558555603,0.5380358099937439,0.7575279474258423,0.4963539242744446,0.371692419052124,0.5463876724243164,0.7624458074569702,0.4963539242744446
B2,max,all,3,129,0.10680366307497025,0.18422268331050873,0.3548531234264374,0.24769896268844604,0.39532071352005005,0.5357382297515869,0.36316296458244324,0.5658029913902283,0.77792888879776,0.5231457352638245,0.38442501425743103,0.5673840641975403,0.775846540927887,0.523158609867096
B2,max,all,4,129,0.05303368344902992,0.09367363899946213,0.24048995971679688,0.1619921177625656,0.26867902278900146,0.4044623076915741,0.3518229126930237,0.5752489566802979,0.7844352722167969,0.5050413608551025,0.36625537276268005,0.5726837515830994,0.7827478051185608,0.5050792694091797
B2,max,all,5,129,0.024220706894993782,0.04680166020989418,0.18128882348537445,0.1109112948179245,0.19508080184459686,0.325813889503479,0.3602225184440613,0.5647912621498108,0.7827321887016296,0.5076167583465576,0.3829203248023987,0.5740538239479065,0.790086030960083,0.5078316926956177
B2,max,canonical,2,43,0.2079838216304779,0.3432333469390869,0.5569115877151489,0.35706475377082825,0.5309151411056519,0.7031175494194031,0.35766181349754333,0.5552637577056885,0.7806110382080078,0.5034977197647095,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B2,max,canonical,3,43,0.11455129086971283,0.19918116927146912,0.38075360655784607,0.2540697753429413,0.38026151061058044,0.5432702302932739,0.3508172929286957,0.5617373585700989,0.7821994423866272,0.5032063126564026,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B2,max,canonical,4,43,0.061068616807460785,0.10866253823041916,0.2632339894771576,0.1738080233335495,0.26447322964668274,0.4165569245815277,0.35023972392082214,0.5611287951469421,0.7747299671173096,0.5028339624404907,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B2,max,canonical,5,43,0.031127743422985077,0.0557904876768589,0.19877015054225922,0.12139875441789627,0.188499316573143,0.3421083986759186,0.349107027053833,0.5514309406280518,0.7737709283828735,0.5031508207321167,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B2,max,reverse,2,43,0.2001747190952301,0.32371699810028076,0.5256620645523071,0.3534207344055176,0.5317513346672058,0.6981421709060669,0.35819244384765625,0.5535179376602173,0.7636356353759766,0.5104965567588806,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B2,max,reverse,3,43,0.0980711430311203,0.1678675413131714,0.33778050541877747,0.2370789498090744,0.3720409572124481,0.5320612788200378,0.3542148768901825,0.5542442202568054,0.7620140314102173,0.510774552822113,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
