method,reference_scene_id,master_sequence_id,order_id,horizon,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall,update_scan_count,update_point_count,cumulative_scan_count
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,5,0.051851850003004074,0.11666665971279144,0.11666665971279144,0.09876543283462524,0.2222222238779068,0.2222222238779068,0.5079365372657776,0.5714285969734192,0.5714285969734192,0.5925925970077515,14,14,16,16,5,5,5,1,0,1.0,1.0,1.0,0.0,0.0,5,174294,14
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,5,0.17901234328746796,0.25,0.25,0.23456789553165436,0.3333333432674408,0.3333333432674408,0.5714285969734192,0.5714285969734192,0.5714285969734192,0.6666666865348816,1,14,1,14,0,13,5,0,0,0.07142857142857142,0.07142857142857142,0.0,,0.0,2,33159,8
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,2,0.4197530746459961,0.4444444477558136,0.4523809850215912,0.4722222089767456,0.5,0.625,0.6041666865348816,0.75,0.75,0.7142857313156128,3,3,3,3,0,0,0,0,0,1.0,1.0,,,,2,61644,2
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,2,0.5185185074806213,0.5555555820465088,0.5555555820465088,0.5833333134651184,0.625,0.625,0.6041666865348816,0.75,0.75,0.7142857313156128,0,3,0,3,0,3,0,0,0,0.0,0.0,0.0,,,2,28485,2
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,3,0.08641975373029709,0.1111111119389534,0.2222222238779068,0.0972222238779068,0.125,0.25,0.6785714030265808,0.75,0.8571428656578064,0.761904776096344,5,5,6,6,1,1,1,0,0,1.0,1.0,1.0,,0.0,3,84216,5
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,3,0.2191358059644699,0.25,0.25,0.3194444477558136,0.375,0.375,0.7023809552192688,0.7857142686843872,0.7857142686843872,0.9047619104385376,0,5,0,6,0,6,1,0,0,0.0,0.0,0.0,,0.0,2,22572,4
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,4,0.08641975373029709,0.1111111119389534,0.1111111119389534,0.0972222238779068,0.125,0.125,0.8148148059844971,0.875,1.0,0.8703703880310059,8,8,10,10,2,2,3,0,0,1.0,1.0,1.0,,0.0,4,122656,9
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,4,0.2191358059644699,0.25,0.25,0.3194444477558136,0.375,0.375,0.9097222089767456,1.0,1.0,0.9259259104728699,0,8,0,10,0,10,3,0,0,0.0,0.0,0.0,,0.0,2,38440,6
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,5,0.17283950746059418,0.2222222238779068,0.2222222238779068,0.17283950746059418,0.2222222238779068,0.2222222238779068,0.7447089552879333,0.8214285969734192,1.0,0.7936508059501648,12,12,15,15,3,3,5,1,0,1.0,1.0,1.0,0.0,0.0,5,174294,14
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,5,0.2839506268501282,0.3333333432674408,0.3333333432674408,0.2839506268501282,0.3333333432674408,0.3333333432674408,0.7665343880653381,0.9583333730697632,0.9583333730697632,0.841269850730896,0,11,0,14,0,14,5,1,1,0.0,0.0,0.0,1.0,0.2,2,51638,8
