level_a_AP,level_a_AP25,level_a_AP50,level_a_REC,level_a_REC25,level_a_REC50,level_a_identity_correct_recoveries,level_a_identity_eligible_identity_count,level_a_identity_eligible_observation_count,level_a_identity_fragmentation_count,level_a_identity_gap_opportunities,level_a_identity_gap_recovery_accuracy,level_a_identity_gap_recovery_recall,level_a_identity_identity_switches,level_a_identity_matched_identity_transitions,level_a_identity_matched_observation_count,level_a_identity_merge_count,level_a_identity_normalized_id_switch_rate,level_a_identity_observation_coverage,level_a_identity_recovery_attempts,level_a_offline_reconstructed_t-REC,level_a_offline_reconstructed_t-REC25,level_a_offline_reconstructed_t-REC50,level_a_offline_reconstructed_t-mAP,level_a_offline_reconstructed_t-mAP25,level_a_offline_reconstructed_t-mAP50,level_a_offline_reconstructed_t_REC,level_a_offline_reconstructed_t_REC25,level_a_offline_reconstructed_t_REC50,level_a_offline_reconstructed_t_mAP,level_a_offline_reconstructed_t_mAP25,level_a_offline_reconstructed_t_mAP50,level_a_online_t-REC,level_a_online_t-REC25,level_a_online_t-REC50,level_a_online_t-mAP,level_a_online_t-mAP25,level_a_online_t-mAP50,level_a_online_t_REC,level_a_online_t_REC25,level_a_online_t_REC50,level_a_online_t_mAP,level_a_online_t_mAP25,level_a_online_t_mAP50,level_a_raw_local_AP,level_a_raw_local_AP25,level_a_raw_local_AP50,level_a_raw_local_REC,level_a_raw_local_REC25,level_a_raw_local_REC50,level_b_correct_recoveries,level_b_eligible_identity_count,level_b_eligible_observation_count,level_b_fragmentation_count,level_b_gap_opportunities,level_b_gap_recovery_accuracy,level_b_gap_recovery_recall,level_b_identity_switches,level_b_matched_identity_transitions,level_b_matched_observation_count,level_b_merge_count,level_b_normalized_id_switch_rate,level_b_observation_coverage,level_b_recovery_attempts,method,method_code,scene_id
0.005158730158730159,0.055952380952380955,0.008333333333333333,0.01564945226917058,0.07042253521126761,0.028169014084507043,0,15,71,0,0,0.0,0.0,0,1,2,0,0.0,0.028169014084507043,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005158730158730159,0.055952380952380955,0.008333333333333333,0.01564945226917058,0.07042253521126761,0.028169014084507043,0,15,71,1,0,0.0,0.0,1,2,4,0,0.5,0.056338028169014086,0,EMA Temporal Association,B3,scene_c
0.005158730158730159,0.055952380952380955,0.008333333333333333,0.01564945226917058,0.07042253521126761,0.028169014084507043,0,15,71,0,0,0.0,0.0,0,1,2,0,0.0,0.028169014084507043,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005158730158730159,0.055952380952380955,0.008333333333333333,0.01564945226917058,0.07042253521126761,0.028169014084507043,0,15,71,1,0,0.0,0.0,1,2,4,0,0.5,0.056338028169014086,0,Persist4D,B4,scene_c
0.0,0.0,0.0,0.0,0.0,0.0,0,24,96,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,96,0,0,0.0,0.0,0,2,3,0,0.0,0.03125,0,Pairwise Feature Association,B1,scene_d
0.0,0.0,0.0,0.0,0.0,0.0,0,24,96,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,96,0,0,0.0,0.0,0,2,3,0,0.0,0.03125,0,Pairwise Feature-Class Association,B2,scene_d
0.0,0.0,0.0,0.0,0.0,0.0,0,24,96,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,96,0,0,0.0,0.0,0,2,3,0,0.0,0.03125,0,EMA Temporal Association,B3,scene_d
0.0,0.0,0.0,0.0,0.0,0.0,0,24,96,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,96,0,0,0.0,0.0,0,2,3,0,0.0,0.03125,0,Persist4D,B4,scene_d
0.09792614251678577,0.22855750487329432,0.15765107212475632,0.12471655328798185,0.22448979591836735,0.1836734693877551,0,21,49,2,0,0.0,0.0,2,3,9,2,0.6666666666666666,0.1836734693877551,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09792614251678577,0.22855750487329432,0.15765107212475632,0.12471655328798185,0.22448979591836735,0.1836734693877551,0,22,52,2,0,0.0,0.0,2,3,9,2,0.6666666666666666,0.17307692307692307,0,Pairwise Feature Association,B1,scene_e
0.09792614251678577,0.22855750487329432,0.15765107212475632,0.12471655328798185,0.22448979591836735,0.1836734693877551,0,21,49,2,0,0.0,0.0,2,3,9,2,0.6666666666666666,0.1836734693877551,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09792614251678577,0.22855750487329432,0.15765107212475632,0.12471655328798185,0.22448979591836735,0.1836734693877551,0,22,52,2,0,0.0,0.0,2,3,9,2,0.6666666666666666,0.17307692307692307,0,Pairwise Feature-Class Association,B2,scene_e
0.09792614251678577,0.22855750487329432,0.15765107212475632,0.12471655328798185,0.22448979591836735,0.1836734693877551,0,21,49,2,0,0.0,0.0,2,3,9,2,0.6666666666666666,0.1836734693877551,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09792614251678577,0.22855750487329432,0.15765107212475632,0.12471655328798185,0.22448979591836735,0.1836734693877551,0,22,52,2,0,0.0,0.0,2,3,9,2,0.6666666666666666,0.17307692307692307,0,EMA Temporal Association,B3,scene_e
0.09792614251678577,0.22855750487329432,0.15765107212475632,0.12471655328798185,0.22448979591836735,0.1836734693877551,0,21,49,2,0,0.0,0.0,2,3,9,2,0.6666666666666666,0.1836734693877551,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09792614251678577,0.22855750487329432,0.15765107212475632,0.12471655328798185,0.22448979591836735,0.1836734693877551,0,22,52,2,0,0.0,0.0,2,3,9,2,0.6666666666666666,0.17307692307692307,0,Persist4D,B4,scene_e
