method,reference_scene_id,master_sequence_id,order_id,T,prediction_digest,F1,F2,F3,F4,F5,F6,F7,unclassified
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,reverse,T4,5c7e6e9a9a2d0d01d4d250f4c9127cf1be24e3ddc30822eab7f3ed6a63e61241,17,8,4,0,0,14,12,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,reverse,T5,5c7e6e9a9a2d0d01d4d250f4c9127cf1be24e3ddc30822eab7f3ed6a63e61241,27,15,4,1,0,16,14,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,sha256_seed45,T2,bbc1490a815e5cd9ec7603c364b6a7209937c22bc813529bf15909293cb89a81,18,1,0,0,0,6,8,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,sha256_seed45,T3,bbc1490a815e5cd9ec7603c364b6a7209937c22bc813529bf15909293cb89a81,20,3,0,1,0,10,9,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,sha256_seed45,T4,bbc1490a815e5cd9ec7603c364b6a7209937c22bc813529bf15909293cb89a81,26,6,0,1,0,14,14,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,sha256_seed45,T5,bbc1490a815e5cd9ec7603c364b6a7209937c22bc813529bf15909293cb89a81,29,9,0,1,0,18,16,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,canonical,T2,04b5a05db98a60d7e097859af30e0cb6ca7460f5a5ff53bdc9059ca847847398,15,2,0,0,0,6,9,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,canonical,T3,04b5a05db98a60d7e097859af30e0cb6ca7460f5a5ff53bdc9059ca847847398,20,5,0,0,0,10,13,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,canonical,T4,04b5a05db98a60d7e097859af30e0cb6ca7460f5a5ff53bdc9059ca847847398,23,8,0,0,0,14,14,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,canonical,T5,04b5a05db98a60d7e097859af30e0cb6ca7460f5a5ff53bdc9059ca847847398,26,10,0,0,0,16,14,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,reverse,T2,895490740fd149b85574f10a2b7575fbf183885f63c5adf32b4252356832f6b7,9,2,0,0,0,6,2,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,reverse,T3,895490740fd149b85574f10a2b7575fbf183885f63c5adf32b4252356832f6b7,16,4,1,0,0,8,9,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,reverse,T4,895490740fd149b85574f10a2b7575fbf183885f63c5adf32b4252356832f6b7,18,7,3,0,0,12,12,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,reverse,T5,895490740fd149b85574f10a2b7575fbf183885f63c5adf32b4252356832f6b7,20,10,4,0,0,16,12,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,sha256_seed45,T2,45b3466b36e584863ceeebd7d1b8b659fa09f7d10cfb0b2610ce50cbc6c43ea4,10,3,0,0,0,6,7,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,sha256_seed45,T3,45b3466b36e584863ceeebd7d1b8b659fa09f7d10cfb0b2610ce50cbc6c43ea4,12,6,1,0,0,10,7,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,sha256_seed45,T4,45b3466b36e584863ceeebd7d1b8b659fa09f7d10cfb0b2610ce50cbc6c43ea4,17,10,1,2,0,14,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,sha256_seed45,T5,45b3466b36e584863ceeebd7d1b8b659fa09f7d10cfb0b2610ce50cbc6c43ea4,20,14,1,2,1,18,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,canonical,T2,a9104d3742f6407b354d52a29b6ae6a3674c750993eeb6ff4ac9a8d74d764fa0,13,3,0,1,0,4,6,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,canonical,T3,a9104d3742f6407b354d52a29b6ae6a3674c750993eeb6ff4ac9a8d74d764fa0,17,4,0,1,1,8,8,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,canonical,T4,a9104d3742f6407b354d52a29b6ae6a3674c750993eeb6ff4ac9a8d74d764fa0,24,5,1,2,1,12,13,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,canonical,T5,a9104d3742f6407b354d52a29b6ae6a3674c750993eeb6ff4ac9a8d74d764fa0,29,8,1,2,1,16,17,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,reverse,T2,79b1ccbd21b750b13bc661b74f8fb1df0072c61a9c546fc2f53b48edc97baf46,7,3,0,0,0,6,8,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,reverse,T3,79b1ccbd21b750b13bc661b74f8fb1df0072c61a9c546fc2f53b48edc97baf46,9,6,1,0,0,10,8,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,reverse,T4,79b1ccbd21b750b13bc661b74f8fb1df0072c61a9c546fc2f53b48edc97baf46,19,13,1,1,0,12,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,reverse,T5,79b1ccbd21b750b13bc661b74f8fb1df0072c61a9c546fc2f53b48edc97baf46,22,14,2,1,0,14,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,sha256_seed45,T2,cd002370d1197133b2f3aeaafbae844cb316576488a68adc11d5e971a1961438,13,3,0,1,0,4,6,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,sha256_seed45,T3,cd002370d1197133b2f3aeaafbae844cb316576488a68adc11d5e971a1961438,20,3,1,2,1,8,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,sha256_seed45,T4,cd002370d1197133b2f3aeaafbae844cb316576488a68adc11d5e971a1961438,22,6,1,2,2,12,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,sha256_seed45,T5,cd002370d1197133b2f3aeaafbae844cb316576488a68adc11d5e971a1961438,27,9,2,3,2,16,14,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,canonical,T2,9d1d15eb6505c983ee445e2297d2a378cd6650aef35678976bd574fcd75cbd5a,8,4,0,0,0,6,5,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,canonical,T3,9d1d15eb6505c983ee445e2297d2a378cd6650aef35678976bd574fcd75cbd5a,11,6,0,0,0,8,5,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,canonical,T4,9d1d15eb6505c983ee445e2297d2a378cd6650aef35678976bd574fcd75cbd5a,22,10,0,1,0,8,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,canonical,T5,9d1d15eb6505c983ee445e2297d2a378cd6650aef35678976bd574fcd75cbd5a,26,11,0,1,1,12,12,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,reverse,T2,391631c66271d714c6a9fcad9d540f74d6e807db3517eef8fc05d622f72c235c,18,4,0,0,0,4,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,reverse,T3,391631c66271d714c6a9fcad9d540f74d6e807db3517eef8fc05d622f72c235c,21,5,0,1,1,6,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,reverse,T4,391631c66271d714c6a9fcad9d540f74d6e807db3517eef8fc05d622f72c235c,27,7,0,1,1,10,11,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,reverse,T5,391631c66271d714c6a9fcad9d540f74d6e807db3517eef8fc05d622f72c235c,34,10,0,2,1,12,20,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,sha256_seed45,T2,51d4aa18670941f78464a339ce5fcee859345139f579b4ae7ca89b95a03bc14a,13,3,0,1,0,4,6,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,sha256_seed45,T3,51d4aa18670941f78464a339ce5fcee859345139f579b4ae7ca89b95a03bc14a,17,4,0,1,1,8,8,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,sha256_seed45,T4,51d4aa18670941f78464a339ce5fcee859345139f579b4ae7ca89b95a03bc14a,23,4,1,2,1,12,16,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,sha256_seed45,T5,51d4aa18670941f78464a339ce5fcee859345139f579b4ae7ca89b95a03bc14a,27,8,1,2,1,14,18,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T2,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,9,1,0,1,0,6,4,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T3,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,19,7,0,1,0,8,7,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T4,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,23,10,0,1,2,12,7,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T5,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,30,12,0,1,3,16,12,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T2,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,9,1,0,1,0,8,7,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T3,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,19,8,0,2,0,10,9,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T4,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,22,9,0,2,0,12,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T5,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,28,11,1,2,0,16,12,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T2,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,13,3,0,1,0,4,6,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T3,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,20,3,1,2,1,8,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T4,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,22,6,1,2,2,12,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T5,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,26,11,1,3,2,16,14,0
