method,reference_scene_id,master_sequence_id,order_id,T,prediction_digest,F1,F2,F3,F4,F5,F6,F7,unclassified
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,canonical,T4,473db1ebe5aca4c1a8c62122556096daed7f1774430ad709af1d8eead2b08775,19,12,1,7,1,0,7,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,canonical,T5,473db1ebe5aca4c1a8c62122556096daed7f1774430ad709af1d8eead2b08775,23,17,1,7,1,0,7,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,reverse,T2,709fe3016e2f02deed6d959a612402e987a0887c52e7d5cd4268dcb53311851c,6,0,0,1,0,0,8,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,reverse,T3,709fe3016e2f02deed6d959a612402e987a0887c52e7d5cd4268dcb53311851c,11,4,1,6,0,0,9,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,reverse,T4,709fe3016e2f02deed6d959a612402e987a0887c52e7d5cd4268dcb53311851c,13,7,1,7,0,0,9,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,reverse,T5,709fe3016e2f02deed6d959a612402e987a0887c52e7d5cd4268dcb53311851c,17,9,1,7,0,0,10,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,9,4,0,1,0,0,6,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,12,8,0,1,0,2,6,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,16,13,0,5,2,2,8,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,21,17,1,7,6,2,9,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,T2,e2cc155819264b00aaf0afacdc7c152fb9fc5d9bcfd7c2d9313204f5cc5e1ce0,9,3,0,0,0,10,6,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,T3,e2cc155819264b00aaf0afacdc7c152fb9fc5d9bcfd7c2d9313204f5cc5e1ce0,12,6,0,0,0,14,7,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,T4,e2cc155819264b00aaf0afacdc7c152fb9fc5d9bcfd7c2d9313204f5cc5e1ce0,15,8,0,0,0,16,7,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,T5,e2cc155819264b00aaf0afacdc7c152fb9fc5d9bcfd7c2d9313204f5cc5e1ce0,25,16,0,1,0,18,7,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,reverse,T2,11faf6d0bb7284058456595aebf715373d8e3b01c0e278050198ca187aa4232a,14,0,0,0,0,4,7,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,reverse,T3,11faf6d0bb7284058456595aebf715373d8e3b01c0e278050198ca187aa4232a,20,2,1,1,0,8,8,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,reverse,T4,11faf6d0bb7284058456595aebf715373d8e3b01c0e278050198ca187aa4232a,27,6,1,1,0,10,14,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,reverse,T5,11faf6d0bb7284058456595aebf715373d8e3b01c0e278050198ca187aa4232a,29,10,5,1,0,14,15,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,sha256_seed45,T2,010c260bc092fb1596c9e6aacf77d8dbf331349d270163d24a9a1a0abca5195c,13,3,0,1,0,4,6,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,sha256_seed45,T3,010c260bc092fb1596c9e6aacf77d8dbf331349d270163d24a9a1a0abca5195c,20,3,1,3,1,8,10,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,sha256_seed45,T4,010c260bc092fb1596c9e6aacf77d8dbf331349d270163d24a9a1a0abca5195c,24,5,1,3,1,12,15,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,sha256_seed45,T5,010c260bc092fb1596c9e6aacf77d8dbf331349d270163d24a9a1a0abca5195c,27,9,1,3,1,16,15,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,canonical,T2,b1a02bcc35d7c02babbbbbb60c0258bc49e609c131f302c83bf3de587a23617a,15,2,0,0,0,6,7,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,canonical,T3,b1a02bcc35d7c02babbbbbb60c0258bc49e609c131f302c83bf3de587a23617a,22,3,0,0,0,10,12,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,canonical,T4,b1a02bcc35d7c02babbbbbb60c0258bc49e609c131f302c83bf3de587a23617a,26,7,0,0,0,14,14,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,canonical,T5,b1a02bcc35d7c02babbbbbb60c0258bc49e609c131f302c83bf3de587a23617a,29,11,0,0,0,18,14,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,reverse,T2,5c7e6e9a9a2d0d01d4d250f4c9127cf1be24e3ddc30822eab7f3ed6a63e61241,12,5,0,0,0,6,7,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,reverse,T3,5c7e6e9a9a2d0d01d4d250f4c9127cf1be24e3ddc30822eab7f3ed6a63e61241,14,9,3,1,0,10,8,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,reverse,T4,5c7e6e9a9a2d0d01d4d250f4c9127cf1be24e3ddc30822eab7f3ed6a63e61241,16,12,4,1,0,14,8,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,reverse,T5,5c7e6e9a9a2d0d01d4d250f4c9127cf1be24e3ddc30822eab7f3ed6a63e61241,26,21,4,2,0,16,8,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,sha256_seed45,T2,bbc1490a815e5cd9ec7603c364b6a7209937c22bc813529bf15909293cb89a81,18,1,0,0,0,6,8,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,sha256_seed45,T3,bbc1490a815e5cd9ec7603c364b6a7209937c22bc813529bf15909293cb89a81,20,3,0,1,0,10,9,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,sha256_seed45,T4,bbc1490a815e5cd9ec7603c364b6a7209937c22bc813529bf15909293cb89a81,25,7,0,1,0,14,13,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,sha256_seed45,T5,bbc1490a815e5cd9ec7603c364b6a7209937c22bc813529bf15909293cb89a81,28,11,1,2,1,18,13,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,canonical,T2,04b5a05db98a60d7e097859af30e0cb6ca7460f5a5ff53bdc9059ca847847398,13,2,0,0,0,10,7,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,canonical,T3,04b5a05db98a60d7e097859af30e0cb6ca7460f5a5ff53bdc9059ca847847398,17,6,0,0,0,14,9,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,canonical,T4,04b5a05db98a60d7e097859af30e0cb6ca7460f5a5ff53bdc9059ca847847398,20,10,0,0,0,18,9,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,canonical,T5,04b5a05db98a60d7e097859af30e0cb6ca7460f5a5ff53bdc9059ca847847398,23,12,0,0,0,20,9,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,reverse,T2,895490740fd149b85574f10a2b7575fbf183885f63c5adf32b4252356832f6b7,9,2,0,0,0,6,2,0
