method,reference_scene_id,master_sequence_id,order_id,T,prediction_digest,t_mAP,t_REC,identity_switches,transition_opportunities,identity_switch_rate,wrong_reactivations,predicted_reactivation_events,wrong_reactivation_rate,correct_reactivations,reactivation_attempts,gap_opportunities,reactivation_accuracy,reactivation_recall,false_births,births,rejected_births,false_birth_rate
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T4,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,0.02777777798473835,0.03703703731298447,3,13,0.23076923076923078,2,8,0.25,6,8,13,0.75,0.46153846153846156,4,17,3,0.2
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T5,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,0.02083333395421505,0.03703703731298447,5,25,0.2,3,12,0.25,9,12,17,0.75,0.5294117647058824,8,21,4,0.32
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T2,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,0.28773149847984314,0.41604939103126526,0,10,0.0,0,0,,0,0,0,,,4,18,3,0.19047619047619047
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T3,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,0.09606481343507767,0.1419752985239029,1,11,0.09090909090909091,0,0,,0,0,1,,0.0,6,20,3,0.2608695652173913
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T4,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,0.009259259328246117,0.012345679104328156,2,16,0.125,0,4,0.0,4,4,7,1.0,0.5714285714285714,7,21,3,0.2916666666666667
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T5,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,0.009259259328246117,0.012345679104328156,5,27,0.18518518518518517,0,8,0.0,8,8,15,1.0,0.5333333333333333,9,23,3,0.34615384615384615
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T2,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,0.0,0.0,1,1,1.0,0,0,,0,0,0,,,4,10,2,0.3333333333333333
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T3,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,0.04999999701976776,0.06666666269302368,3,5,0.6,1,2,0.5,1,2,4,0.5,0.25,8,18,2,0.4
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T4,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,0.009259259328246117,0.012345679104328156,4,16,0.25,2,3,0.6666666666666666,1,3,5,0.3333333333333333,0.2,8,18,2,0.4
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T5,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,0.012384261004626751,0.054012347012758255,6,27,0.2222222222222222,2,4,0.5,2,4,7,0.5,0.2857142857142857,10,21,4,0.4
