method,reference_scene_id,master_sequence_id,order_id,T,prediction_digest,t_mAP,t_REC,identity_switches,transition_opportunities,identity_switch_rate,wrong_reactivations,predicted_reactivation_events,wrong_reactivation_rate,correct_reactivations,reactivation_attempts,gap_opportunities,reactivation_accuracy,reactivation_recall,false_births,births,rejected_births,false_birth_rate
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.0069444444961845875,0.02857142873108387,3,7,0.42857142857142855,2,3,0.6666666666666666,1,3,6,0.3333333333333333,0.16666666666666666,6,17,4,0.2857142857142857
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.043981485068798065,0.06481482088565826,5,17,0.29411764705882354,6,9,0.6666666666666666,3,9,14,0.3333333333333333,0.21428571428571427,7,19,4,0.30434782608695654
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T2,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,0.28587961196899414,0.2957746386528015,0,1,0.0,0,0,,0,0,0,,,4,14,2,0.25
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T3,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,0.013888888992369175,0.0416666716337204,1,5,0.2,2,4,0.5,2,4,4,0.5,0.5,4,15,2,0.23529411764705882
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T4,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,0.013888888992369175,0.0416666716337204,3,8,0.375,2,5,0.4,3,5,6,0.6,0.5,6,17,3,0.3
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T5,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,0.0555555559694767,0.0833333432674408,5,19,0.2631578947368421,3,13,0.23076923076923078,10,13,14,0.7692307692307693,0.7142857142857143,6,18,3,0.2857142857142857
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T2,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,0.5022487044334412,0.5248677134513855,0,4,0.0,0,0,,0,0,0,,,5,16,0,0.3125
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T3,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,0.3325231671333313,0.3481481671333313,0,12,0.0,0,6,0.0,6,6,6,1.0,1.0,7,18,1,0.3684210526315789
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T4,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,0.2673611044883728,0.2986111044883728,0,14,0.0,0,8,0.0,8,8,9,1.0,0.8888888888888888,7,18,1,0.3684210526315789
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T5,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,0.0486111119389534,0.0694444477558136,3,18,0.16666666666666666,0,9,0.0,9,9,15,1.0,0.6,10,21,2,0.43478260869565216
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.26423609256744385,0.32571426033973694,1,1,1.0,0,0,,0,0,0,,,4,15,2,0.23529411764705882
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.2604166567325592,0.30000001192092896,1,3,0.3333333333333333,0,0,,0,0,0,,,4,15,2,0.23529411764705882
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.0069444444961845875,0.02857142873108387,3,7,0.42857142857142855,2,3,0.6666666666666666,1,3,6,0.3333333333333333,0.16666666666666666,6,17,4,0.2857142857142857
