capacity,horizon,sequence_count,reference_scene_count,peak_occupied_slots_mean,peak_occupied_slots_median,peak_occupied_slots_q25,peak_occupied_slots_q75,peak_occupied_slots_max,mean_occupied_slots_mean,mean_occupied_slots_median,mean_occupied_slots_q25,mean_occupied_slots_q75,mean_occupied_slots_max,peak_occupancy_ratio_mean,peak_occupancy_ratio_median,peak_occupancy_ratio_q25,peak_occupancy_ratio_q75,peak_occupancy_ratio_max,peak_active_slots_mean,peak_active_slots_median,peak_active_slots_q25,peak_active_slots_q75,peak_active_slots_max,peak_dormant_slots_mean,peak_dormant_slots_median,peak_dormant_slots_q25,peak_dormant_slots_q75,peak_dormant_slots_max,birth_opportunities,accepted_births,rejected_births,birth_rejection_rate,state_bytes,memory_update_latency_ms_mean,memory_update_latency_ms_median,memory_update_latency_ms_q25,memory_update_latency_ms_q75,memory_update_latency_ms_max,total_update_latency_ms_mean,total_update_latency_ms_median,total_update_latency_ms_q25,total_update_latency_ms_q75,total_update_latency_ms_max,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
128,4,129,6,16.3953488372093,15.0,13.0,19.0,30.0,13.86046511627907,12.5,10.25,16.25,27.0,0.12808866279069767,0.1171875,0.1015625,0.1484375,0.234375,14.69767441860465,14.0,10.0,17.0,26.0,6.674418604651163,6.0,4.0,9.0,19.0,2115,2115,0,0.0,78088,0.7576834534883721,0.72874575,0.6986955,0.81566425,1.0010905,18.81564504263566,16.66685175,11.3903615,22.7071225,44.666765999999996,0.05956951901316643,0.13553611934185028,0.22074103355407715,0.13616830110549927,0.2372516244649887,0.31662553548812866,0.29914402961730957,0.4992165267467499,0.6799190044403076,0.4034278690814972,154,1488,167,1865,245,1943,696,246,207,0.10349462365591398,0.08954423592493298,0.12609366958311888,0.8414634146341463,0.2974137931034483
128,5,129,6,17.162790697674417,16.0,13.0,20.0,30.0,14.52093023255814,13.4,11.0,17.0,27.2,0.13408430232558138,0.125,0.1015625,0.15625,0.234375,15.387596899224807,14.0,11.0,18.0,26.0,8.007751937984496,7.0,5.0,11.0,19.0,2214,2214,0,0.0,78088,0.7599044356589147,0.7258176000000001,0.7005408,0.8194424,0.9876574,19.182827736434106,17.2877554,11.534596,25.3791594,40.3067478,0.04449684917926788,0.10772459208965302,0.169673353433609,0.10665469616651535,0.19998401403427124,0.28682082891464233,0.3091486096382141,0.4908618927001953,0.6834797859191895,0.41561758518218994,226,2029,236,2673,317,2754,1093,395,341,0.11138491867915229,0.08829031051253274,0.11510530137981119,0.8632911392405064,0.3119853613906679
160,2,129,6,13.65891472868217,12.0,10.0,16.0,28.0,12.011627906976743,11.0,8.5,14.5,26.0,0.08536821705426356,0.075,0.0625,0.1,0.175,12.581395348837209,12.0,10.0,15.0,26.0,2.89922480620155,2.0,0.0,4.0,12.0,1762,1762,0,0.0,97608,0.7410900736434108,0.7027205,0.6790045,0.807584,1.005853,17.831311841085274,15.3415925,10.2410685,22.077238,52.607857499999994,0.15863607823848724,0.2756635546684265,0.4781670868396759,0.2724342346191406,0.382106751203537,0.5550395846366882,0.2900303304195404,0.46857950091362,0.6604762673377991,0.40812087059020996,47,463,47,463,80,496,0,0,0,0.10151187904967603,0.10151187904967603,0.16129032258064516,,
160,3,129,6,15.023255813953488,14.0,11.0,17.0,30.0,13.015503875968992,12.0,9.666666666666666,15.333333333333334,26.666666666666668,0.0938953488372093,0.0875,0.06875,0.10625,0.1875,13.62015503875969,12.0,10.0,16.0,26.0,5.186046511627907,4.0,2.0,7.0,17.0,1938,1938,0,0.0,97608,0.76468630749354,0.732631,0.698248,0.8291243333333332,1.0577106666666667,18.075663710594316,15.673597999999998,11.708846333333334,22.046691,49.400497666666666,0.09889432787895203,0.19606494903564453,0.3549192547798157,0.19456875324249268,0.30214545130729675,0.44620054960250854,0.30016884207725525,0.49387311935424805,0.6779093146324158,0.4150903820991516,96,963,99,1106,159,1166,272,89,80,0.09968847352024922,0.08951175406871609,0.13636363636363635,0.898876404494382,0.29411764705882354
160,4,129,6,16.3953488372093,15.0,13.0,19.0,30.0,13.86046511627907,12.5,10.25,16.25,27.0,0.10247093023255814,0.09375,0.08125,0.11875,0.1875,14.69767441860465,14.0,10.0,17.0,26.0,6.674418604651163,6.0,4.0,9.0,19.0,2115,2115,0,0.0,97608,0.7771030717054264,0.74586475,0.71193975,0.8454725000000001,1.03241275,18.94535378488372,16.81759075,11.58139775,22.777811,43.6230885,0.05956951901316643,0.13553611934185028,0.22074103355407715,0.13616830110549927,0.2372516244649887,0.31662553548812866,0.29914402961730957,0.4992165267467499,0.6799190044403076,0.4034278690814972,154,1488,167,1865,245,1943,696,246,207,0.10349462365591398,0.08954423592493298,0.12609366958311888,0.8414634146341463,0.2974137931034483
160,5,129,6,17.162790697674417,16.0,13.0,20.0,30.0,14.52093023255814,13.4,11.0,17.0,27.2,0.10726744186046512,0.1,0.08125,0.125,0.1875,15.387596899224807,14.0,11.0,18.0,26.0,8.007751937984496,7.0,5.0,11.0,19.0,2214,2214,0,0.0,97608,0.7791430217054264,0.7504314,0.717877,0.8438994,1.0204012,19.297114262015505,17.5296758,11.5336936,24.806013,40.8138352,0.04449684917926788,0.10772459208965302,0.169673353433609,0.10665469616651535,0.19998401403427124,0.28682082891464233,0.3091486096382141,0.4908618927001953,0.6834797859191895,0.41561758518218994,226,2029,236,2673,317,2754,1093,395,341,0.11138491867915229,0.08829031051253274,0.11510530137981119,0.8632911392405064,0.3119853613906679
200,2,129,6,13.65891472868217,12.0,10.0,16.0,28.0,12.011627906976743,11.0,8.5,14.5,26.0,0.06829457364341085,0.06,0.05,0.08,0.14,12.581395348837209,12.0,10.0,15.0,26.0,2.89922480620155,2.0,0.0,4.0,12.0,1762,1762,0,0.0,122008,0.765972523255814,0.7305275,0.7012315,0.8247335,1.053064,17.974131255813955,15.5064815,10.40435,22.1795955,53.073139499999996,0.15863607823848724,0.2756635546684265,0.4781670868396759,0.2724342346191406,0.382106751203537,0.5550395846366882,0.2900303304195404,0.46857950091362,0.6604762673377991,0.40812087059020996,47,463,47,463,80,496,0,0,0,0.10151187904967603,0.10151187904967603,0.16129032258064516,,
200,3,129,6,15.023255813953488,14.0,11.0,17.0,30.0,13.015503875968992,12.0,9.666666666666666,15.333333333333334,26.666666666666668,0.07511627906976744,0.07,0.055,0.085,0.15,13.62015503875969,12.0,10.0,16.0,26.0,5.186046511627907,4.0,2.0,7.0,17.0,1938,1938,0,0.0,122008,0.7881947054263565,0.754833,0.71243,0.8547826666666666,1.1030783333333332,18.209337098191217,15.775759666666668,11.794834,22.278492333333332,49.855857333333326,0.09889432787895203,0.19606494903564453,0.3549192547798157,0.19456875324249268,0.30214545130729675,0.44620054960250854,0.30016884207725525,0.49387311935424805,0.6779093146324158,0.4150903820991516,96,963,99,1106,159,1166,272,89,80,0.09968847352024922,0.08951175406871609,0.13636363636363635,0.898876404494382,0.29411764705882354
200,4,129,6,16.3953488372093,15.0,13.0,19.0,30.0,13.86046511627907,12.5,10.25,16.25,27.0,0.08197674418604652,0.075,0.065,0.095,0.15,14.69767441860465,14.0,10.0,17.0,26.0,6.674418604651163,6.0,4.0,9.0,19.0,2115,2115,0,0.0,122008,0.7991387848837209,0.76161175,0.72915375,0.87291275,1.0785274999999999,19.116597321705427,16.72059425,11.73014825,23.060810500000002,43.14122475,0.05956951901316643,0.13553611934185028,0.22074103355407715,0.13616830110549927,0.2372516244649887,0.31662553548812866,0.29914402961730957,0.4992165267467499,0.6799190044403076,0.4034278690814972,154,1488,167,1865,245,1943,696,246,207,0.10349462365591398,0.08954423592493298,0.12609366958311888,0.8414634146341463,0.2974137931034483
200,5,129,6,17.162790697674417,16.0,13.0,20.0,30.0,14.52093023255814,13.4,11.0,17.0,27.2,0.08581395348837209,0.08,0.065,0.1,0.15,15.387596899224807,14.0,11.0,18.0,26.0,8.007751937984496,7.0,5.0,11.0,19.0,2214,2214,0,0.0,122008,0.8005120852713178,0.7678752,0.7339572000000001,0.875053,1.0595496,19.48292811627907,17.859360799999997,11.8523252,24.988274999999998,40.065236,0.04449684917926788,0.10772459208965302,0.169673353433609,0.10665469616651535,0.19998401403427124,0.28682082891464233,0.3091486096382141,0.4908618927001953,0.6834797859191895,0.41561758518218994,226,2029,236,2673,317,2754,1093,395,341,0.11138491867915229,0.08829031051253274,0.11510530137981119,0.8632911392405064,0.3119853613906679
