event_type,data_role,logical_unit_id,reference_id,method,config_id,absolute_stage,group_count,anchor_count,matched_group_count,new_identity_count,nonresident_count,overlap_lock_count,feature_edge_count,joint_edge_count,overlap_edge_count,missing_overlap_edge_count,zero_norm_query_count,zero_norm_anchor_count,mean_decision_score,mean_decision_margin,assignment_sha256
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,3,91,100,91,0,86,0,0,0,6004,3096,0,0,0.9676282104555067,0.013904496863648131,62f1addeb280396ca09f4038b42b8a2838593c9493b56258eecaf70e1c629ff1
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,4,99,91,91,8,94,0,0,0,6075,2934,0,0,0.8930978582362936,0.014977922343244457,d3dabb90a792bd1151fd0d5d7c421ca432b6819f16300e877cbf84efbd54ad1e
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,0,97,0,0,97,92,0,0,0,0,0,0,0,0.0,0.0,13f20b66ded1c98607b07d8ee5db199b8de81437ad004436f3d5ed6351db51f5
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,1,100,97,97,3,95,0,0,0,5846,3854,0,0,0.9546313017606736,0.008430388569831849,c489669ee67996bb43f74f28fc766116cf13e9c414af2852346826551d48d63b
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,2,97,100,97,0,92,0,0,0,5624,4076,0,0,0.9761567914608827,0.008117881632342781,e4128c7992ea5af7c07668cd5f424b1a12cd3c81598933573c074cd3fa054ca9
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,3,96,97,96,0,91,0,0,0,6450,2862,0,0,0.9782819468528032,0.009944838161269823,07b8e277ef91b93a88d6e24b4660df6972d1a59c3971e1cb48dc79178662cbf3
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,4,88,96,88,0,83,0,0,0,5727,2721,0,0,0.9874499548565258,0.00819671628150073,ea28fc88c26b0a7ff699c3edc42e2ab5b952ca623da55cf63baf5b9091ed5d97
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,0,97,0,0,97,92,0,0,0,0,0,0,0,0.0,0.0,a6c71fa588b13a09abd21adf4f721d8c428c73703755f2a3e560727ccbe490b2
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,1,100,97,97,3,95,0,0,0,5846,3854,0,0,0.9546313017606736,0.008430388569831849,7627c6409c413e202ef75aeb3047e92deb4d0a34f6ac880021fc0f3efb24de07
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,2,97,100,97,0,92,0,0,0,5624,4076,0,0,0.9761567914608827,0.008117881632342781,6a9d56d8404a747f9a1d3894587832001dc44606049a7423ad23e353cc469ded
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,3,96,97,96,0,91,0,0,0,6450,2862,0,0,0.9782819468528032,0.009944838161269823,bff16eb01633a59c02dbb413d1a111bde1d0ae174af967a711596cbf6c291765
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,4,88,96,88,0,83,0,0,0,5727,2721,0,0,0.9874499548565258,0.00819671628150073,c075e17c1a2487d575c47ae75d413c0d680e01f6aa96e558de19f56842c35a4a
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,0,97,0,0,97,92,0,0,0,0,0,0,0,0.0,0.0,f2a7505e5abd167ccc152e270db2e84ff165905cdbcf64583f9d17649bcfbd0d
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,1,100,97,97,3,95,0,0,0,5846,3854,0,0,0.9384503829479217,0.018615171313285828,0f2c792bb235ab1ad3acd63160b05efe733a96c7a25cb223e5c0b0621ed95a40
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,2,97,100,97,0,92,0,0,0,5624,4076,0,0,0.9686102283369634,0.013988008818675563,70728c116d4ce07932d5a01db179dc02fa38b3c6890fbcab4ed8ed77ca77fdf0
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,3,96,97,96,0,91,0,0,0,6450,2862,0,0,0.9673390574753284,0.01841439555088679,bf76196536d8a713ec1caa679ce0e3af6f871c68ebf41646b6eea686db4851af
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00018,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,4,88,96,88,0,83,0,0,0,5727,2721,0,0,0.9553750238635323,0.014338962733745575,ec48bdd77e588b0fb78e0e32d10381f4bc2d9b209f778fe8cb97e2035f226049
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,0,93,0,0,93,89,0,0,0,0,0,0,0,0.0,0.0,8b36e92569e8760c0fb22b2f65686d848f9a748d2d7eace4feb8ca72e505a728
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,1,96,93,93,3,91,0,0,0,5112,3816,0,0,0.9553666363159815,0.009145294005672136,e9988b09e592784c856238cebfaea15d2a4a502cab09563d633f29f07d866470
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,2,99,96,96,3,94,0,0,0,7052,2452,0,0,0.9588937669089346,0.007382031643029415,8852603c52c7dfc6e14fb21fc1dc12e83d02b079d12b5647e885917d4fc65fbd
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,3,99,99,99,0,94,0,0,0,6162,3639,0,0,0.9848307985247988,0.007357479345918906,62cef6c24109ecc6ea9a3fbc85c93fe1d1c7c2d3cee1384560f0723e12d2d12c
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,4,95,99,95,0,90,0,0,0,5168,4237,0,0,0.9787563669054131,0.007078109289470472,c753c28e2859326c3a9887a935e30220602e8d4de62f832f41dd7f5ccc860943
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,0,93,0,0,93,89,0,0,0,0,0,0,0,0.0,0.0,9b4f798436cd03f2c51cae2e2bf269e32859db68175bcd604ea127c3202d2dca
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,1,96,93,93,3,91,2,0,0,5112,3816,0,0,0.9546256971855959,0.01626931255062421,f61d331d9b98db34a856e54bfe6aa64937d8017e025e73ba63700ce2fcdbbf16
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,2,99,96,96,3,94,4,0,0,7052,2452,0,0,0.9545346197455821,0.027506078132475267,e5b983a955f13f4e7c60e3ab8bfd35ccc31e41d8d8ddf84df53fc5ab11cf6494
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,3,99,99,99,0,94,0,0,0,6162,3639,0,0,0.9848307985247988,0.007357479345918906,35b07d7951f7fe68a34f3ca6f66cb5ebe0fa77ea60e8eebdc005c13e94df9f46
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,4,95,99,95,0,90,1,0,0,5168,4237,0,0,0.976875092481312,0.010710854279367547,24033d280c923fbfc42eccb59e2128fa3edeb509dbea5b302421bc7988410414
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,0,93,0,0,93,89,0,0,0,0,0,0,0,0.0,0.0,564df514a7e7be98fe67d99ca15cb973372acc0e963f3d644ccb981d7fb7eb0d
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,1,96,93,93,3,91,0,0,0,5112,3816,0,0,0.9328620744248232,0.013365560521682104,c810a555d7e7869678682cd6927e692c85919e63b5b39b5195fc19108155f868
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,2,99,96,96,3,94,0,0,0,7052,2452,0,0,0.9436203072769473,0.0144109744014162,29d6e257fa2a7826442250c39015055e5f634e282c8e4ae0095ef86dfb219ad4
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,3,99,99,99,0,94,0,0,0,6162,3639,0,0,0.9637317404602513,0.01632035862315785,f83afe403056aa873d3019cc4ef3b62620ed9b8f2a4f38106ebd937a29286797
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00019,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,4,95,99,95,0,90,0,0,0,5168,4237,0,0,0.9659685988175242,0.010947918891906739,7faa5d707606cf78dcfc34803d6dcf6537b44e8bd32f04249d54e530b55f9df4
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,0,94,0,0,94,89,0,0,0,0,0,0,0,0.0,0.0,73c5cde25cf281028aefd485c9917f3fd2290ec5dd208037d10bef473db08e62
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,1,98,94,94,4,93,0,0,0,6142,3070,0,0,0.9427398406729406,0.007559441790288808,3747be641a92706bd412820ac05f9303c4530a4815c0d726018f2405e6c36046
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,2,99,98,98,1,94,0,0,0,7304,2398,0,0,0.9677831253620109,0.008333491556572191,71fcf84fe8c4094a6806c909cbd821adc37945c0e525c0dbbd088b7c3edbb916
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,3,95,99,95,0,90,0,0,0,6972,2433,0,0,0.9829683077962775,0.007385479776482833,faf5591689e24091fa05a9646302beb2c58d1f3f3c161ae9ec1fc1367d1c7d8b
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,4,97,95,95,2,92,0,0,0,6237,2978,0,0,0.9645175946127508,0.008121510756384466,ce78d0b516fe00f96d44790fea9781cb95e77fa7fee9959f7cb3eb36e7bedc88
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,0,94,0,0,94,89,0,0,0,0,0,0,0,0.0,0.0,109f2d4800a17aa6f8d32a92cbd75208cc7f77c54d543007ca09d4607c4c51f9
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,1,98,94,94,4,93,0,0,0,6142,3070,0,0,0.9427398406729406,0.007559441790288808,c44e55e3b6090e2f73992d3ee5a4cfcee0a527067cc7660976b29c1f5d6a34f1
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,2,99,98,98,1,94,0,0,0,7304,2398,0,0,0.9677831253620109,0.008333491556572191,d8cfc817cce3adb459886bf39b57ad69085d8dbf224624954476c9cff98fc6d1
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,3,95,99,95,0,91,1,0,0,6972,2433,0,0,0.9836389052240472,0.009722609896408885,c40f41aa84840c989de0a9f403f3b1208f58f8295097e051ca6d4f0e3caddc1d
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,4,97,96,96,1,92,0,0,0,6237,3075,0,0,0.9734851115757657,0.008121510756384466,8fc95c842609fe57721d36c0ff3a0415fe3542519f07969df741fcc4c3777a4f
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,0,94,0,0,94,89,0,0,0,0,0,0,0,0.0,0.0,da28bf8659d52ad761a423bc02515b260ec5c70818d065110e60e322d96f63e0
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,1,98,94,94,4,93,0,0,0,6142,3070,0,0,0.9288441733438142,0.014374652079173498,70ee5d11e0fb764d37ffaf50d87bcb79463697c4fe1c3756b26bfe05c4c6f7d1
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,2,99,98,98,1,93,0,0,0,7304,2398,0,0,0.9639821275316104,0.01219593154059516,fb5f53e4ec3526d29bee35b6ec52a9455a204477422750cfd2608a61eb92d94a
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,3,95,99,95,0,90,0,0,0,6972,2433,0,0,0.9599130937927648,0.008474087715148926,675b00dd995b4285d37d2ae44aab8b65def0a97fe2d5b918b4f8f263678d6b4d
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00020,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,4,97,96,96,1,91,0,0,0,6237,3075,0,0,0.967323274956536,0.007499275748262701,6d55413f80b404a9770d8ebb8317048a0310696dafd0b705d2de50169d6ebe0f
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00021,2e36952b-e133-204c-911e-7644cb34e8b2,A0-U-default,A0-U-tau-0.666666666667,0,78,0,0,78,73,0,0,0,0,0,0,0,0.0,0.0,d5f7cbcc7bde468b1f8beb6cd5da46fa7a20cb9c60e1f05d9ca88fa53ee675dd
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00021,2e36952b-e133-204c-911e-7644cb34e8b2,A0-U-default,A0-U-tau-0.666666666667,1,69,78,68,1,63,0,0,0,2520,2862,0,0,0.9685500246891077,0.013687946658203567,403829db74355920921ed61f2dd1294f4ece497cdf756732fb6424ee87e864eb
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00021,2e36952b-e133-204c-911e-7644cb34e8b2,A0-U-default,A0-U-tau-0.666666666667,2,64,69,64,0,58,0,0,0,3080,1336,0,0,0.9870785856619477,0.014222044497728348,2188d8e9ce0bbb5376cb4740c689361c7d1d5becdddadda03afab6b9bc17a52b
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00021,2e36952b-e133-204c-911e-7644cb34e8b2,A0-U-default,A0-U-tau-0.666666666667,3,62,64,62,0,56,0,0,0,2394,1574,0,0,0.9756371186625573,0.02021240803503221,7eb2a74eef78cdefafc4d6fd1821c63ddf08aee1532bf3d7760c2ced2755da64
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00021,2e36952b-e133-204c-911e-7644cb34e8b2,A0-U-default,A0-U-tau-0.666666666667,4,58,62,58,0,52,0,0,0,2184,1412,0,0,0.9825682383159111,0.015381893207286966,5ac77cf210d37ac3b9d0a7c4720d63c2760ce839777d3f304ba9e60eb05a479e
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00021,2e36952b-e133-204c-911e-7644cb34e8b2,A1-default,A1-theta-0.65,0,78,0,0,78,73,0,0,0,0,0,0,0,0.0,0.0,8857630beb564df99b2612d6e928eab9696d445dfc3144d1b00655b96d17bd67
