method_id,method,reference_scene_id,master_sequence_id,order_id,horizon,tracker_initialization_horizon,task_metric_source,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
FullHistoryNative,ReScene4D Full-History,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,2,frozen_full_history_cache,0.16859567165374756,0.2951388955116272,0.3340277671813965,0.23456789553165436,0.3888888955116272,0.6111111044883728,0.5524691343307495,0.6944444179534912,0.8055555820465088,0.6944444179534912,4,4,4,4,0,0,0,0,0,1.0,1.0,,,
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,1,frozen_persist4d_cache,0.3580246865749359,0.6111111044883728,0.625,0.4027777910232544,0.6875,0.75,0.422839492559433,0.5833333134651184,0.6666666865348816,0.7592592835426331,0,9,0,11,0,11,2,2,2,0.0,0.0,0.0,1.0,1.0
B1,Pairwise Feature Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,2,frozen_full_history_cache,0.15432098507881165,0.2916666567325592,0.4305555522441864,0.1913580298423767,0.3333333432674408,0.5555555820465088,0.5949074029922485,0.75,0.875,0.7777777910232544,1,7,1,7,0,6,0,0,0,0.14285714285714285,0.14285714285714285,0.0,,
B2,Pairwise Feature-Class Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,2,frozen_full_history_cache,0.15432098507881165,0.2916666567325592,0.4305555522441864,0.1913580298423767,0.3333333432674408,0.5555555820465088,0.5949074029922485,0.75,0.875,0.7777777910232544,0,7,0,7,0,7,0,0,0,0.0,0.0,0.0,,
B3,EMA Temporal Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,2,frozen_full_history_cache,0.15432098507881165,0.2916666567325592,0.4305555522441864,0.1913580298423767,0.3333333432674408,0.5555555820465088,0.5949074029922485,0.75,0.875,0.7777777910232544,0,7,0,7,0,7,0,0,0,0.0,0.0,0.0,,
B4,Full-History + Persistent-State Diagnostic,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,2,frozen_full_history_cache,0.15432098507881165,0.2916666567325592,0.4305555522441864,0.1913580298423767,0.3333333432674408,0.5555555820465088,0.5949074029922485,0.75,0.875,0.7777777910232544,0,7,0,7,0,7,0,0,0,0.0,0.0,0.0,,
FullHistoryNative,ReScene4D Full-History,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,2,frozen_full_history_cache,0.15432098507881165,0.2916666567325592,0.4305555522441864,0.1913580298423767,0.3333333432674408,0.5555555820465088,0.5949074029922485,0.75,0.875,0.7777777910232544,7,7,7,7,0,0,0,0,0,1.0,1.0,,,
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,1,frozen_persist4d_cache,0.2839506268501282,0.5,0.5138888955116272,0.3194444477558136,0.5625,0.625,0.5,0.6666666865348816,0.6666666865348816,0.6000000238418579,0,12,0,14,0,14,2,2,2,0.0,0.0,0.0,1.0,1.0
B1,Pairwise Feature Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,2,frozen_full_history_cache,0.25925925374031067,0.4027777910232544,0.5138888955116272,0.29629629850387573,0.4444444477558136,0.5555555820465088,0.7967686653137207,1.0,1.0,0.8095238208770752,1,10,5,14,0,9,4,3,0,0.1,0.35714285714285715,0.0,0.0,0.0
B2,Pairwise Feature-Class Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,2,frozen_full_history_cache,0.25925925374031067,0.4027777910232544,0.5138888955116272,0.29629629850387573,0.4444444477558136,0.5555555820465088,0.7967686653137207,1.0,1.0,0.8095238208770752,0,10,4,14,0,10,4,3,0,0.0,0.2857142857142857,0.0,0.0,0.0
B3,EMA Temporal Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,2,frozen_full_history_cache,0.25925925374031067,0.4027777910232544,0.5138888955116272,0.29629629850387573,0.4444444477558136,0.5555555820465088,0.7967686653137207,1.0,1.0,0.8095238208770752,0,10,4,14,0,10,4,3,0,0.0,0.2857142857142857,0.0,0.0,0.0
B4,Full-History + Persistent-State Diagnostic,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,2,frozen_full_history_cache,0.25925925374031067,0.4027777910232544,0.5138888955116272,0.29629629850387573,0.4444444477558136,0.5555555820465088,0.7967686653137207,1.0,1.0,0.8095238208770752,0,10,1,14,0,13,4,3,2,0.0,0.07142857142857142,0.0,0.6666666666666666,0.5
FullHistoryNative,ReScene4D Full-History,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,2,frozen_full_history_cache,0.25925925374031067,0.4027777910232544,0.5138888955116272,0.29629629850387573,0.4444444477558136,0.5555555820465088,0.7967686653137207,1.0,1.0,0.8095238208770752,10,10,14,14,1,1,4,3,0,1.0,1.0,1.0,0.0,0.0
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,1,frozen_persist4d_cache,0.2839506268501282,0.5,0.5,0.3194444477558136,0.5625,0.5625,0.7698412537574768,0.8571428656578064,0.8571428656578064,0.8981481194496155,0,15,0,21,0,21,6,5,5,0.0,0.0,0.0,1.0,0.8333333333333334
B1,Pairwise Feature Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,2,2,frozen_full_history_cache,0.4242284297943115,0.4861111044883728,0.6805555820465088,0.5864197611808777,0.6666666865348816,0.7777777910232544,0.5324074029922485,0.6875,0.8611111044883728,0.7592592835426331,0,0,0,0,0,0,0,0,0,,,,,
B2,Pairwise Feature-Class Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,2,2,frozen_full_history_cache,0.4242284297943115,0.4861111044883728,0.6805555820465088,0.5864197611808777,0.6666666865348816,0.7777777910232544,0.5324074029922485,0.6875,0.8611111044883728,0.7592592835426331,0,0,0,0,0,0,0,0,0,,,,,
B3,EMA Temporal Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,2,2,frozen_full_history_cache,0.4242284297943115,0.4861111044883728,0.6805555820465088,0.5864197611808777,0.6666666865348816,0.7777777910232544,0.5324074029922485,0.6875,0.8611111044883728,0.7592592835426331,0,0,0,0,0,0,0,0,0,,,,,
B4,Full-History + Persistent-State Diagnostic,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,2,2,frozen_full_history_cache,0.4242284297943115,0.4861111044883728,0.6805555820465088,0.5864197611808777,0.6666666865348816,0.7777777910232544,0.5324074029922485,0.6875,0.8611111044883728,0.7592592835426331,0,0,0,0,0,0,0,0,0,,,,,
FullHistoryNative,ReScene4D Full-History,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,2,2,frozen_full_history_cache,0.4242284297943115,0.4861111044883728,0.6805555820465088,0.5864197611808777,0.6666666865348816,0.7777777910232544,0.5324074029922485,0.6875,0.8611111044883728,0.7592592835426331,0,0,0,0,0,0,0,0,0,,,,,
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,2,1,frozen_persist4d_cache,0.4444444477558136,0.4722222089767456,0.5555555820465088,0.5833333134651184,0.625,0.625,0.5,0.6666666865348816,0.6666666865348816,0.6000000238418579,0,2,0,2,1,3,0,0,0,0.0,0.0,0.3333333333333333,,
B1,Pairwise Feature Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,3,2,frozen_full_history_cache,0.30308640003204346,0.45370373129844666,0.5046296119689941,0.3395061790943146,0.5,0.6666666865348816,0.6057098507881165,0.7777777910232544,0.9166666865348816,0.6111111044883728,0,3,0,3,0,3,0,0,0,0.0,0.0,0.0,,
B2,Pairwise Feature-Class Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,3,2,frozen_full_history_cache,0.30308640003204346,0.45370373129844666,0.5046296119689941,0.3395061790943146,0.5,0.6666666865348816,0.6057098507881165,0.7777777910232544,0.9166666865348816,0.6111111044883728,0,3,0,3,0,3,0,0,0,0.0,0.0,0.0,,
B3,EMA Temporal Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,3,2,frozen_full_history_cache,0.30308640003204346,0.45370373129844666,0.5046296119689941,0.3395061790943146,0.5,0.6666666865348816,0.6057098507881165,0.7777777910232544,0.9166666865348816,0.6111111044883728,0,3,0,3,0,3,0,0,0,0.0,0.0,0.0,,
B4,Full-History + Persistent-State Diagnostic,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,3,2,frozen_full_history_cache,0.30308640003204346,0.45370373129844666,0.5046296119689941,0.3395061790943146,0.5,0.6666666865348816,0.6057098507881165,0.7777777910232544,0.9166666865348816,0.6111111044883728,0,3,0,3,0,3,0,0,0,0.0,0.0,0.0,,
FullHistoryNative,ReScene4D Full-History,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,3,2,frozen_full_history_cache,0.30308640003204346,0.45370373129844666,0.5046296119689941,0.3395061790943146,0.5,0.6666666865348816,0.6057098507881165,0.7777777910232544,0.9166666865348816,0.6111111044883728,3,3,3,3,0,0,0,0,0,1.0,1.0,,,
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,3,1,frozen_persist4d_cache,0.3055555522441864,0.4722222089767456,0.5555555820465088,0.375,0.625,0.625,0.5555555820465088,0.7777777910232544,0.8888888955116272,0.625,0,5,0,7,1,8,3,2,2,0.0,0.0,0.125,1.0,0.6666666666666666
B1,Pairwise Feature Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,4,2,frozen_full_history_cache,0.29663923382759094,0.5,0.6435185074806213,0.3024691343307495,0.5,0.6666666865348816,0.7341269850730896,0.8928571343421936,0.8928571343421936,0.817460298538208,1,8,1,8,0,7,0,0,0,0.125,0.125,0.0,,
B2,Pairwise Feature-Class Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,4,2,frozen_full_history_cache,0.29663923382759094,0.5,0.6435185074806213,0.3024691343307495,0.5,0.6666666865348816,0.7341269850730896,0.8928571343421936,0.8928571343421936,0.817460298538208,0,8,0,8,0,8,0,0,0,0.0,0.0,0.0,,
B3,EMA Temporal Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,4,2,frozen_full_history_cache,0.29663923382759094,0.5,0.6435185074806213,0.3024691343307495,0.5,0.6666666865348816,0.7341269850730896,0.8928571343421936,0.8928571343421936,0.817460298538208,1,8,1,8,0,7,0,0,0,0.125,0.125,0.0,,
B4,Full-History + Persistent-State Diagnostic,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,4,2,frozen_full_history_cache,0.29663923382759094,0.5,0.6435185074806213,0.3024691343307495,0.5,0.6666666865348816,0.7341269850730896,0.8928571343421936,0.8928571343421936,0.817460298538208,1,8,1,8,1,8,0,0,0,0.125,0.125,0.125,,
FullHistoryNative,ReScene4D Full-History,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,4,2,frozen_full_history_cache,0.29663923382759094,0.5,0.6435185074806213,0.3024691343307495,0.5,0.6666666865348816,0.7341269850730896,0.8928571343421936,0.8928571343421936,0.817460298538208,8,8,8,8,3,3,0,0,0,1.0,1.0,1.0,,
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,4,1,frozen_persist4d_cache,0.29629629850387573,0.4444444477558136,0.4444444477558136,0.3333333432674408,0.5,0.5,0.5753968358039856,0.6785714030265808,0.6785714030265808,0.7685185074806213,0,10,0,13,1,14,4,3,3,0.0,0.0,0.07142857142857142,1.0,0.75
B1,Pairwise Feature Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,5,2,frozen_full_history_cache,0.22839505970478058,0.4027777910232544,0.4305555522441864,0.26543208956718445,0.4444444477558136,0.5555555820465088,0.5702160596847534,0.7958333492279053,0.9166666865348816,0.6851851940155029,2,13,5,16,0,11,2,2,0,0.15384615384615385,0.3125,0.0,0.0,0.0
B2,Pairwise Feature-Class Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,5,2,frozen_full_history_cache,0.22839505970478058,0.4027777910232544,0.4305555522441864,0.26543208956718445,0.4444444477558136,0.5555555820465088,0.5702160596847534,0.7958333492279053,0.9166666865348816,0.6851851940155029,1,13,4,16,0,12,2,2,0,0.07692307692307693,0.25,0.0,0.0,0.0
B3,EMA Temporal Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,5,2,frozen_full_history_cache,0.22839505970478058,0.4027777910232544,0.4305555522441864,0.26543208956718445,0.4444444477558136,0.5555555820465088,0.5702160596847534,0.7958333492279053,0.9166666865348816,0.6851851940155029,3,13,5,16,1,12,2,2,0,0.23076923076923078,0.3125,0.08333333333333333,0.0,0.0
B4,Full-History + Persistent-State Diagnostic,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,5,2,frozen_full_history_cache,0.22839505970478058,0.4027777910232544,0.4305555522441864,0.26543208956718445,0.4444444477558136,0.5555555820465088,0.5702160596847534,0.7958333492279053,0.9166666865348816,0.6851851940155029,2,13,2,16,1,15,2,2,2,0.15384615384615385,0.125,0.06666666666666667,1.0,1.0
FullHistoryNative,ReScene4D Full-History,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,5,2,frozen_full_history_cache,0.22839505970478058,0.4027777910232544,0.4305555522441864,0.26543208956718445,0.4444444477558136,0.5555555820465088,0.5702160596847534,0.7958333492279053,0.9166666865348816,0.6851851940155029,13,13,15,16,3,4,2,2,0,1.0,0.9375,0.75,0.0,0.0
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,5,1,frozen_persist4d_cache,0.2469135820865631,0.4444444477558136,0.4444444477558136,0.2777777910232544,0.5,0.5,0.4691357910633087,0.6805555820465088,0.7777777910232544,0.5694444179534912,0,15,0,21,1,22,6,5,5,0.0,0.0,0.045454545454545456,1.0,0.8333333333333334
B1,Pairwise Feature Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,2,2,frozen_full_history_cache,0.6085390448570251,0.75,0.8101851940155029,0.6666666865348816,0.8333333134651184,1.0,0.6121399402618408,0.7777777910232544,1.0,0.6234567761421204,0,0,0,0,0,0,0,0,0,,,,,
B2,Pairwise Feature-Class Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,2,2,frozen_full_history_cache,0.6085390448570251,0.75,0.8101851940155029,0.6666666865348816,0.8333333134651184,1.0,0.6121399402618408,0.7777777910232544,1.0,0.6234567761421204,0,0,0,0,0,0,0,0,0,,,,,
B3,EMA Temporal Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,2,2,frozen_full_history_cache,0.6085390448570251,0.75,0.8101851940155029,0.6666666865348816,0.8333333134651184,1.0,0.6121399402618408,0.7777777910232544,1.0,0.6234567761421204,0,0,0,0,0,0,0,0,0,,,,,
B4,Full-History + Persistent-State Diagnostic,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,2,2,frozen_full_history_cache,0.6085390448570251,0.75,0.8101851940155029,0.6666666865348816,0.8333333134651184,1.0,0.6121399402618408,0.7777777910232544,1.0,0.6234567761421204,0,0,0,0,0,0,0,0,0,,,,,
FullHistoryNative,ReScene4D Full-History,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,2,2,frozen_full_history_cache,0.6085390448570251,0.75,0.8101851940155029,0.6666666865348816,0.8333333134651184,1.0,0.6121399402618408,0.7777777910232544,1.0,0.6234567761421204,0,0,0,0,0,0,0,0,0,,,,,
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,2,1,frozen_persist4d_cache,0.654321014881134,0.8333333134651184,0.8333333134651184,0.7361111044883728,0.9375,0.9375,0.6111111044883728,0.7777777910232544,0.7777777910232544,0.7857142686843872,0,5,0,5,0,5,0,0,0,0.0,0.0,0.0,,
B1,Pairwise Feature Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,3,2,frozen_full_history_cache,0.4454732835292816,0.6111111044883728,0.6388888955116272,0.4506172835826874,0.6111111044883728,0.7222222089767456,0.5574074387550354,0.7083333134651184,1.0,0.6851851940155029,0,3,0,3,0,3,0,0,0,0.0,0.0,0.0,,
B2,Pairwise Feature-Class Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,3,2,frozen_full_history_cache,0.4454732835292816,0.6111111044883728,0.6388888955116272,0.4506172835826874,0.6111111044883728,0.7222222089767456,0.5574074387550354,0.7083333134651184,1.0,0.6851851940155029,0,3,0,3,0,3,0,0,0,0.0,0.0,0.0,,
B3,EMA Temporal Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,3,2,frozen_full_history_cache,0.4454732835292816,0.6111111044883728,0.6388888955116272,0.4506172835826874,0.6111111044883728,0.7222222089767456,0.5574074387550354,0.7083333134651184,1.0,0.6851851940155029,0,3,0,3,0,3,0,0,0,0.0,0.0,0.0,,
B4,Full-History + Persistent-State Diagnostic,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,3,2,frozen_full_history_cache,0.4454732835292816,0.6111111044883728,0.6388888955116272,0.4506172835826874,0.6111111044883728,0.7222222089767456,0.5574074387550354,0.7083333134651184,1.0,0.6851851940155029,0,3,0,3,0,3,0,0,0,0.0,0.0,0.0,,
FullHistoryNative,ReScene4D Full-History,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,3,2,frozen_full_history_cache,0.4454732835292816,0.6111111044883728,0.6388888955116272,0.4506172835826874,0.6111111044883728,0.7222222089767456,0.5574074387550354,0.7083333134651184,1.0,0.6851851940155029,3,3,3,3,0,0,0,0,0,1.0,1.0,,,
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,3,1,frozen_persist4d_cache,0.42592594027519226,0.5555555820465088,0.5555555820465088,0.4791666567325592,0.625,0.625,0.5,0.6666666865348816,0.6666666865348816,0.6000000238418579,0,8,0,8,1,9,0,0,0,0.0,0.0,0.1111111111111111,,
B1,Pairwise Feature Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,4,2,frozen_full_history_cache,0.29497355222702026,0.4246031641960144,0.5277777910232544,0.327160507440567,0.6111111044883728,0.6111111044883728,0.6566234827041626,0.8707561492919922,0.9166666865348816,0.8209876418113708,0,6,3,10,0,7,4,4,1,0.0,0.3,0.0,0.25,0.25
B2,Pairwise Feature-Class Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,4,2,frozen_full_history_cache,0.29497355222702026,0.4246031641960144,0.5277777910232544,0.327160507440567,0.6111111044883728,0.6111111044883728,0.6566234827041626,0.8707561492919922,0.9166666865348816,0.8209876418113708,0,6,3,10,0,7,4,4,1,0.0,0.3,0.0,0.25,0.25
B3,EMA Temporal Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,4,2,frozen_full_history_cache,0.29497355222702026,0.4246031641960144,0.5277777910232544,0.327160507440567,0.6111111044883728,0.6111111044883728,0.6566234827041626,0.8707561492919922,0.9166666865348816,0.8209876418113708,0,6,3,10,0,7,4,4,1,0.0,0.3,0.0,0.25,0.25
