method_id,method,horizon,sequence_count,task_metric_source,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
B3,EMA Temporal Association,3,129,frozen_full_history_cache,0.10789728909730911,0.18514050543308258,0.34857818484306335,0.2476949393749237,0.4108293354511261,0.5680026412010193,0.3669058680534363,0.5608996748924255,0.767978847026825,0.49847909808158875,68,489,68,489,69,490,0,0,0,0.1390593047034765,0.1390593047034765,0.14081632653061224,,
B3,EMA Temporal Association,4,129,frozen_full_history_cache,0.06899910420179367,0.13188578188419342,0.24188090860843658,0.18835905194282532,0.32543787360191345,0.4589711129665375,0.36049994826316833,0.5663458108901978,0.7679016590118408,0.49829205870628357,160,1003,240,1160,126,1046,309,101,31,0.15952143569292124,0.20689655172413793,0.12045889101338432,0.3069306930693069,0.10032362459546926
B3,EMA Temporal Association,5,129,frozen_full_history_cache,0.045340124517679214,0.08561473339796066,0.16709297895431519,0.1365537792444229,0.23615474998950958,0.369904488325119,0.36372849345207214,0.5437174439430237,0.7705991864204407,0.4884997308254242,263,1548,444,1928,193,1677,654,218,57,0.1698966408268734,0.23029045643153526,0.11508646392367322,0.26146788990825687,0.0871559633027523
B4,Full-History + Persistent-State Diagnostic,2,129,frozen_full_history_cache,0.19099636375904083,0.2987154722213745,0.4959089159965515,0.34165626764297485,0.5186951160430908,0.6918497681617737,0.37085068225860596,0.5460096001625061,0.7594894170761108,0.49325576424598694,0,0,0,0,0,0,0,0,0,,,,,
B4,Full-History + Persistent-State Diagnostic,3,129,frozen_full_history_cache,0.10789728909730911,0.18514050543308258,0.34857818484306335,0.2476949393749237,0.4108293354511261,0.5680026412010193,0.3669058680534363,0.5608996748924255,0.767978847026825,0.49847909808158875,61,489,61,489,60,488,0,0,0,0.12474437627811862,0.12474437627811862,0.12295081967213115,,
B4,Full-History + Persistent-State Diagnostic,4,129,frozen_full_history_cache,0.06899910420179367,0.13188578188419342,0.24188090860843658,0.18835905194282532,0.32543787360191345,0.4589711129665375,0.36049994826316833,0.5663458108901978,0.7679016590118408,0.49829205870628357,124,1003,140,1160,126,1146,309,101,80,0.12362911266201396,0.1206896551724138,0.1099476439790576,0.7920792079207921,0.2588996763754045
B4,Full-History + Persistent-State Diagnostic,5,129,frozen_full_history_cache,0.045340124517679214,0.08561473339796066,0.16709297895431519,0.1365537792444229,0.23615474998950958,0.369904488325119,0.36372849345207214,0.5437174439430237,0.7705991864204407,0.4884997308254242,201,1548,219,1928,199,1908,654,218,168,0.1298449612403101,0.11358921161825726,0.10429769392033543,0.7706422018348624,0.25688073394495414
Persist4D,Persist4D Persistent Entity State,2,129,frozen_persist4d_cache,0.15863607823848724,0.2756635546684265,0.4781670868396759,0.2724342346191406,0.382106751203537,0.5550395846366882,0.2900303304195404,0.46857950091362,0.6604762673377991,0.40812087059020996,47,463,47,463,80,496,0,0,0,0.10151187904967603,0.10151187904967603,0.16129032258064516,,
Persist4D,Persist4D Persistent Entity State,3,129,frozen_persist4d_cache,0.09889432787895203,0.19606494903564453,0.3549192547798157,0.19456875324249268,0.30214545130729675,0.44620054960250854,0.30016884207725525,0.49387311935424805,0.6779093146324158,0.4150903820991516,96,963,99,1106,159,1166,272,89,80,0.09968847352024922,0.08951175406871609,0.13636363636363635,0.898876404494382,0.29411764705882354
Persist4D,Persist4D Persistent Entity State,4,129,frozen_persist4d_cache,0.05956951901316643,0.13553611934185028,0.22074103355407715,0.13616830110549927,0.2372516244649887,0.31662553548812866,0.29914402961730957,0.4992165267467499,0.6799190044403076,0.4034278690814972,154,1488,167,1865,245,1943,696,246,207,0.10349462365591398,0.08954423592493298,0.12609366958311888,0.8414634146341463,0.2974137931034483
Persist4D,Persist4D Persistent Entity State,5,129,frozen_persist4d_cache,0.04449684917926788,0.10772459208965302,0.169673353433609,0.10665469616651535,0.19998401403427124,0.28682082891464233,0.3091486096382141,0.4908618927001953,0.6834797859191895,0.41561758518218994,226,2029,236,2673,317,2754,1093,395,341,0.11138491867915229,0.08829031051253274,0.11510530137981119,0.8632911392405064,0.3119853613906679
