method,reference_scene_id,master_sequence_id,order_id,horizon,deployment_id_switches,identity_transition_opportunities,normalized_id_switch_rate,fragmentation_count,fragmentation_opportunities,fragmentation_rate,merge_count,merge_opportunities,merge_rate,gap_opportunities,recovery_attempts,correct_recoveries,gap_recovery_accuracy,gap_recovery_recall,association_event_count,new_birth_count,false_birth_count,birth_rejected_count,tracker_input,identity_matching,cache_digest
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,2,0,2,0.0,0,2,0.0,1,3,0.3333333333333333,0,0,0,,,21,11,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,ce6852330395c3c0e4caaa666d8b9c0d87ceecb73ed838c1619f61200e16d24b
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,2,0,2,0.0,0,2,0.0,1,3,0.3333333333333333,0,0,0,,,21,11,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,ce6852330395c3c0e4caaa666d8b9c0d87ceecb73ed838c1619f61200e16d24b
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,2,0,2,0.0,0,2,0.0,1,3,0.3333333333333333,0,0,0,,,21,11,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,ce6852330395c3c0e4caaa666d8b9c0d87ceecb73ed838c1619f61200e16d24b
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,3,0,5,0.0,1,7,0.14285714285714285,1,7,0.14285714285714285,3,2,1,0.5,0.3333333333333333,34,15,4,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,ce6852330395c3c0e4caaa666d8b9c0d87ceecb73ed838c1619f61200e16d24b
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,3,0,5,0.0,2,7,0.2857142857142857,1,6,0.16666666666666666,3,2,0,0.0,0.0,34,14,4,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,ce6852330395c3c0e4caaa666d8b9c0d87ceecb73ed838c1619f61200e16d24b
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,3,0,5,0.0,0,7,0.0,1,8,0.125,3,2,2,1.0,0.6666666666666666,34,13,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,ce6852330395c3c0e4caaa666d8b9c0d87ceecb73ed838c1619f61200e16d24b
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,4,0,10,0.0,1,13,0.07692307692307693,1,13,0.07692307692307693,4,3,2,0.6666666666666666,0.5,44,15,4,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,ce6852330395c3c0e4caaa666d8b9c0d87ceecb73ed838c1619f61200e16d24b
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,4,1,10,0.1,2,13,0.15384615384615385,1,12,0.08333333333333333,4,3,1,0.3333333333333333,0.25,44,14,4,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,ce6852330395c3c0e4caaa666d8b9c0d87ceecb73ed838c1619f61200e16d24b
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,4,0,10,0.0,0,13,0.0,1,14,0.07142857142857142,4,3,3,1.0,0.75,44,13,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,ce6852330395c3c0e4caaa666d8b9c0d87ceecb73ed838c1619f61200e16d24b
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,5,0,15,0.0,4,21,0.19047619047619047,1,18,0.05555555555555555,6,5,2,0.4,0.3333333333333333,57,18,7,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,ce6852330395c3c0e4caaa666d8b9c0d87ceecb73ed838c1619f61200e16d24b
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,5,2,15,0.13333333333333333,6,21,0.2857142857142857,2,17,0.11764705882352941,6,5,1,0.2,0.16666666666666666,57,17,7,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,ce6852330395c3c0e4caaa666d8b9c0d87ceecb73ed838c1619f61200e16d24b
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,5,0,15,0.0,0,21,0.0,1,22,0.045454545454545456,6,5,5,1.0,0.8333333333333334,57,13,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,ce6852330395c3c0e4caaa666d8b9c0d87ceecb73ed838c1619f61200e16d24b
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,2,0,5,0.0,0,5,0.0,0,5,0.0,0,0,0,,,23,12,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,c91ff7909b071242da05a73c93196f8bb6773833f1f64c0156b1e8e85bbfc336
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,2,0,5,0.0,0,5,0.0,0,5,0.0,0,0,0,,,23,12,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,c91ff7909b071242da05a73c93196f8bb6773833f1f64c0156b1e8e85bbfc336
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,2,0,5,0.0,0,5,0.0,0,5,0.0,0,0,0,,,23,13,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,c91ff7909b071242da05a73c93196f8bb6773833f1f64c0156b1e8e85bbfc336
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,3,0,8,0.0,0,8,0.0,0,8,0.0,0,0,0,,,31,13,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,c91ff7909b071242da05a73c93196f8bb6773833f1f64c0156b1e8e85bbfc336
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,3,0,8,0.0,0,8,0.0,0,8,0.0,0,0,0,,,31,13,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,c91ff7909b071242da05a73c93196f8bb6773833f1f64c0156b1e8e85bbfc336
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,3,0,8,0.0,0,8,0.0,1,9,0.1111111111111111,0,0,0,,,31,13,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,c91ff7909b071242da05a73c93196f8bb6773833f1f64c0156b1e8e85bbfc336
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,4,0,11,0.0,5,16,0.3125,0,11,0.0,5,5,0,0.0,0.0,45,18,8,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,c91ff7909b071242da05a73c93196f8bb6773833f1f64c0156b1e8e85bbfc336
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,4,0,11,0.0,4,16,0.25,0,12,0.0,5,5,1,0.2,0.2,45,18,7,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,c91ff7909b071242da05a73c93196f8bb6773833f1f64c0156b1e8e85bbfc336
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,4,0,11,0.0,1,16,0.0625,1,16,0.0625,5,5,4,0.8,0.8,45,14,4,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,c91ff7909b071242da05a73c93196f8bb6773833f1f64c0156b1e8e85bbfc336
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,5,0,16,0.0,6,22,0.2727272727272727,1,17,0.058823529411764705,6,5,0,0.0,0.0,57,18,8,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,c91ff7909b071242da05a73c93196f8bb6773833f1f64c0156b1e8e85bbfc336
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,5,0,16,0.0,5,22,0.22727272727272727,0,17,0.0,6,5,1,0.2,0.16666666666666666,57,18,7,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,c91ff7909b071242da05a73c93196f8bb6773833f1f64c0156b1e8e85bbfc336
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,5,0,16,0.0,2,22,0.09090909090909091,1,21,0.047619047619047616,6,5,4,0.8,0.6666666666666666,57,14,4,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,c91ff7909b071242da05a73c93196f8bb6773833f1f64c0156b1e8e85bbfc336
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,2,0,4,0.0,0,4,0.0,0,4,0.0,0,0,0,,,20,11,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b11724e056d8bcf7ea4bb184e5c62fd53b010181dc83e2d9d52783aee0522358
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,2,0,4,0.0,0,4,0.0,0,4,0.0,0,0,0,,,20,11,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b11724e056d8bcf7ea4bb184e5c62fd53b010181dc83e2d9d52783aee0522358
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,2,0,4,0.0,0,4,0.0,0,4,0.0,0,0,0,,,20,11,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b11724e056d8bcf7ea4bb184e5c62fd53b010181dc83e2d9d52783aee0522358
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,3,0,8,0.0,0,8,0.0,0,8,0.0,1,0,0,,0.0,29,11,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b11724e056d8bcf7ea4bb184e5c62fd53b010181dc83e2d9d52783aee0522358
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,3,0,8,0.0,0,8,0.0,0,8,0.0,1,0,0,,0.0,29,11,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b11724e056d8bcf7ea4bb184e5c62fd53b010181dc83e2d9d52783aee0522358
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,3,0,8,0.0,0,8,0.0,0,8,0.0,1,0,0,,0.0,29,11,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b11724e056d8bcf7ea4bb184e5c62fd53b010181dc83e2d9d52783aee0522358
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,4,0,11,0.0,0,11,0.0,0,11,0.0,3,0,0,,0.0,39,13,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b11724e056d8bcf7ea4bb184e5c62fd53b010181dc83e2d9d52783aee0522358
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,4,0,11,0.0,0,11,0.0,0,11,0.0,3,0,0,,0.0,39,12,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b11724e056d8bcf7ea4bb184e5c62fd53b010181dc83e2d9d52783aee0522358
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,4,0,11,0.0,0,11,0.0,0,11,0.0,3,0,0,,0.0,39,12,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b11724e056d8bcf7ea4bb184e5c62fd53b010181dc83e2d9d52783aee0522358
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,5,1,14,0.07142857142857142,1,14,0.07142857142857142,0,13,0.0,5,0,0,,0.0,51,17,6,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b11724e056d8bcf7ea4bb184e5c62fd53b010181dc83e2d9d52783aee0522358
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,5,1,14,0.07142857142857142,1,14,0.07142857142857142,0,13,0.0,5,0,0,,0.0,51,16,6,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b11724e056d8bcf7ea4bb184e5c62fd53b010181dc83e2d9d52783aee0522358
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,5,1,14,0.07142857142857142,1,14,0.07142857142857142,0,13,0.0,5,0,0,,0.0,51,13,4,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b11724e056d8bcf7ea4bb184e5c62fd53b010181dc83e2d9d52783aee0522358
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,2,0,3,0.0,0,3,0.0,0,3,0.0,0,0,0,,,20,9,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,471cc97e93867391e61a84f3f3ea4d30cd2b28cfde27cc3af84d155f711716dd
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,2,0,3,0.0,0,3,0.0,0,3,0.0,0,0,0,,,20,9,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,471cc97e93867391e61a84f3f3ea4d30cd2b28cfde27cc3af84d155f711716dd
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,2,0,3,0.0,0,3,0.0,0,3,0.0,0,0,0,,,20,9,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,471cc97e93867391e61a84f3f3ea4d30cd2b28cfde27cc3af84d155f711716dd
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,3,0,5,0.0,1,6,0.16666666666666666,0,5,0.0,1,0,0,,0.0,29,10,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,471cc97e93867391e61a84f3f3ea4d30cd2b28cfde27cc3af84d155f711716dd
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,3,0,5,0.0,1,6,0.16666666666666666,0,5,0.0,1,0,0,,0.0,29,10,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,471cc97e93867391e61a84f3f3ea4d30cd2b28cfde27cc3af84d155f711716dd
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,3,0,5,0.0,0,6,0.0,0,6,0.0,1,0,0,,0.0,29,9,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,471cc97e93867391e61a84f3f3ea4d30cd2b28cfde27cc3af84d155f711716dd
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,4,1,8,0.125,2,10,0.2,0,8,0.0,3,0,0,,0.0,38,11,4,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,471cc97e93867391e61a84f3f3ea4d30cd2b28cfde27cc3af84d155f711716dd
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,4,1,8,0.125,2,10,0.2,0,8,0.0,3,0,0,,0.0,38,11,4,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,471cc97e93867391e61a84f3f3ea4d30cd2b28cfde27cc3af84d155f711716dd
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,4,0,8,0.0,0,10,0.0,0,10,0.0,3,0,0,,0.0,38,10,4,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,471cc97e93867391e61a84f3f3ea4d30cd2b28cfde27cc3af84d155f711716dd
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,5,1,11,0.09090909090909091,3,14,0.21428571428571427,0,11,0.0,5,1,0,0.0,0.0,49,16,7,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,471cc97e93867391e61a84f3f3ea4d30cd2b28cfde27cc3af84d155f711716dd
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,5,1,11,0.09090909090909091,3,14,0.21428571428571427,0,11,0.0,5,1,0,0.0,0.0,49,16,7,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,471cc97e93867391e61a84f3f3ea4d30cd2b28cfde27cc3af84d155f711716dd
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,5,0,11,0.0,0,14,0.0,0,14,0.0,5,1,1,1.0,0.2,49,12,6,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,471cc97e93867391e61a84f3f3ea4d30cd2b28cfde27cc3af84d155f711716dd
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,2,0,3,0.0,0,3,0.0,0,3,0.0,0,0,0,,,22,11,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b3da19bc7ac9aa8451c40e0030221dcc287194a46fca1bb7fe4ccf1d1849c3a3
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,2,0,3,0.0,0,3,0.0,0,3,0.0,0,0,0,,,22,11,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b3da19bc7ac9aa8451c40e0030221dcc287194a46fca1bb7fe4ccf1d1849c3a3
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,2,0,3,0.0,0,3,0.0,0,3,0.0,0,0,0,,,22,11,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b3da19bc7ac9aa8451c40e0030221dcc287194a46fca1bb7fe4ccf1d1849c3a3
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,3,2,6,0.3333333333333333,2,7,0.2857142857142857,0,5,0.0,0,0,0,,,35,14,5,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b3da19bc7ac9aa8451c40e0030221dcc287194a46fca1bb7fe4ccf1d1849c3a3
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,3,2,6,0.3333333333333333,2,7,0.2857142857142857,0,5,0.0,0,0,0,,,35,14,5,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b3da19bc7ac9aa8451c40e0030221dcc287194a46fca1bb7fe4ccf1d1849c3a3
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,3,1,6,0.16666666666666666,1,7,0.14285714285714285,0,6,0.0,0,0,0,,,35,13,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b3da19bc7ac9aa8451c40e0030221dcc287194a46fca1bb7fe4ccf1d1849c3a3
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,4,3,8,0.375,2,10,0.2,0,8,0.0,2,0,0,,0.0,45,16,5,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b3da19bc7ac9aa8451c40e0030221dcc287194a46fca1bb7fe4ccf1d1849c3a3
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,4,3,8,0.375,2,10,0.2,0,8,0.0,2,0,0,,0.0,45,16,5,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b3da19bc7ac9aa8451c40e0030221dcc287194a46fca1bb7fe4ccf1d1849c3a3
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,4,2,8,0.25,1,10,0.1,0,9,0.0,2,0,0,,0.0,45,14,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b3da19bc7ac9aa8451c40e0030221dcc287194a46fca1bb7fe4ccf1d1849c3a3
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,5,3,11,0.2727272727272727,4,15,0.26666666666666666,0,11,0.0,3,1,0,0.0,0.0,54,17,6,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,b3da19bc7ac9aa8451c40e0030221dcc287194a46fca1bb7fe4ccf1d1849c3a3
