method,reference_scene_id,order_id,horizon,sequence_count,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,association_event_count,new_birth_count,false_birth_count,birth_rejected_count,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall,inference_unit
B3,5630cfcf-12bf-2860-8784-83d28a611a83,all,4,15,18,181,22,195,2,175,2,2,0,923,227,109,0,0.09944751381215469,0.11282051282051282,0.011428571428571429,0.0,0.0,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,all,4,15,19,69,69,157,66,154,102,68,27,929,374,176,0,0.2753623188405797,0.4394904458598726,0.42857142857142855,0.39705882352941174,0.2647058823529412,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,all,4,18,50,308,50,356,27,333,89,15,9,1554,419,186,0,0.16233766233766234,0.1404494382022472,0.08108108108108109,0.6,0.10112359550561797,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,all,4,30,11,291,11,340,12,341,85,37,33,1221,349,87,0,0.037800687285223365,0.03235294117647059,0.03519061583577713,0.8918918918918919,0.38823529411764707,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,all,4,36,50,346,62,488,90,516,353,105,91,2192,497,158,0,0.14450867052023122,0.12704918032786885,0.1744186046511628,0.8666666666666667,0.2577903682719547,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,all,4,15,25,293,26,329,33,336,65,19,14,1322,387,203,0,0.08532423208191127,0.0790273556231003,0.09821428571428571,0.7368421052631579,0.2153846153846154,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,all,4,15,12,181,10,195,0,185,2,2,2,923,218,101,0,0.06629834254143646,0.05128205128205128,0.0,1.0,1.0,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,all,4,15,15,69,25,157,88,220,102,68,56,929,276,111,0,0.21739130434782608,0.1592356687898089,0.4,0.8235294117647058,0.5490196078431373,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,all,4,18,41,308,33,356,22,345,89,15,11,1554,388,170,0,0.1331168831168831,0.09269662921348315,0.06376811594202898,0.7333333333333333,0.12359550561797752,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,all,5,30,21,389,81,475,17,411,137,56,7,1518,457,157,0,0.05398457583547558,0.1705263157894737,0.0413625304136253,0.125,0.051094890510948905,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,all,5,36,61,476,206,688,96,578,525,151,38,2765,754,371,0,0.12815126050420167,0.29941860465116277,0.16608996539792387,0.25165562913907286,0.07238095238095238,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,all,5,15,34,384,53,449,38,434,89,30,13,1601,496,310,0,0.08854166666666667,0.11804008908685969,0.08755760368663594,0.43333333333333335,0.14606741573033707,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,all,5,15,27,236,37,277,0,240,9,9,0,1164,261,138,0,0.11440677966101695,0.13357400722021662,0.0,0.0,0.0,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,all,5,15,39,106,153,265,112,224,195,121,29,1195,432,227,0,0.36792452830188677,0.5773584905660377,0.5,0.2396694214876033,0.14871794871794872,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,all,5,18,75,438,109,519,54,464,138,28,6,1964,476,236,0,0.17123287671232876,0.21001926782273603,0.11637931034482758,0.21428571428571427,0.043478260869565216,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,all,5,30,22,389,80,475,18,413,137,56,7,1518,452,156,0,0.056555269922879174,0.16842105263157894,0.043583535108958835,0.125,0.051094890510948905,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,all,5,36,68,476,206,688,91,573,525,151,38,2765,749,365,0,0.14285714285714285,0.29941860465116277,0.15881326352530542,0.25165562913907286,0.07238095238095238,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,all,5,15,52,384,61,449,42,430,89,30,10,1601,492,307,0,0.13541666666666666,0.1358574610244989,0.09767441860465116,0.3333333333333333,0.11235955056179775,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,all,5,15,25,236,37,277,2,242,9,9,0,1164,256,135,0,0.1059322033898305,0.13357400722021662,0.008264462809917356,0.0,0.0,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,all,5,15,38,106,143,265,114,236,195,121,34,1195,427,223,0,0.3584905660377358,0.539622641509434,0.4830508474576271,0.2809917355371901,0.17435897435897435,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,all,5,18,73,438,87,519,39,471,138,28,14,1964,471,232,0,0.16666666666666666,0.1676300578034682,0.08280254777070063,0.5,0.10144927536231885,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,all,5,30,15,389,17,475,16,474,137,56,52,1518,364,97,0,0.038560411311053984,0.035789473684210524,0.03375527426160337,0.9285714285714286,0.3795620437956204,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,all,5,36,66,476,87,688,112,713,525,151,128,2765,529,184,0,0.13865546218487396,0.12645348837209303,0.1570827489481066,0.847682119205298,0.2438095238095238,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,all,5,15,37,384,32,449,43,460,89,30,25,1601,397,210,0,0.09635416666666667,0.07126948775055679,0.09347826086956522,0.8333333333333334,0.2808988764044944,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,all,5,15,19,236,11,277,0,266,9,9,9,1164,226,106,0,0.08050847457627118,0.039711191335740074,0.0,1.0,1.0,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,all,5,15,28,106,40,265,117,342,195,121,105,1195,288,121,0,0.2641509433962264,0.1509433962264151,0.34210526315789475,0.8677685950413223,0.5384615384615384,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,all,5,18,61,438,49,519,29,499,138,28,22,1964,410,190,0,0.13926940639269406,0.09441233140655106,0.05811623246492986,0.7857142857142857,0.15942028985507245,reference_scene_id
