method,reference_scene_id,order_id,horizon,sequence_count,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,association_event_count,new_birth_count,false_birth_count,birth_rejected_count,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall,inference_unit
B3,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,3,5,7,63,6,68,8,70,5,1,1,321,122,60,0,0.1111111111111111,0.08823529411764706,0.11428571428571428,1.0,0.2,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,3,5,1,35,2,37,1,36,0,0,0,231,69,30,0,0.02857142857142857,0.05405405405405406,0.027777777777777776,,,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,3,5,5,21,14,35,21,42,17,11,4,230,101,42,0,0.23809523809523808,0.4,0.5,0.36363636363636365,0.23529411764705882,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,3,6,17,74,15,78,7,70,13,1,1,389,121,43,0,0.22972972972972974,0.19230769230769232,0.1,1.0,0.07692307692307693,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,reverse,3,10,0,63,0,70,2,72,12,5,5,303,103,21,0,0.0,0.0,0.027777777777777776,1.0,0.4166666666666667,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,reverse,3,12,12,77,12,97,16,101,56,16,16,551,154,42,0,0.15584415584415584,0.12371134020618557,0.15841584158415842,1.0,0.2857142857142857,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,3,5,5,63,5,68,6,69,5,1,1,321,121,59,0,0.07936507936507936,0.07352941176470588,0.08695652173913043,1.0,0.2,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,3,5,0,35,0,37,0,37,0,0,0,231,66,28,0,0.0,0.0,0.0,,,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,3,5,3,21,3,35,22,54,17,11,11,230,87,32,0,0.14285714285714285,0.08571428571428572,0.4074074074074074,1.0,0.6470588235294118,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,3,6,14,74,11,78,5,72,13,1,1,389,122,44,0,0.1891891891891892,0.14102564102564102,0.06944444444444445,1.0,0.07692307692307693,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,reverse,4,10,3,95,14,112,3,101,28,12,3,404,131,37,0,0.031578947368421054,0.125,0.0297029702970297,0.25,0.10714285714285714,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,reverse,4,12,18,115,51,161,20,130,119,33,9,735,214,88,0,0.1565217391304348,0.3167701863354037,0.15384615384615385,0.2727272727272727,0.07563025210084033,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,4,5,6,95,6,105,12,111,10,2,2,429,141,74,0,0.06315789473684211,0.05714285714285714,0.10810810810810811,1.0,0.2,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,4,5,0,53,4,61,0,57,1,1,0,309,77,36,0,0.0,0.06557377049180328,0.0,0.0,0.0,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,4,5,8,31,32,64,29,61,41,27,9,306,127,63,0,0.25806451612903225,0.5,0.47540983606557374,0.3333333333333333,0.21951219512195122,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,4,6,27,112,27,123,14,110,30,4,1,521,141,56,0,0.24107142857142858,0.21951219512195122,0.12727272727272726,0.25,0.03333333333333333,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,reverse,4,10,5,95,17,112,6,101,28,12,1,404,129,37,0,0.05263157894736842,0.15178571428571427,0.0594059405940594,0.08333333333333333,0.03571428571428571,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,reverse,4,12,17,115,49,161,19,131,119,33,8,735,213,86,0,0.14782608695652175,0.30434782608695654,0.1450381679389313,0.24242424242424243,0.06722689075630252,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,4,5,12,95,10,105,13,108,10,2,1,429,141,75,0,0.12631578947368421,0.09523809523809523,0.12037037037037036,0.5,0.1,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,4,5,2,53,5,61,1,57,1,1,0,309,75,35,0,0.03773584905660377,0.08196721311475409,0.017543859649122806,0.0,0.0,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,4,5,8,31,28,64,30,66,41,27,10,306,123,60,0,0.25806451612903225,0.4375,0.45454545454545453,0.37037037037037035,0.24390243902439024,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,4,6,27,112,22,123,10,111,30,4,3,521,140,54,0,0.24107142857142858,0.17886178861788618,0.09009009009009009,0.75,0.1,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,reverse,4,10,0,95,0,112,3,115,28,12,12,404,110,24,0,0.0,0.0,0.02608695652173913,1.0,0.42857142857142855,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,reverse,4,12,18,115,21,161,24,164,119,33,28,735,165,50,0,0.1565217391304348,0.13043478260869565,0.14634146341463414,0.8484848484848485,0.23529411764705882,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,4,5,9,95,9,105,10,106,10,2,2,429,137,70,0,0.09473684210526316,0.08571428571428572,0.09433962264150944,1.0,0.2,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,4,5,0,53,0,61,0,61,1,1,1,309,70,31,0,0.0,0.0,0.0,1.0,1.0,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,4,5,4,31,7,64,33,90,41,27,24,306,92,36,0,0.12903225806451613,0.109375,0.36666666666666664,0.8888888888888888,0.5853658536585366,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,4,6,23,112,16,123,6,113,30,4,4,521,132,52,0,0.20535714285714285,0.13008130081300814,0.05309734513274336,1.0,0.13333333333333333,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,reverse,5,10,4,127,24,157,4,137,46,19,5,505,150,50,0,0.031496062992125984,0.15286624203821655,0.029197080291970802,0.2631578947368421,0.10869565217391304,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,reverse,5,12,24,153,79,227,26,174,183,50,13,919,250,117,0,0.1568627450980392,0.34801762114537443,0.14942528735632185,0.26,0.07103825136612021,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,5,5,8,127,12,149,13,150,22,8,4,537,160,92,0,0.06299212598425197,0.08053691275167785,0.08666666666666667,0.5,0.18181818181818182,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,5,5,0,71,7,85,0,78,2,2,0,387,85,42,0,0.0,0.08235294117647059,0.0,0.0,0.0,reference_scene_id
