epoch,lr-AdamW,step,train_loss_aux_contrastive_epoch,train_loss_aux_contrastive_step,train_loss_ce_0_epoch,train_loss_ce_0_step,train_loss_ce_10_epoch,train_loss_ce_10_step,train_loss_ce_11_epoch,train_loss_ce_11_step,train_loss_ce_1_epoch,train_loss_ce_1_step,train_loss_ce_2_epoch,train_loss_ce_2_step,train_loss_ce_3_epoch,train_loss_ce_3_step,train_loss_ce_4_epoch,train_loss_ce_4_step,train_loss_ce_5_epoch,train_loss_ce_5_step,train_loss_ce_6_epoch,train_loss_ce_6_step,train_loss_ce_7_epoch,train_loss_ce_7_step,train_loss_ce_8_epoch,train_loss_ce_8_step,train_loss_ce_9_epoch,train_loss_ce_9_step,train_loss_ce_epoch,train_loss_ce_step,train_loss_dice_0_epoch,train_loss_dice_0_step,train_loss_dice_10_epoch,train_loss_dice_10_step,train_loss_dice_11_epoch,train_loss_dice_11_step,train_loss_dice_1_epoch,train_loss_dice_1_step,train_loss_dice_2_epoch,train_loss_dice_2_step,train_loss_dice_3_epoch,train_loss_dice_3_step,train_loss_dice_4_epoch,train_loss_dice_4_step,train_loss_dice_5_epoch,train_loss_dice_5_step,train_loss_dice_6_epoch,train_loss_dice_6_step,train_loss_dice_7_epoch,train_loss_dice_7_step,train_loss_dice_8_epoch,train_loss_dice_8_step,train_loss_dice_9_epoch,train_loss_dice_9_step,train_loss_dice_epoch,train_loss_dice_step,train_loss_epoch,train_loss_mask_0_epoch,train_loss_mask_0_step,train_loss_mask_10_epoch,train_loss_mask_10_step,train_loss_mask_11_epoch,train_loss_mask_11_step,train_loss_mask_1_epoch,train_loss_mask_1_step,train_loss_mask_2_epoch,train_loss_mask_2_step,train_loss_mask_3_epoch,train_loss_mask_3_step,train_loss_mask_4_epoch,train_loss_mask_4_step,train_loss_mask_5_epoch,train_loss_mask_5_step,train_loss_mask_6_epoch,train_loss_mask_6_step,train_loss_mask_7_epoch,train_loss_mask_7_step,train_loss_mask_8_epoch,train_loss_mask_8_step,train_loss_mask_9_epoch,train_loss_mask_9_step,train_loss_mask_epoch,train_loss_mask_step,train_loss_segment_contrastive_epoch,train_loss_segment_contrastive_layer0_epoch,train_loss_segment_contrastive_layer0_step,train_loss_segment_contrastive_step,train_loss_step,train_mean_loss_ce_epoch,train_mean_loss_ce_step,train_mean_loss_dice_epoch,train_mean_loss_dice_step,train_mean_loss_mask_epoch,train_mean_loss_mask_step
0,,2,,0.0,,1.7887647151947021,,0.3087189793586731,,0.2787407636642456,,0.7215626239776611,,0.5278350114822388,,0.3352329134941101,,0.2593157887458801,,0.2509983479976654,,0.29240861535072327,,0.31642261147499084,,0.28729814291000366,,0.30124232172966003,,0.26257389783859253,,1.787865400314331,,0.6902359127998352,,0.6678985357284546,,0.9173490405082703,,0.8085849285125732,,0.7443117499351501,,0.6913994550704956,,0.6901544332504272,,0.7007836699485779,,0.6843611001968384,,0.6594448089599609,,0.671197772026062,,0.6722757816314697,,,0.22224000096321106,,0.1051437258720398,,0.09716613590717316,,0.14725278317928314,,0.13468703627586365,,0.11663792282342911,,0.10095840692520142,,0.10104415565729141,,0.10655157268047333,,0.11632757633924484,,0.09963253140449524,,0.0987372100353241,,0.09883229434490204,,,0.6716734766960144,0.6716734766960144,19.20553970336914,,0.6275760531425476,,0.798912525177002,,0.11886241286993027
,2.666666666666667e-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.666666666666667e-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.666666666666667e-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.666666666666667e-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.666666666666667e-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.666666666666667e-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.666666666666667e-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.666666666666667e-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,3,,0.0,,1.798630714416504,,0.18853269517421722,,0.12590830028057098,,0.7752690315246582,,0.4550790786743164,,0.16666211187839508,,0.12301218509674072,,0.1422889083623886,,0.20714101195335388,,0.13600438833236694,,0.11289697885513306,,0.12745624780654907,,0.12352286279201508,,1.8430185317993164,,0.5901108384132385,,0.6076710820198059,,0.7596628665924072,,0.7068315744400024,,0.6277034282684326,,0.6075405478477478,,0.6017992496490479,,0.5996731519699097,,0.604114294052124,,0.5999826192855835,,0.5959212779998779,,0.5983796119689941,,,0.25894004106521606,,0.10741914063692093,,0.10762862116098404,,0.14104843139648438,,0.12301164120435715,,0.10738547146320343,,0.10622712969779968,,0.10753309726715088,,0.11135218292474747,,0.10819588601589203,,0.1062338650226593,,0.10601472854614258,,0.10673113167285919,,,0.47397541999816895,0.47397541999816895,16.370485305786133,,0.5317236185073853,,0.7186468839645386,,0.12290164828300476
