method,reference_id,master_sequence_id,T,scope,measured_repeats,state_snapshot_sha256,median_latency_ms,mean_latency_ms,std_latency_ms,loaded_model_allocated_bytes,absolute_peak_allocated_bytes,incremental_peak_bytes,peak_reserved_bytes,cpu_state_bytes,visual_state_bytes,lag1_buffer_bytes,archive_bytes
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,2,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1139.625923,1139.5284117,13.29982818843921,593637376,2398120448,1804483072,13042188288,0,0,3778367,10856416
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,2,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,768.4736985,768.7073709,6.229956160700815,593637376,2398139392,1804502016,13042188288,0,0,3778367,10856416
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,2,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,11.812671,11.8351364,0.06772208461676298,593637376,593637376,0,13042188288,0,0,3778367,10856416
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,3,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,3486.6012309999996,3646.9685403,272.3926046731115,593637376,3193826816,2600189440,13042188288,0,0,5453484,15638365
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,3,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1612.7892120000001,1655.689821,92.12432975587038,593637376,3191009280,2597371904,13042188288,0,0,5453484,15638365
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,3,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,1107.2273759999998,1125.4270674,82.21738405309144,593637376,3191024640,2597387264,13042188288,0,0,5453484,15638365
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,3,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,16.4006285,16.2256011,0.41894619159826496,593637376,593637376,0,13042188288,0,0,5453484,15638365
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,4,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,6037.775052,5951.0580374,369.8730223337205,593637376,3824439296,3230801920,13042188288,0,0,6695066,19131546
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,4,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1946.6693335,1952.8720252,39.09673071255857,593637376,3822339584,3228702208,13042188288,0,0,6695066,19131546
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,4,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,1333.3840815,1339.6831011,46.29163640396458,593637376,3822322176,3228684800,13042188288,0,0,6695066,19131546
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,4,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,16.433481,17.825067,4.619344342838667,593637376,593637376,0,13042188288,0,0,6695066,19131546
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,5,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,8215.169741,8558.1496857,612.4645252005071,593637376,5003283968,4409646592,13042188288,0,0,9330013,26840855
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,5,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,2719.334139,2795.4165105,168.50088405836442,593637376,5000202752,4406565376,13042188288,0,0,9330013,26840855
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,5,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,1922.9127545000001,1909.7252944,67.67470830717889,593637376,5000367616,4406730240,13042188288,0,0,9330013,26840855
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,5,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,23.563743000000002,23.9438523,4.488188242472637,593637376,593637376,0,13042188288,0,0,9330013,26840855
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,2,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,1127.4788755,1133.9965307,18.105958418391968,593637376,1734857728,1141220352,13042188288,0,0,2231478,6454752
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,2,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,695.5875605,698.4739214,6.693580557379962,593637376,1734845952,1141208576,13042188288,0,0,2231478,6454752
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,2,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,492.970078,493.3552922,1.333307293453005,593637376,1734859264,1141221888,13042188288,0,0,2231478,6454752
