method,reference_id,master_sequence_id,order_id,T,scope,repeat,state_snapshot_sha256,latency_ms,loaded_model_allocated_bytes,peak_allocated_bytes,incremental_peak_bytes,peak_reserved_bytes,cpu_state_bytes,visual_state_bytes,lag1_buffer_bytes,archive_bytes,point_count,superpoint_count,occupied_count,query_count,precision,source_commit
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,output_materialization,2,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,3.914573,559363072,592923648,33560576,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,output_materialization,3,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,3.91249,559363072,592923648,33560576,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,output_materialization,4,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,3.917713,559363072,592923648,33560576,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,output_materialization,5,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,3.902036,559363072,592923648,33560576,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,output_materialization,6,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,3.90188,559363072,592923648,33560576,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,output_materialization,7,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,3.868046,559363072,592923648,33560576,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,output_materialization,8,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,3.952725,559363072,592923648,33560576,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,output_materialization,9,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,5.124137,559363072,592923648,33560576,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,cumulative_T1_to_T,0,3f354f12741e8d8e7a579fafe8bbf3e7808a357d25486423ecd99639983796c8,2584.653109,559363072,1517100544,957737472,2164260864,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,cumulative_T1_to_T,1,3f354f12741e8d8e7a579fafe8bbf3e7808a357d25486423ecd99639983796c8,2506.462685,559363072,1517058048,957694976,2164260864,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,cumulative_T1_to_T,2,3f354f12741e8d8e7a579fafe8bbf3e7808a357d25486423ecd99639983796c8,2599.58759,559363072,1517013504,957650432,2164260864,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,cumulative_T1_to_T,3,3f354f12741e8d8e7a579fafe8bbf3e7808a357d25486423ecd99639983796c8,2581.450476,559363072,1516988928,957625856,2164260864,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,cumulative_T1_to_T,4,3f354f12741e8d8e7a579fafe8bbf3e7808a357d25486423ecd99639983796c8,2549.221705,559363072,1517058048,957694976,2164260864,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,cumulative_T1_to_T,5,3f354f12741e8d8e7a579fafe8bbf3e7808a357d25486423ecd99639983796c8,3180.91252,559363072,1517118976,957755904,2164260864,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,cumulative_T1_to_T,6,3f354f12741e8d8e7a579fafe8bbf3e7808a357d25486423ecd99639983796c8,2580.59656,559363072,1516988928,957625856,2164260864,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,cumulative_T1_to_T,7,3f354f12741e8d8e7a579fafe8bbf3e7808a357d25486423ecd99639983796c8,2557.349547,559363072,1517110272,957747200,2164260864,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,cumulative_T1_to_T,8,3f354f12741e8d8e7a579fafe8bbf3e7808a357d25486423ecd99639983796c8,2627.654266,559363072,1517075968,957712896,2164260864,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,cumulative_T1_to_T,9,3f354f12741e8d8e7a579fafe8bbf3e7808a357d25486423ecd99639983796c8,2791.125894,559363072,1517169664,957806592,2164260864,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,model_update,0,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1263.088122,559363072,1315592192,756229120,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,model_update,1,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1204.510708,559363072,1315557376,756194304,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
