method,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC
B4,canonical,4,43,0.08434075117111206,0.16474628448486328,0.32691219449043274,0.19350217282772064,0.31409481167793274,0.47098445892333984,0.3651706278324127,0.5591285228729248,0.7846797704696655,0.5028339624404907
Oracle-ID,canonical,4,43,0.08390945941209793,0.13757076859474182,0.2407412976026535,0.2590997815132141,0.39092686772346497,0.4742199182510376,0.341419517993927,0.5322543978691101,0.7570650577545166,0.5028339624404907
FullHistory,canonical,5,43,0.04427722096443176,0.08125066012144089,0.17315047979354858,0.13959765434265137,0.23920784890651703,0.3770503103733063,0.3493248224258423,0.5321940779685974,0.7450615167617798,0.4845113158226013
B2,canonical,5,43,0.020698854699730873,0.03806505724787712,0.17440451681613922,0.12139875441789627,0.188499316573143,0.3421083986759186,0.36182287335395813,0.5565748810768127,0.7803127765655518,0.5031508207321167
B4,canonical,5,43,0.05635813623666763,0.118157297372818,0.2766639292240143,0.14681090414524078,0.2527553141117096,0.4111800491809845,0.3605973720550537,0.5526551604270935,0.7804216742515564,0.5031508207321167
Oracle-ID,canonical,5,43,0.06038076803088188,0.09959840774536133,0.20135274529457092,0.22250263392925262,0.34791654348373413,0.43113085627555847,0.33545175194740295,0.5234399437904358,0.7504815459251404,0.5031508207321167
FullHistory,reverse,2,43,0.21109874546527863,0.3429367244243622,0.5463166832923889,0.3575153052806854,0.5420021414756775,0.7300193309783936,0.3819788098335266,0.5625064373016357,0.7700338959693909,0.5036863684654236
B2,reverse,2,43,0.21513134241104126,0.34128567576408386,0.5400940775871277,0.3534207344055176,0.5317513346672058,0.6981421709060669,0.374973863363266,0.5623064637184143,0.7689441442489624,0.5104965567588806
B4,reverse,2,43,0.21162836253643036,0.3367443382740021,0.5386040210723877,0.3542424142360687,0.5319663286209106,0.6997557282447815,0.3749467134475708,0.561781108379364,0.7685652375221252,0.5104965567588806
Oracle-ID,reverse,2,43,0.20445173978805542,0.3096318542957306,0.43912994861602783,0.37879735231399536,0.5460749268531799,0.6491915583610535,0.37301573157310486,0.553743302822113,0.7604175806045532,0.5104965567588806
FullHistory,reverse,3,43,0.11031090468168259,0.1929326206445694,0.35779789090156555,0.2456331104040146,0.3952787518501282,0.572920560836792,0.3576786518096924,0.5482119917869568,0.7732046246528625,0.4838184714317322
B2,reverse,3,43,0.09759249538183212,0.16391630470752716,0.32944929599761963,0.2370789498090744,0.3720409572124481,0.5320612788200378,0.36933717131614685,0.564232587814331,0.7661457061767578,0.510774552822113
B4,reverse,3,43,0.12758111953735352,0.2215031236410141,0.37803176045417786,0.24586574733257294,0.3960317373275757,0.5467223525047302,0.36367639899253845,0.5669835805892944,0.7693859338760376,0.510774552822113
Oracle-ID,reverse,3,43,0.1255340576171875,0.1973651796579361,0.30713987350463867,0.3089907765388489,0.46230462193489075,0.5532451272010803,0.35152843594551086,0.5430387854576111,0.7530531287193298,0.510774552822113
FullHistory,reverse,4,43,0.07150053977966309,0.1303333193063736,0.2440800666809082,0.17215292155742645,0.29243531823158264,0.44661569595336914,0.36842235922813416,0.5665820240974426,0.7625626921653748,0.504564106464386
B2,reverse,4,43,0.04014698043465614,0.07309179753065109,0.214205801486969,0.1543671041727066,0.2537875175476074,0.4053255319595337,0.37713074684143066,0.5689457654953003,0.7770517468452454,0.5111438632011414
B4,reverse,4,43,0.0839800015091896,0.1554277241230011,0.29244399070739746,0.1726631224155426,0.29627087712287903,0.44253960251808167,0.3741271197795868,0.5708733201026917,0.7807249426841736,0.5111438632011414
Oracle-ID,reverse,4,43,0.08184558898210526,0.13906095921993256,0.2398548722267151,0.2543230652809143,0.4037898778915405,0.4925263226032257,0.34453120827674866,0.534116804599762,0.74676513671875,0.5111438632011414
FullHistory,reverse,5,43,0.04792429134249687,0.09073711186647415,0.17801950871944427,0.13858845829963684,0.23992878198623657,0.37533876299858093,0.36924096941947937,0.5443105101585388,0.7675338983535767,0.47831910848617554
B2,reverse,5,43,0.01855502277612686,0.03538757190108299,0.1618880182504654,0.10812593996524811,0.17998971045017242,0.32352036237716675,0.378110408782959,0.567928671836853,0.7763893604278564,0.5101860761642456
B4,reverse,5,43,0.05898100882768631,0.11403209716081619,0.22712087631225586,0.12585897743701935,0.22669929265975952,0.3546859622001648,0.3643885850906372,0.5657157301902771,0.776258647441864,0.5101860761642456
Oracle-ID,reverse,5,43,0.06042631343007088,0.1025361567735672,0.20067349076271057,0.21729661524295807,0.3579461872577667,0.4472234845161438,0.3318694829940796,0.5208583474159241,0.7342792749404907,0.5101860761642456
FullHistory,sha256_seed45,2,43,0.1711808741092682,0.24638503789901733,0.4208407700061798,0.3174183666706085,0.4886535704135895,0.6269838809967041,0.407415509223938,0.5788251757621765,0.7066320180892944,0.5237429141998291
B2,sha256_seed45,2,43,0.19346213340759277,0.277523398399353,0.4677070379257202,0.32949647307395935,0.5248408913612366,0.6341582536697388,0.3956148326396942,0.5717469453811646,0.7047334313392639,0.522435188293457
B4,sha256_seed45,2,43,0.19893194735050201,0.2864951193332672,0.4805023968219757,0.3360233008861542,0.5328511595726013,0.6421684622764587,0.3985053598880768,0.5748668909072876,0.7124702334403992,0.522435188293457
Oracle-ID,sha256_seed45,2,43,0.20397330820560455,0.29401394724845886,0.41977035999298096,0.36175593733787537,0.5683900713920593,0.6013739705085754,0.39911913871765137,0.5751254558563232,0.7104315161705017,0.522435188293457
FullHistory,sha256_seed45,3,43,0.10536342114210129,0.1814330667257309,0.341503769159317,0.25162041187286377,0.4466939866542816,0.5634286403656006,0.4406520426273346,0.6616812944412231,0.7681812047958374,0.5835323929786682
