variant,update,T,t_mAP,checkpoint_sha256,policy,reducer,status
M3-BASE-CONT,1125,4,0.3876994252204895,2c040c9748ad07968a613995feb89bc49f62362bbab581f33d8b60d2d587e23f,lag1,mean,PASS
M3-BASE-CONT,1125,5,0.36406323313713074,2c040c9748ad07968a613995feb89bc49f62362bbab581f33d8b60d2d587e23f,lag1,mean,PASS
M3-BASE-CONT,1500,2,0.5264289975166321,a0aa8f73aac5b27aa0aac972ac72cbf1a7dfb3f6d6a1ba103cbf0a92ba793ed6,lag1,mean,PASS
M3-BASE-CONT,1500,3,0.44363683462142944,a0aa8f73aac5b27aa0aac972ac72cbf1a7dfb3f6d6a1ba103cbf0a92ba793ed6,lag1,mean,PASS
M3-BASE-CONT,1500,4,0.39425137639045715,a0aa8f73aac5b27aa0aac972ac72cbf1a7dfb3f6d6a1ba103cbf0a92ba793ed6,lag1,mean,PASS
M3-BASE-CONT,1500,5,0.3664146661758423,a0aa8f73aac5b27aa0aac972ac72cbf1a7dfb3f6d6a1ba103cbf0a92ba793ed6,lag1,mean,PASS
M3-V-LAST,0,2,0.5340831875801086,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,lag1,mean,PASS
M3-V-LAST,0,3,0.4631370007991791,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,lag1,mean,PASS
M3-V-LAST,0,4,0.4179805517196655,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,lag1,mean,PASS
M3-V-LAST,0,5,0.39285242557525635,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,lag1,mean,PASS
M3-V-LAST,375,2,0.5327978730201721,2cd81e5eaa6767f2c26dfd6da5fef91e2a0b63eee118c0f61f1f10b9473018ae,lag1,mean,PASS
M3-V-LAST,375,3,0.45382943749427795,2cd81e5eaa6767f2c26dfd6da5fef91e2a0b63eee118c0f61f1f10b9473018ae,lag1,mean,PASS
M3-V-LAST,375,4,0.3886430263519287,2cd81e5eaa6767f2c26dfd6da5fef91e2a0b63eee118c0f61f1f10b9473018ae,lag1,mean,PASS
M3-V-LAST,375,5,0.3528345823287964,2cd81e5eaa6767f2c26dfd6da5fef91e2a0b63eee118c0f61f1f10b9473018ae,lag1,mean,PASS
M3-V-LAST,750,2,0.525489330291748,1f0a61f436854292992e694ac05c60ad9aaf8b3cfd040452285d16d79d9f44ab,lag1,mean,PASS
M3-V-LAST,750,3,0.4558557868003845,1f0a61f436854292992e694ac05c60ad9aaf8b3cfd040452285d16d79d9f44ab,lag1,mean,PASS
M3-V-LAST,750,4,0.4110650420188904,1f0a61f436854292992e694ac05c60ad9aaf8b3cfd040452285d16d79d9f44ab,lag1,mean,PASS
M3-V-LAST,750,5,0.3873719871044159,1f0a61f436854292992e694ac05c60ad9aaf8b3cfd040452285d16d79d9f44ab,lag1,mean,PASS
M3-V-LAST,1125,2,0.5314003825187683,2f81237ed5dffe879c7eb17d06e7d8f9bced1e8ffb7fdc2895ddb67bd37209cd,lag1,mean,PASS
M3-V-LAST,1125,3,0.45297473669052124,2f81237ed5dffe879c7eb17d06e7d8f9bced1e8ffb7fdc2895ddb67bd37209cd,lag1,mean,PASS
M3-V-LAST,1125,4,0.39964860677719116,2f81237ed5dffe879c7eb17d06e7d8f9bced1e8ffb7fdc2895ddb67bd37209cd,lag1,mean,PASS
M3-V-LAST,1125,5,0.37373459339141846,2f81237ed5dffe879c7eb17d06e7d8f9bced1e8ffb7fdc2895ddb67bd37209cd,lag1,mean,PASS
M3-V-LAST,1500,2,0.5253106951713562,17fbb1abc272e745d8189007d665586fd58cc32cff0439185bf8760bfa917aed,lag1,mean,PASS
M3-V-LAST,1500,3,0.43849000334739685,17fbb1abc272e745d8189007d665586fd58cc32cff0439185bf8760bfa917aed,lag1,mean,PASS
M3-V-LAST,1500,4,0.3872230350971222,17fbb1abc272e745d8189007d665586fd58cc32cff0439185bf8760bfa917aed,lag1,mean,PASS
M3-V-LAST,1500,5,0.352140337228775,17fbb1abc272e745d8189007d665586fd58cc32cff0439185bf8760bfa917aed,lag1,mean,PASS
M3-V-CORE,0,2,0.5340831875801086,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,lag1,mean,PASS
M3-V-CORE,0,3,0.4631370007991791,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,lag1,mean,PASS
M3-V-CORE,0,4,0.4179805517196655,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,lag1,mean,PASS
M3-V-CORE,0,5,0.39285242557525635,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,lag1,mean,PASS
M3-V-CORE,375,2,0.5322115421295166,8f506e2b77256284e025b544ffda6b6926cd9711704d48505c267237a8944aad,lag1,mean,PASS
M3-V-CORE,375,3,0.4425457715988159,8f506e2b77256284e025b544ffda6b6926cd9711704d48505c267237a8944aad,lag1,mean,PASS
M3-V-CORE,375,4,0.39848411083221436,8f506e2b77256284e025b544ffda6b6926cd9711704d48505c267237a8944aad,lag1,mean,PASS
M3-V-CORE,375,5,0.3766142427921295,8f506e2b77256284e025b544ffda6b6926cd9711704d48505c267237a8944aad,lag1,mean,PASS
M3-V-CORE,750,2,0.5301757454872131,00d1cc4d073b76b9a02f72ddfea0b67730251569b31ec95330722873ad375ecb,lag1,mean,PASS
M3-V-CORE,750,3,0.46335628628730774,00d1cc4d073b76b9a02f72ddfea0b67730251569b31ec95330722873ad375ecb,lag1,mean,PASS
M3-V-CORE,750,4,0.42214468121528625,00d1cc4d073b76b9a02f72ddfea0b67730251569b31ec95330722873ad375ecb,lag1,mean,PASS
M3-V-CORE,750,5,0.40337392687797546,00d1cc4d073b76b9a02f72ddfea0b67730251569b31ec95330722873ad375ecb,lag1,mean,PASS
M3-V-CORE,1125,2,0.5280539989471436,2c214133927d768ad2acb9f3437792253f3c163616c15df0cb10882af448649c,lag1,mean,PASS
M3-V-CORE,1125,3,0.4689878225326538,2c214133927d768ad2acb9f3437792253f3c163616c15df0cb10882af448649c,lag1,mean,PASS
M3-V-CORE,1125,4,0.4087955355644226,2c214133927d768ad2acb9f3437792253f3c163616c15df0cb10882af448649c,lag1,mean,PASS
M3-V-CORE,1125,5,0.38726723194122314,2c214133927d768ad2acb9f3437792253f3c163616c15df0cb10882af448649c,lag1,mean,PASS
M3-V-CORE,1500,2,0.5313225388526917,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,lag1,mean,PASS
M3-V-CORE,1500,3,0.46810615062713623,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,lag1,mean,PASS
M3-V-CORE,1500,4,0.4158730208873749,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,lag1,mean,PASS
M3-V-CORE,1500,5,0.38797295093536377,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,lag1,mean,PASS
