master_sequence_id,reference_scene_id,order_id,history_scan_ids,candidate_count_full,candidate_count_local,masks_equal,classes_equal,score_max_abs_diff,scores_allclose,full_current_stage_AP,local_current_stage_AP,AP_abs_diff,parity_pass,raw_observation_fingerprint,sidecar_content_sha256,full_history_content_sha256,fresh_raw_content_sha256,frozen_v1_raw_content_sha256,frozen_v1_raw_reproduced,frozen_v1_full_history_content_sha256,frozen_v1_full_history_reproduced
scene0069_06-scene0069_09-scene0069_05-scene0069_08-scene0069_07,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,"[""scene0069_08"",""scene0069_07""]",100,100,True,True,0.0,True,0.6000000238418579,0.6000000238418579,0.0,True,c10fc212e196eaadde5d71abf9edf4f8abda1370fc1df6f67ed5bb174038859e,760c67534a36199d2b6d07dbc714af42b7750388a3bbe451fe62aea6b6248227,01ad602fad00b2dcdf63262d536e9819fc081be1be31a490e1de1a4e6288d819,8872d181a751a8a88d800cf867972e7f28b90935648f754f58fc061c5221b1ca,224ffde8038189cf20566aeaaa8ca1519444319700f806a55e9d2d8726f73255,False,4d1712921f8a8a988ceba5f125ddf975d61b92c3c5d484519fb1da0aa5db5642,False
scene0069_07-scene0069_00-scene0069_02-scene0069_04-scene0069_03,10b17940-3938-2467-8a7a-958300ba83d3,canonical,"[""scene0069_07"",""scene0069_00""]",100,100,True,True,0.0,True,0.5921810865402222,0.5921810865402222,0.0,True,f77dff003b8096aff849a835be0feaedf2a5a4448e986689358f077da6fc8402,8ebd1ebef7703ab2c0a5b1fcd32a41f3e44d5d9de991e702a68b2a940fd1dd24,3a453fecac7ae1a2d588082f32324a7e832540cc442f27c5f596ce43b4c9360e,fbccaa12c0e66fcf6ea84304b93ef215c3b6ac43a447c79b2fec3b6505823edf,ad6798d8e469307899183841dc42dad9f0de0182ca6c6832ea007c14e6e336da,False,1d3ac6b80ce3b1f4785372d2728f1e094aea71407498f263f3ca7e1c4382714c,False
scene0069_07-scene0069_00-scene0069_02-scene0069_04-scene0069_03,10b17940-3938-2467-8a7a-958300ba83d3,reverse,"[""scene0069_03"",""scene0069_04""]",100,100,True,True,0.0,True,0.5807613134384155,0.5807613134384155,0.0,True,de4405be17458e5f6e3e5c0d51a8f14ab53078edc7230632f42270a9797397f8,805602d5bca2971d16da4005eae365f696039ce4e2f008514cd5ea86d2cb6ca2,e3aed5facabe5a75af3dbd1cbe61e8ff2fa71666eca78a545e108443068a84f9,13f052ce6c3bc9385ea709b67782692456a36566f273bddff8c43ca6bbbf2ef3,e232e2435563ee1b27510e83af6262a316b33408d46689588a0459e887e0beed,False,7074b38a6afe9d743ff9877e8df098aa511c7b35838605e2c0b4ecad7e6f6385,False
scene0069_07-scene0069_00-scene0069_02-scene0069_04-scene0069_03,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,"[""scene0069_04"",""scene0069_03""]",100,100,True,True,0.0,True,0.5509259104728699,0.5509259104728699,0.0,True,82cc7192fa56da95d823d13722dd64362e6906de00fc6b56c5d40f51c030b0cd,5d1f44ad7b0d29718cdce875ea6351cccd8addd1fa0279e7dc4a971285293bd9,6197a1bbb5fa507fa864945d775a425448244ac733a465012e0552f081c081de,3894d36455c6be4bcdbb9510ee94e045ba5e52f1e75a3084e960c1e0419f4ede,5068072a3bc4b01f48e2be208ab38f51159504ae5162d253af8bac4346981e25,False,1c3d1045609c497b3262a8b5a5b678ef8e50a428e53894221f718df440c10b8d,False
scene0069_08-scene0069_07-scene0069_00-scene0069_02-scene0069_04,10b17940-3938-2467-8a7a-958300ba83d3,canonical,"[""scene0069_08"",""scene0069_07""]",100,100,True,True,0.0,True,0.6000000238418579,0.6000000238418579,0.0,True,c10fc212e196eaadde5d71abf9edf4f8abda1370fc1df6f67ed5bb174038859e,5a737a7ffe836179dbd513428f2e1944f4b2c1eed086e89618bc16c05a8c924b,d8fc85078231f108df19392deb4b4488a66f4537f9252ad8d40bfc7c793b5993,9a843017b7dbecdd2187166aa1c95b8d8ad177edbdda58990b96f583d53b3346,19fb383ddaa2d916c3ef1a3acf37a620333c07c54468e76e006a64323cbf1f86,False,174a240095ca87f9db121f1f099e817b21b89c097903b62dd00669acf039ba7d,False
scene0069_08-scene0069_07-scene0069_00-scene0069_02-scene0069_04,10b17940-3938-2467-8a7a-958300ba83d3,reverse,"[""scene0069_04"",""scene0069_02""]",100,100,True,True,0.0,True,0.6984127163887024,0.6984127163887024,0.0,True,ce51cb4e308ae2d2048f383bd505c0e44beb65e541535133ec481d01ad7ce563,b8d841378ebbf38dc482c20eaa3edee8136084dc0bd8831fd7a3d8649d3221f0,5582f5cff02fa3b6cf571e0cefadd37ab57a5471abec7042c7c614e2a2583017,2b42df1af107162bef0bc434df3cd26c3ee5222de4ea8ef55ff3a1861b9d77d9,bf9ee53e44be18990dfcc4e5ad06829e29e43c727598542c0d55fb8df5adc4f1,False,051ec8dd7b3c11987cb30c9e74539cb19b79f5daf218cf59638e9bfe34c1421d,False
scene0069_08-scene0069_07-scene0069_00-scene0069_02-scene0069_04,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,"[""scene0069_04"",""scene0069_08""]",100,100,True,True,0.0,True,0.4642857015132904,0.4642857015132904,0.0,True,28d58433687735b054a43ea7ab56953040a9fc4645808feabcf62d995a0c83b8,e8a826dfcad14c96ef57e24d6d4ecf7888c01d171fb36223f781877bd525cdc3,638d5c304eda3778251836d9f943c30a792f0a490d3a7689c2374448400dcb34,83deaa3259383789f75f2666786889c188062e6c8deaf68d0be1cbf2abfa1305,a61bb7ab1b0d09cd1fb622d75a7ca274ca4b4cc15a5b0c216e0a586054f07e13,False,c560403869729ceaf48872cb743329f53cafd399409398d6a7a5e2773a8a275f,False
scene0069_09-scene0069_05-scene0069_08-scene0069_07-scene0069_00,10b17940-3938-2467-8a7a-958300ba83d3,canonical,"[""scene0069_09"",""scene0069_05""]",100,100,True,True,0.0,True,0.6111111044883728,0.6111111044883728,0.0,True,eae4871f50c0e8f88f37cc02593a564888e0ca1285eb0b06b045e5a1f3c3e28d,f34e361a04fcb0f86681994aa02a9d4bba30b0e8f23099330639f2b922c60159,1e5aef68c91abf1228454621d450ab2c1525bebc65f0fbdb1204d335585b3547,5f818999993d61459c2b6fd98b04f6a27dcfe4313444ddb92bd2871fa7e6c23f,76868aed9f7e5d61afc2285f84785ccd8f5aebc3195e3acc102c6190c92b9d74,False,a38765f2e76bbb47a35bd78c4e755d8250a205ca8faf1166f49b23af3853ad9b,False
scene0069_09-scene0069_05-scene0069_08-scene0069_07-scene0069_00,10b17940-3938-2467-8a7a-958300ba83d3,reverse,"[""scene0069_00"",""scene0069_07""]",100,100,True,True,0.0,True,0.7190278172492981,0.7190278172492981,0.0,True,a2e1b2b751a481d262089d21622d2b0a3476a35d1971b5aa849bbbf70258a677,d406c21b9893a1e68133102bf4128d8805c379df03d0f4a9c1ad998d107d4855,5919f61169d938b546ae2187a4b140c575b6dfeca3f7f5c0d8d39a9e7ff8f45b,fdbef0e98c4a7811ea2b0fa17f6397a5fbaa21b478ded5c228bd8ddb04dde43f,250ade444995226c834d7c1e141a316f01531e434214d7a43ccc0cc7c94bc146,False,ef760e42f143f0f41690ce6d69a0a0404b5e99354dd74e607d7123565d2fe537,False
scene0069_09-scene0069_05-scene0069_08-scene0069_07-scene0069_00,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,"[""scene0069_08"",""scene0069_00""]",100,100,True,True,0.0,True,0.5900205373764038,0.5900205373764038,0.0,True,9eed308be8a7e7c7f4170da78a4f8650052dd5b661ed28245d872ac35f7efca4,f16c7d61573fa2b2442c61b62ba936dca9a90820ee469f073093a41023553bef,a73792716a0445559cb7a4a855cae6065426c9eb7ed5ad41c28771ac046a6dd3,9d2149ee210ff090870c2c5b48d0a9c3c2e774618ae138f5acde05b5e00afd8c,22add35eb19f65b1b7aec161ddaaccf60749a0e0620e9348bcfd8c2539d007a5,False,66670309657a8583e78907ad9d8b638c05784a670cfea25aeaa2650a957fe9bc,False
