method,method_description,order_id,horizon,sequence_count,trajectory_candidate_count_total,trajectory_candidate_count_mean,empty_trajectory_mask_count,empty_trajectory_mask_rate,current_stage_candidate_count_total,current_stage_candidate_count_mean,score_count,score_min,score_q25,score_median,score_q75,score_max,score_mean,score_std,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC
L1,Legacy raw-observation conversion without persistent identity,canonical,4,43,1865,43.372093023255815,0,0.0,473,11.0,1865,0.5047982335090637,0.9422104358673096,0.9921212196350098,0.9982571005821228,0.9999215602874756,0.932904395021638,0.12094574378445717,0.004597092978656292,0.006702684331685305,0.09839391708374023,0.05201086401939392,0.06836995482444763,0.1630619466304779,0.29503169655799866,0.4824998080730438,0.679479718208313,0.4067938029766083
L1,Legacy raw-observation conversion without persistent identity,canonical,5,43,2338,54.372093023255815,0,0.0,473,11.0,2338,0.5047982335090637,0.9416439086198807,0.9920657873153687,0.9982431679964066,0.9999215602874756,0.9323061518530442,0.1217921708795852,0.003024997189640999,0.0038362331688404083,0.09511813521385193,0.035243790596723557,0.04667167738080025,0.13953116536140442,0.29644080996513367,0.4843877851963043,0.6816731095314026,0.407267689704895
P0,Legacy raw-observation conversion with B4 identity,canonical,2,43,588,13.674418604651162,0,0.0,473,11.0,588,0.5189130306243896,0.914564311504364,0.9875940084457397,0.9977800995111465,0.99985671043396,0.9306306285517556,0.11013282191378188,0.1615053415298462,0.2894679307937622,0.5017343759536743,0.275501549243927,0.40043726563453674,0.5716542601585388,0.2882736027240753,0.4790382385253906,0.6809791326522827,0.4101751446723938
P0,Legacy raw-observation conversion with B4 identity,canonical,3,43,654,15.209302325581396,0,0.0,473,11.0,654,0.5189130306243896,0.8854396343231201,0.9825094640254974,0.9969233125448227,0.9998166561126709,0.9249376028502753,0.1083073210028947,0.0946429893374443,0.18718834221363068,0.34824949502944946,0.1899034082889557,0.300898939371109,0.43578463792800903,0.2970360517501831,0.48127877712249756,0.6731979846954346,0.4102187752723694
P0,Legacy raw-observation conversion with B4 identity,canonical,4,43,708,16.46511627906977,0,0.0,473,11.0,708,0.5189130306243896,0.8754936158657074,0.9755065143108368,0.996144488453865,0.9997906684875488,0.9202247702300885,0.10716287568873666,0.06525322049856186,0.14389027655124664,0.25033634901046753,0.1454497128725052,0.24968312680721283,0.34288543462753296,0.30508455634117126,0.48188573122024536,0.6765872836112976,0.4126802682876587
P0,Legacy raw-observation conversion with B4 identity,canonical,5,43,742,17.25581395348837,0,0.0,473,11.0,742,0.5189130306243896,0.867741048336029,0.9684543907642365,0.9950719922780991,0.9997268319129944,0.9155316857314817,0.10762136508456968,0.046107225120067596,0.11025865375995636,0.18615689873695374,0.1095607653260231,0.20673170685768127,0.3049647808074951,0.29644083976745605,0.4701424539089203,0.6652292609214783,0.4123711884021759
P1,V2 official candidates with B4 identity,canonical,2,43,8206,190.8372093023256,2445,0.2979527175237631,2685,62.44186046511628,8206,0.0,0.0005164149042684585,0.002233511651866138,0.009094000095501542,0.9978616237640381,0.09430290078232013,0.25945171740858086,0.2149520218372345,0.34914353489875793,0.5593777894973755,0.3534661531448364,0.5257987380027771,0.6989193558692932,0.36135682463645935,0.555243730545044,0.78228759765625,0.5034977197647095
P1,V2 official candidates with B4 identity,canonical,3,43,12020,279.5348837209302,4060,0.33777038269550747,2685,62.44186046511628,12020,0.0,0.0006011325167492032,0.002458121976815164,0.009476955980062485,0.9978616237640381,0.08653532021553428,0.2457665332289844,0.12587131559848785,0.22425144910812378,0.4102586805820465,0.2581102252006531,0.39729318022727966,0.5655595660209656,0.3651871085166931,0.5621477961540222,0.7882253527641296,0.5032063126564026
P1,V2 official candidates with B4 identity,canonical,4,43,15819,367.8837209302326,5675,0.35874581199822997,2685,62.44186046511628,15819,0.0,0.0006452768575400114,0.002548039657995105,0.009605277329683304,0.9978616237640381,0.08194903675195939,0.23742064651625458,0.08434075117111206,0.16474628448486328,0.32691219449043274,0.19350217282772064,0.31409481167793274,0.47098445892333984,0.3651706278324127,0.5591285228729248,0.7846797704696655,0.5028339624404907
P1,V2 official candidates with B4 identity,canonical,5,43,19586,455.48837209302326,7290,0.3722046359644644,2685,62.44186046511628,19586,0.0,0.0006612493307329714,0.0026032517198473215,0.009605277329683304,0.9978616237640381,0.07838306235596042,0.2309925764138939,0.05635813623666763,0.118157297372818,0.2766639292240143,0.14681090414524078,0.2527553141117096,0.4111800491809845,0.3605973720550537,0.5526551604270935,0.7804216742515564,0.5031508207321167
