file_name,decoder_prediction_layer,query_id,gt_instance_id,match_iou,gt_point_count,allowed_gt_fraction,masked_gt_fraction,post_sample_all_masked_reset_count,post_sample_query_count,post_sample_reset_fraction
scene0003_01-scene0003_02,2,96,7,0.43443652987480164,2200,0.4713636363636364,0.5286363636363636,30,100,0.3
scene0003_01-scene0003_02,3,0,12,0.5020134449005127,477,0.7840670859538784,0.21593291404612158,22,100,0.22
scene0003_01-scene0003_02,3,7,4,0.8803088665008545,3971,0.9760765550239234,0.02392344497607657,22,100,0.22
scene0003_01-scene0003_02,3,14,7,0.8682806491851807,2200,0.9618181818181818,0.038181818181818206,22,100,0.22
scene0003_01-scene0003_02,3,30,6,0.9471210241317749,809,0.9962917181705809,0.003708281829419069,22,100,0.22
scene0003_01-scene0003_02,3,69,3,0.6552335023880005,5328,0.9716591591591591,0.028340840840840875,22,100,0.22
scene0003_01-scene0003_02,3,71,2,0.781663179397583,5221,0.8605631105152269,0.13943688948477306,22,100,0.22
scene0003_01-scene0003_02,3,81,5,0.9410306811332703,11289,0.9753742581273807,0.024625741872619344,22,100,0.22
scene0003_01-scene0003_02,4,19,6,0.9035846590995789,809,0.9035846724351051,0.0964153275648949,12,100,0.12
scene0003_01-scene0003_02,4,21,2,0.8094761371612549,5221,0.9293238843133499,0.07067611568665011,12,100,0.12
scene0003_01-scene0003_02,4,23,5,0.9526541233062744,11289,0.9856497475418549,0.01435025245814514,12,100,0.12
scene0003_01-scene0003_02,4,32,3,0.7984753251075745,5328,0.9042792792792793,0.09572072072072069,12,100,0.12
scene0003_01-scene0003_02,4,41,4,0.8809577822685242,3971,0.9821203727020902,0.017879627297909817,12,100,0.12
scene0003_01-scene0003_02,4,56,7,0.8071786165237427,2200,0.8790909090909091,0.12090909090909085,12,100,0.12
scene0003_01-scene0003_02,4,99,12,0.507446825504303,477,1.0,0.0,12,100,0.12
scene0003_01-scene0003_02,5,17,12,0.668067216873169,477,1.0,0.0,10,100,0.1
scene0003_01-scene0003_02,5,19,6,0.9841269850730896,809,0.9962917181705809,0.003708281829419069,10,100,0.1
scene0003_01-scene0003_02,5,21,2,0.7941077351570129,5221,0.9034667688182341,0.09653323118176593,10,100,0.1
scene0003_01-scene0003_02,5,32,3,0.7941030859947205,5328,0.9048423423423423,0.09515765765765771,10,100,0.1
scene0003_01-scene0003_02,5,57,5,0.954525887966156,11289,0.9836123660200194,0.016387633979980554,10,100,0.1
scene0003_01-scene0003_02,5,95,4,0.8702306747436523,3971,0.9879123646436666,0.012087635356333393,10,100,0.1
scene0003_01-scene0003_02,5,96,7,0.8630688786506653,2200,0.9740909090909091,0.02590909090909088,10,100,0.1
scene0003_01-scene0003_02,6,10,2,0.7751609086990356,5221,0.9456042903658303,0.05439570963416973,6,100,0.06
scene0003_01-scene0003_02,6,12,4,0.8911207318305969,3971,0.9831276756484513,0.01687232435154873,6,100,0.06
scene0003_01-scene0003_02,6,17,12,0.5026343464851379,477,1.0,0.0,6,100,0.06
scene0003_01-scene0003_02,6,19,6,0.9962916970252991,809,0.9962917181705809,0.003708281829419069,6,100,0.06
scene0003_01-scene0003_02,6,25,5,0.954171359539032,11289,0.9756400035432722,0.024359996456727817,6,100,0.06
scene0003_01-scene0003_02,6,32,3,0.7591623067855835,5328,0.8980855855855856,0.1019144144144144,6,100,0.06
scene0003_01-scene0003_02,6,63,7,0.8361100554466248,2200,0.980909090909091,0.019090909090909047,6,100,0.06
scene0003_01-scene0003_02,7,17,12,0.8533094525337219,477,1.0,0.0,8,100,0.08
scene0003_01-scene0003_02,7,19,6,0.9877899885177612,809,1.0,0.0,8,100,0.08
scene0003_01-scene0003_02,7,23,5,0.9545494318008423,11289,0.9729825493843565,0.027017450615643535,8,100,0.08
scene0003_01-scene0003_02,7,41,4,0.8653972148895264,3971,0.9957189624779652,0.004281037522034792,8,100,0.08
scene0003_01-scene0003_02,7,42,3,0.7779910564422607,5328,0.9129129129129129,0.08708708708708712,8,100,0.08
scene0003_01-scene0003_02,7,63,7,0.8170034289360046,2200,0.9740909090909091,0.02590909090909088,8,100,0.08
scene0003_01-scene0003_02,7,71,2,0.8090395331382751,5221,0.9599693545297836,0.0400306454702164,8,100,0.08
scene0003_01-scene0003_02,8,11,5,0.9547837972640991,11289,0.9838781114359111,0.016121888564088915,7,100,0.07
scene0003_01-scene0003_02,8,21,2,0.8094761371612549,5221,0.9293238843133499,0.07067611568665011,7,100,0.07
scene0003_01-scene0003_02,8,39,3,0.7918221354484558,5328,0.9159159159159159,0.08408408408408408,7,100,0.07
scene0003_01-scene0003_02,8,45,7,0.8148927092552185,2200,0.8804545454545455,0.11954545454545451,7,100,0.07
scene0003_01-scene0003_02,8,61,6,0.993819534778595,809,0.9938195302843016,0.006180469715698411,7,100,0.07
scene0003_01-scene0003_02,8,74,12,1.0,477,1.0,0.0,7,100,0.07
scene0003_01-scene0003_02,8,93,4,0.8753083944320679,3971,0.9828758499118609,0.017124150088139056,7,100,0.07
scene0003_01-scene0003_02,9,11,5,0.9481980204582214,11289,0.9858269111524492,0.014173088847550752,5,100,0.05
scene0003_01-scene0003_02,9,17,12,0.506369411945343,477,1.0,0.0,5,100,0.05
scene0003_01-scene0003_02,9,42,3,0.7931710481643677,5328,0.9112237237237237,0.08877627627627627,5,100,0.05
scene0003_01-scene0003_02,9,45,7,0.8604373931884766,2200,0.9836363636363636,0.016363636363636358,5,100,0.05
scene0003_01-scene0003_02,9,61,6,0.9471210241317749,809,0.9962917181705809,0.003708281829419069,5,100,0.05
scene0003_01-scene0003_02,9,67,2,0.7736668586730957,5221,0.8530932771499713,0.1469067228500287,5,100,0.05
scene0003_01-scene0003_02,9,95,4,0.8653972148895264,3971,0.9957189624779652,0.004281037522034792,5,100,0.05
scene0003_01-scene0003_02,10,12,4,0.8842805027961731,3971,0.9717955175018886,0.02820448249811136,3,100,0.03
scene0003_01-scene0003_02,10,17,12,0.41915640234947205,477,1.0,0.0,3,100,0.03
scene0003_01-scene0003_02,10,19,6,0.993819534778595,809,0.9938195302843016,0.006180469715698411,3,100,0.03
scene0003_01-scene0003_02,10,42,3,0.7692548036575317,5328,0.9241741741741741,0.07582582582582587,3,100,0.03
scene0003_01-scene0003_02,10,71,2,0.7752573490142822,5221,0.8509864010725915,0.1490135989274085,3,100,0.03
scene0003_01-scene0003_02,10,78,5,0.9506722688674927,11289,0.9645672778811232,0.035432722118876825,3,100,0.03
scene0003_01-scene0003_02,10,79,7,0.8548065423965454,2200,0.9740909090909091,0.02590909090909088,3,100,0.03
scene0003_01-scene0003_02,11,17,12,0.3726562559604645,477,1.0,0.0,6,100,0.06
scene0003_01-scene0003_02,11,25,5,0.9112803339958191,11289,0.9116839401186996,0.08831605988130042,6,100,0.06
scene0003_01-scene0003_02,11,32,3,0.7816486954689026,5328,0.8969594594594594,0.10304054054054057,6,100,0.06
scene0003_01-scene0003_02,11,41,4,0.8653972148895264,3971,0.9957189624779652,0.004281037522034792,6,100,0.06
scene0003_01-scene0003_02,11,71,2,0.8205915689468384,5221,0.9724190768052098,0.02758092319479022,6,100,0.06
scene0003_01-scene0003_02,11,79,7,0.8352490663528442,2200,0.990909090909091,0.009090909090909038,6,100,0.06
scene0003_01-scene0003_02,11,90,6,0.9962916970252991,809,0.9962917181705809,0.003708281829419069,6,100,0.06
scene0003_02-scene0003_00,0,0,2,0.013636363670229912,4782,0.013801756587202008,0.986198243412798,100,100,1.0
scene0003_02-scene0003_00,0,1,3,0.011229428462684155,5099,0.011374779368503628,0.9886252206314964,100,100,1.0
scene0003_02-scene0003_00,0,2,4,0.0,3477,0.0,1.0,100,100,1.0
scene0003_02-scene0003_00,0,3,5,0.0,8862,0.0,1.0,100,100,1.0
scene0003_02-scene0003_00,0,4,6,0.0,792,0.0,1.0,100,100,1.0
scene0003_02-scene0003_00,0,5,7,0.0,2135,0.0,1.0,100,100,1.0
scene0003_02-scene0003_00,1,2,2,0.6835230588912964,4782,0.7659974905897114,0.23400250941028855,33,100,0.33
scene0003_02-scene0003_00,1,7,7,0.8180242776870728,2135,0.8843091334894614,0.11569086651053861,33,100,0.33
scene0003_02-scene0003_00,1,18,4,0.9493100643157959,3477,0.9695139488064424,0.03048605119355763,33,100,0.33
scene0003_02-scene0003_00,1,19,5,0.9518439173698425,8862,0.9523809523809523,0.04761904761904767,33,100,0.33
scene0003_02-scene0003_00,1,26,3,0.5112300515174866,5099,0.9552853500686409,0.044714649931359096,33,100,0.33
scene0003_02-scene0003_00,1,75,6,0.9949495196342468,792,0.9949494949494949,0.005050505050505083,33,100,0.33
scene0003_02-scene0003_00,2,2,2,0.5913324952125549,4782,0.6106231702216646,0.38937682977833543,34,100,0.34
scene0003_02-scene0003_00,2,6,6,1.0,792,1.0,0.0,34,100,0.34
scene0003_02-scene0003_00,2,15,7,0.7798594832420349,2135,0.7798594847775175,0.22014051522248246,34,100,0.34
scene0003_02-scene0003_00,2,18,4,0.9502052068710327,3477,0.998849582973828,0.0011504170261720237,34,100,0.34
