file_name,gt_instance_id,gt_label,size_points,size_bin,segments_per_gt,within_instance_feature_variance,nearest_instance_cosine_margin,mean_segment_purity,mean_gt_instances_per_segment
scene0019_00-scene0019_02,32,17,2468,large_ge1000,167,0.007647347636520863,0.101138174533844,1.0,1.0
scene0019_00-scene0019_02,33,4,173,medium_100_999,9,0.004364821594208479,0.017409324645996094,1.0,1.0
scene0019_00-scene0019_02,34,4,142,medium_100_999,7,0.0016156603815034032,0.0360414981842041,1.0,1.0
scene0019_00-scene0019_02,35,4,112,medium_100_999,3,0.0003529596724547446,0.017409324645996094,1.0,1.0
scene0019_00-scene0019_02,36,2,238,medium_100_999,16,0.08015641570091248,0.11876082420349121,1.0,1.0
scene0019_00-scene0019_02,38,2,364,medium_100_999,32,0.015355410054326057,0.18277102708816528,1.0,1.0
scene0019_00-scene0019_02,39,2,211,medium_100_999,12,0.005745392292737961,0.12722986936569214,1.0,1.0
scene0019_00-scene0019_02,43,6,2408,large_ge1000,297,0.025151599198579788,0.05736058950424194,1.0,1.0
scene0019_01-scene0019_00,2,4,184,medium_100_999,8,0.004955677315592766,0.014366447925567627,1.0,1.0
scene0019_01-scene0019_00,3,4,365,medium_100_999,24,0.005009179003536701,0.014366447925567627,1.0,1.0
scene0019_01-scene0019_00,4,4,327,medium_100_999,25,0.015074352733790874,0.02204233407974243,1.0,1.0
scene0019_01-scene0019_00,5,4,445,medium_100_999,38,0.05692346394062042,0.044588446617126465,1.0,1.0
scene0019_01-scene0019_00,6,4,411,medium_100_999,21,0.06813331693410873,0.044588446617126465,1.0,1.0
scene0019_01-scene0019_00,7,4,387,medium_100_999,12,0.1482558697462082,0.12078273296356201,1.0,1.0
scene0019_01-scene0019_00,8,2,271,medium_100_999,12,0.013409359380602837,0.0709342360496521,1.0,1.0
scene0019_01-scene0019_00,9,2,581,medium_100_999,36,0.010881677269935608,0.005057096481323242,1.0,1.0
scene0019_01-scene0019_00,10,2,533,medium_100_999,37,0.059044718742370605,0.005057096481323242,1.0,1.0
scene0019_01-scene0019_00,11,2,534,medium_100_999,43,0.13429582118988037,0.09044802188873291,1.0,1.0
scene0019_01-scene0019_00,12,2,761,medium_100_999,53,0.08762489259243011,0.07440185546875,1.0,1.0
scene0019_01-scene0019_00,13,2,696,medium_100_999,52,0.0393315888941288,0.07440185546875,1.0,1.0
scene0019_01-scene0019_00,14,2,367,medium_100_999,14,0.003394132014364004,0.04202568531036377,1.0,1.0
scene0019_01-scene0019_00,15,2,334,medium_100_999,20,0.001925719203427434,0.02729034423828125,1.0,1.0
scene0019_01-scene0019_00,16,2,422,medium_100_999,20,0.002495667664334178,0.011304378509521484,1.0,1.0
scene0019_01-scene0019_00,17,2,558,medium_100_999,52,0.13817477226257324,0.011304378509521484,1.0,1.0
scene0019_01-scene0019_00,18,2,522,medium_100_999,33,0.071286641061306,0.11549222469329834,1.0,1.0
scene0019_01-scene0019_00,19,2,581,medium_100_999,38,0.15772125124931335,0.11549222469329834,1.0,1.0
scene0019_01-scene0019_00,20,6,5200,large_ge1000,539,0.3579406142234802,0.7500415146350861,1.0,1.0
scene0019_02-scene0019_01,5,4,104,medium_100_999,8,0.0010432838462293148,0.030752062797546387,1.0,1.0
scene0019_02-scene0019_01,6,4,237,medium_100_999,19,0.11499109119176865,0.030752062797546387,1.0,1.0
scene0019_02-scene0019_01,7,4,412,medium_100_999,10,0.14373080432415009,0.06519144773483276,1.0,1.0
scene0019_02-scene0019_01,10,2,72,small_lt100,6,0.08824827522039413,0.0505182147026062,1.0,1.0
scene0019_02-scene0019_01,11,2,84,small_lt100,9,0.15893922746181488,0.0505182147026062,1.0,1.0
scene0019_02-scene0019_01,12,2,406,medium_100_999,35,0.22728288173675537,0.06623715162277222,1.0,1.0
scene0019_02-scene0019_01,13,2,631,medium_100_999,71,0.37618330121040344,0.209955096244812,1.0,1.0
scene0019_02-scene0019_01,17,2,78,small_lt100,8,0.33651041984558105,0.05999189615249634,1.0,1.0
scene0019_02-scene0019_01,18,2,209,medium_100_999,17,0.022809768095612526,0.04651588201522827,1.0,1.0
scene0019_02-scene0019_01,19,2,434,medium_100_999,34,0.14916744828224182,0.04651588201522827,1.0,1.0
scene0019_02-scene0019_01,20,6,5728,large_ge1000,647,0.33985811471939087,0.05781012773513794,0.9999999403953552,0.9999999403953552
scene0019_02-scene0019_01,32,17,2447,large_ge1000,165,0.010027476586401463,0.14811968803405762,0.9999999403953552,0.9999999403953552
scene0019_02-scene0019_01,33,4,177,medium_100_999,9,0.010669829323887825,0.04641544818878174,1.0,1.0
scene0019_02-scene0019_01,34,4,138,medium_100_999,7,0.0016317043919116259,0.0623396635055542,1.0,1.0
scene0019_02-scene0019_01,35,4,115,medium_100_999,3,0.0006512298132292926,0.04641544818878174,1.0,1.0
scene0019_02-scene0019_01,36,2,237,medium_100_999,17,0.0784602016210556,0.16244781017303467,1.0,1.0
